t,mse_t,rmse_t,mse_db_t
0,0.7095429058119173,0.8423436981493464,-1.4902133777668691
1,0.8579656976534704,0.9262643778390004,-0.6653007534198828
2,1.2039769502496982,1.097258834664683,0.806181725736434
3,1.4006457631407874,1.183488809892509,1.4632831189833095
4,1.3825411224527342,1.175815088546126,1.406780578709119
5,1.205524527074194,1.0979638095466508,0.8117605076873485
6,1.0073661463020096,1.0036763155031654,0.03187351801349688
7,0.9635927248489876,0.9816275896942728,-0.16106487596345784
8,1.0560923549080636,1.0276635416847597,0.23701898759468304
9,1.278234445041491,1.1305903082202196,1.0661051645920416
10,1.5301248942932524,1.2369821721808494,1.8472688094090062
11,1.7228551264726966,1.3125757602792674,2.3624875950330386
12,1.8175350523071705,1.3481598763897293,2.594827952542053
13,1.8695625642861389,1.367319481425661,2.7174000325305716
14,1.9495598523458464,1.396266397341799,2.8993657276048532
15,2.073935240545852,1.4401163982629501,3.1679519124652025
16,2.278790919096347,1.5095664672667934,3.5770448013947598
17,2.5178455676785867,1.5867720591435264,4.010290890912161
18,2.7715465165342748,1.664796238743431,4.4272217201548045
19,3.0710408250754075,1.7524385367468405,4.872855898026013
20,3.462287895836251,1.8607224123539359,5.393631774546251
21,4.003923900681331,2.00098073471019,6.0248581460442265
22,4.697482697675427,2.167367688620329,6.71865189130642
23,5.535269986866523,2.352715449617,7.43138808764281
24,6.511138134596691,2.551693189746113,8.136569090555035
25,7.645442850534366,2.765039394029381,8.834026463177485
26,8.926003179952593,2.987641742236273,9.506570372250593
27,10.36655936553421,3.219714174509006,10.156346390791139
28,12.057109618882583,3.47233489440212,10.812432093780991
29,14.033820182856537,3.7461740726848958,11.471759075573779
30,16.30957814794816,4.038511872948767,12.124427280306108
31,18.93052175665503,4.350921943296044,12.77162584006769
32,21.863187087294307,4.675808709442069,13.397134711331194
33,25.422088428402745,5.042032172487869,14.0521122504078
34,29.665447804109373,5.446599655207768,14.72250908459275
35,34.89312519040584,5.907040307159402,15.427398686216678
36,41.330155577233576,6.428853364110398,16.162670400798422
37,49.12511883473636,7.008931361822311,16.913036139525992
38,58.48270485089502,7.647398567545372,17.670274507256664
39,69.50954069119686,8.337238193262614,18.420444187651732
40,82.17142820495266,9.06484573530916,19.147208354236618
41,96.68938867998631,9.833076257203862,19.853788144077345
42,113.61480674894516,10.659024662179235,20.554349341066875
43,133.33599793353676,11.54712076378942,21.24947415680313
44,156.7816241335619,12.521246908098327,21.952951590814397
45,183.70016767838268,13.55360349421447,22.641095527225914
46,216.49413959132048,14.713739823420845,23.354461446727612
47,255.56584520863603,15.986426905617028,24.07502812598409
48,301.9620195849303,17.377054398974824,24.799523213611824
49,358.73578836385934,18.9403217597764,25.547747051220952
50,424.73415511292006,20.609079433902913,26.281171863041692
51,503.3691578177485,22.435889949314436,27.018866021541264
52,599.8036024448979,24.490888151410473,27.780090698217116
53,714.8126591874352,26.735980610170916,28.54192235169037
54,852.6952054731988,29.200945283897898,29.307938210431253
55,1013.5231886455966,31.835878951987436,30.05833689472658
56,1205.6420109887854,34.722356069091646,30.81218372702997
57,1431.4803918236678,37.83490969757517,31.557854035059904
58,1700.918770523442,41.24219648034573,32.30683573838446
59,2022.5370277563118,44.972625315366145,33.05896481237606
