t,mse_t,rmse_t,mse_db_t
0,0.9477824211451816,0.9735411758858388,-0.23291350574837022
1,1.3960240644039794,1.1815346226006158,1.448929046394213
2,2.3858666120718754,1.5446250716830525,3.7764615967780224
3,3.3046337778158947,1.8178651704171833,5.1912333762307785
4,3.711474745553962,1.9265188152608221,5.69546509775172
5,3.3245468943037273,1.8233340051410567,5.217324632593467
6,2.786644183928608,1.6693244693374047,4.450815188311486
7,2.4330616855146006,1.5598274537635888,3.8615311975654865
8,2.4341286701688856,1.56016943636545,3.8634353168671423
9,2.8440818292586667,1.686440579818532,4.539420876569716
10,3.4297909164203806,1.8519694696242648,5.352676458116985
11,3.9923468237624298,1.9980857898905215,6.0122826235068585
12,4.214291048819445,2.052873851170462,6.247245257028782
13,4.303948646216137,2.0745960200039275,6.338670807814713
14,4.373881891693616,2.091382770248817,6.4086705156895505
15,4.481311661194738,2.11691087700799,6.514051487847928
16,4.972182940035394,2.2298392184270583,6.9654709913016335
17,5.935665015831095,2.4363220262992935,7.734693831939499
18,6.838673244228324,2.6150857049489455,8.349718533866717
19,8.097538577777705,2.8456174334892075,9.083530257252614
20,9.175740360213998,3.029148454634404,9.626411161266814
21,10.562936384638968,3.250067135404893,10.237846642560537
22,12.175872010084248,3.4893942182109847,10.85500074248582
23,14.30138897901164,3.781717728626985,11.553782190473026
24,16.896293026142335,4.110510068853054,12.277914327271294
25,20.148404461502444,4.488697412557729,13.042406603530141
26,24.084939413236384,4.907640921383346,13.817455581642495
27,28.417975929318516,5.3308513325095195,14.53593142063227
28,32.95104463761243,5.7403000476989385,15.178691874629314
29,38.156734607752234,6.177113776494021,15.815712013959494
30,43.96900898719881,6.630913133739486,16.43146677213036
31,50.187452736518885,7.084310321867534,17.005951536309013
32,58.20750138952243,7.629384076681579,17.649789571953313
33,67.75208778745598,8.231165639656146,18.30922682581146
34,79.67356201323727,8.926004818127607,19.013142338608404
35,93.5880728031997,9.674092867199471,19.712205042315414
36,109.02469102297125,10.441488927493591,20.375248645524465
37,128.2612291881165,11.325247422821123,21.080953976509086
38,150.8558008672999,12.282336946497596,21.78562014784265
39,176.18955312007446,13.273641290922189,22.459801540373803
40,206.57124833309462,14.372586695967243,23.150698740121417
41,243.29173473192733,15.59781185717815,23.861273550414303
42,285.4799304257971,16.896151349517353,24.555755822431642
43,331.07353199437915,18.19542612840873,25.199244620318574
44,386.50973852265173,19.659850928291693,25.87160440902124
45,452.17129609156024,21.264319789063563,26.553029897990218
46,527.4636084897011,22.9665758982418,27.221925015482967
47,614.329768752447,24.78567668538519,27.88401560560778
48,714.0835796982167,26.722342331805734,28.53749046618465
49,831.0622343984471,28.82815003427114,29.196335473025247
50,972.3430298278602,31.1824153943831,29.878195053376917
51,1141.3617356394293,33.78404557834111,30.57423308655197
52,1334.1490731271304,36.52600543622489,31.252043588304375
53,1566.697676630362,39.58153201469546,31.94985199379566
54,1832.6101641718094,42.80899629951407,32.630700909551145
55,2118.102961859903,46.02285260454749,33.25947067518756
56,2482.2775612318583,49.82246040925577,33.948503414543026
57,2919.7140969679053,54.03437884317636,34.653403267264075
58,3429.8592499277943,58.5650002128216,35.352762984002354
59,4036.795122116093,63.535778283704786,36.06036708391657
