t,mse_t,rmse_t,mse_db_t
0,0.020596292833553454,0.143514085836734,-16.86210942097653
1,0.0072643380318948274,0.08523108606544227,-21.38803954964542
2,0.004249636138413628,0.06518923330131769,-23.71648253442408
3,0.0036206694316724707,0.06017199873423244,-24.41211124604159
4,0.0030245973055799177,0.054996339019792194,-25.19332439063181
5,0.0032170273287109932,0.0567188445643156,-24.92545249742118
6,0.003271459344269631,0.05719667249298364,-24.85258472482864
7,0.003149066816065003,0.05611654672255772,-25.01818124520495
8,0.0030335382732526476,0.055077565970662205,-25.180505213207
9,0.003046266206106151,0.05519299055229886,-25.16232147358716
10,0.002328700583289742,0.04825661180905413,-26.328863480408607
11,0.00242996638304223,0.04929468919713593,-26.14399734533476
12,0.002947660998597903,0.0542923659329551,-25.3052246481027
13,0.002872567834890488,0.05359634161853295,-25.417297067751797
14,0.003365179288756186,0.05801016539156035,-24.729917926455812
15,0.0032017537068114678,0.05658404109650943,-24.946120790021876
16,0.0031441761617944804,0.056072953924280466,-25.024931293145684
17,0.002783270799882306,0.05275671331576964,-25.55444536686767
18,0.002723715930798927,0.05218923194298731,-25.64838189020517
19,0.0026030355656712755,0.05101995262317749,-25.84519898018594
20,0.0026311809697688706,0.051295038451773,-25.798492805843317
21,0.0025971707965295,0.05096244496224156,-25.854994891264784
22,0.0021437534116729483,0.04630068478622048,-26.688251714553438
23,0.0021551783674665635,0.04642389866724426,-26.665167808160838
24,0.0026956778343215975,0.05191991751073568,-25.69332012410011
25,0.0029468556980034905,0.0542849490927595,-25.306411302156306
26,0.0022016863299899416,0.04692213049287022,-26.572445540554178
27,0.003322051809509327,0.05763724325043077,-24.78593598733344
28,0.003017508893174045,0.054931856815276556,-25.203514412800835
29,0.0031193264886354437,0.05585093095585286,-25.059391668292367
30,0.004459148061599133,0.06677685273804938,-23.507481070924364
31,0.0054088301690744835,0.07354474943239989,-22.668966546813838
32,0.006097089063731863,0.07808385917545228,-22.148774609392454
33,0.0055783647686067145,0.07468845137373457,-22.534930906770825
34,0.0071381263208844985,0.08448743291688118,-21.46415770757262
35,0.006763765749646851,0.08224211664133439,-21.698114417894665
36,0.006239068246813778,0.07898777276777576,-22.0488026376016
37,0.007512834347613698,0.08667660784556407,-21.24196186923641
38,0.007729200224038949,0.087915870148904,-21.118654422079842
39,0.007292744071577156,0.0853975647871598,-21.371090271132772
40,0.007354359501282973,0.08575756235623173,-21.3345514444168
41,0.007511245267138803,0.08666744064029354,-21.242880566290495
42,0.005666493345481952,0.07527611404344642,-22.466856169152628
43,0.006135100418903,0.07832688184080226,-22.121783243764984
44,0.004991919057219881,0.070653514117982,-23.017324652502623
45,0.005131924161737642,0.07163744943629444,-22.897197701424364
46,0.004783847815307119,0.06916536572090919,-23.202226446600342
47,0.004670747727598573,0.06834286888621645,-23.306135888180975
48,0.0053768295925610944,0.07332686814913818,-22.694737273657537
49,0.006350837329808322,0.07969214095385016,-21.971690111266756
50,0.005415309387618508,0.07358878574632488,-22.663767262044722
51,0.006475170750039015,0.08046844567927863,-21.88748774764552
52,0.005077111103096269,0.07125384974228599,-22.943833327676067
53,0.004395707681364268,0.06630013334348785,-23.569711962739312
54,0.004979860354767873,0.0705681256288409,-23.027828355543512
55,0.006233279364178759,0.07895112009451645,-22.05283408387574
56,0.007018202653243005,0.08377471368642811,-21.53774095522937
57,0.006665069835391959,0.08163987895258026,-21.761952957675298
58,0.006903735877914219,0.0830887229286515,-21.60915832147799
59,0.005436461406409163,0.07373236335835956,-22.646836906898145
