t,mse_t,rmse_t,mse_db_t
0,0.107968732766399,0.3285859594784887,-9.667019959302877
1,0.06694022160042064,0.2587280842900914,-11.743128542776056
2,0.04653265854538028,0.21571429842590473,-13.322421342579354
3,0.032977815212722146,0.18159794936265702,-14.81778119840338
4,0.028661518268867273,0.169297130125904,-15.427008077165375
5,0.02101743542825895,0.14497391292318404,-16.774202781890867
6,0.019568262285672378,0.1398866050973873,-17.084477391478963
7,0.017071474491094408,0.13065785277240097,-17.677289665425302
8,0.019568013565888547,0.13988571608955844,-17.08453259224976
9,0.019492884545059565,0.13961692069752707,-17.101238894966627
10,0.020255792804752495,0.14232284709333387,-16.934507540113213
11,0.018285033877143437,0.13522216488853978,-17.379042306968515
12,0.017304221226235907,0.1315455100953123,-17.61847941285137
13,0.01681387559322482,0.12966832918343946,-17.74332170275336
14,0.014228720902489453,0.11928420223352904,-18.468341392662843
15,0.012804035940726478,0.11315492009067249,-18.92653115468449
16,0.012412987653101417,0.11141358827854625,-19.061236765919574
17,0.011758510369879242,0.10843666524695068,-19.296476934910505
18,0.012067908450083395,0.10985403247074453,-19.18367993141929
19,0.010854220869228203,0.10418359213056633,-19.64401345340744
20,0.012025782267267965,0.10966212777102205,-19.19886663535595
21,0.015665130980216272,0.12516042098130012,-18.05065969518481
22,0.013793969234666477,0.11744772979784018,-18.603107469732542
23,0.013753978762105728,0.11727735826708294,-18.6157165059945
24,0.01358538455439211,0.11655635784628872,-18.669280637247997
25,0.01206911315799006,0.10985951555504903,-19.183246408174295
26,0.012346360471822705,0.11111417763644163,-19.084610472589073
27,0.0137929144014789,0.11744323906244625,-18.603439590053895
28,0.013084884073262639,0.11438917813002522,-18.832301206790763
29,0.014269109012395116,0.11945337589367291,-18.456031441299878
30,0.015926687168931076,0.1262009792708879,-17.978745502425195
31,0.017770662176175792,0.1333066471567558,-17.502963890713904
32,0.022244001254342574,0.1491442297051501,-16.527870891052054
33,0.019261301419059483,0.1387850907664778,-17.15314372454398
34,0.020794499119110545,0.1442029788843162,-16.820515361033852
35,0.02341915461856941,0.15303318142994154,-16.30428786083335
36,0.025780365972819994,0.16056265435281017,-15.88710921782922
37,0.021410439227739317,0.1463230645788261,-16.693744232134158
38,0.016137152670427035,0.12703209307268393,-17.92173092204394
39,0.018931045310069068,0.13759013522076743,-17.228254050609674
40,0.018793596652902554,0.13708973941510924,-17.25990098184004
41,0.01854377746086646,0.1361755391429256,-17.318017932062787
42,0.019963062203023612,0.14129070104937413,-16.997728400089887
43,0.021600667494676564,0.1469716554124521,-16.65532828257603
44,0.0292752056265687,0.17109998721966257,-15.335000457971708
45,0.029971954026473385,0.17312410007411846,-15.232849422311578
46,0.03388636110717517,0.18408248452032358,-14.699750654477842
47,0.02877180048504669,0.1696225235192741,-15.410329599291446
48,0.02607716646558195,0.16148426073640101,-15.837396006401649
49,0.026468789373593062,0.16269231504159334,-15.772659219548576
50,0.024861218626417703,0.15767440701146684,-16.044775872890035
51,0.021702200130462597,0.14731666616667172,-16.63496235917182
52,0.026879101032426526,0.16394847066205445,-15.705852602902812
53,0.026316760236521446,0.16222441319518294,-15.797675762284452
54,0.028868909614617255,0.16990853308358958,-15.39569619212379
55,0.02501116311627977,0.15814917994185038,-16.01866111418775
56,0.027565665784034545,0.16602911125472708,-15.596315136929476
57,0.027221685436674022,0.1649899555629797,-15.650849888613237
58,0.01980087640259763,0.14071558692127048,-17.033155870925725
59,0.021960335034737058,0.14819019884842943,-16.58361038419231
