t,mse_t,rmse_t,mse_db_t
0,0.020596292833553454,0.143514085836734,-16.86210942097653
1,0.0072643380318948274,0.08523108606544227,-21.38803954964542
2,0.004249636138413628,0.06518923330131769,-23.71648253442408
3,0.0036206694316724707,0.06017199873423244,-24.41211124604159
4,0.0030245973055799177,0.054996339019792194,-25.19332439063181
5,0.0032170273287109932,0.0567188445643156,-24.92545249742118
6,0.003271459344269631,0.05719667249298364,-24.85258472482864
7,0.003149066816065003,0.05611654672255772,-25.01818124520495
8,0.0030335382732526476,0.055077565970662205,-25.180505213207
9,0.003046266206106151,0.05519299055229886,-25.16232147358716
10,0.002328700583289742,0.04825661180905413,-26.328863480408607
11,0.00242996638304223,0.04929468919713593,-26.14399734533476
12,0.002947660998597903,0.0542923659329551,-25.3052246481027
13,0.002872567834890488,0.05359634161853295,-25.417297067751797
14,0.003365179288756186,0.05801016539156035,-24.729917926455812
15,0.0032017537068114678,0.05658404109650943,-24.946120790021876
16,0.0031441761617944804,0.056072953924280466,-25.024931293145684
17,0.002783270799882306,0.05275671331576964,-25.55444536686767
18,0.002723715930798927,0.05218923194298731,-25.64838189020517
19,0.0026030355656712755,0.05101995262317749,-25.84519898018594
20,0.0026311809697688706,0.051295038451773,-25.798492805843317
21,0.0025971707965295,0.05096244496224156,-25.854994891264784
22,0.0021437534116729483,0.04630068478622048,-26.688251714553438
23,0.0021551783674665635,0.04642389866724426,-26.665167808160838
24,0.0026956778343215975,0.05191991751073568,-25.69332012410011
25,0.0029468556980034905,0.0542849490927595,-25.306411302156306
26,0.0022016863299899416,0.04692213049287022,-26.572445540554178
27,0.003322051809509327,0.05763724325043077,-24.78593598733344
28,0.003017508893174045,0.054931856815276556,-25.203514412800835
29,0.0031193264886354437,0.05585093095585286,-25.059391668292367
30,0.003551031585415339,0.05959053268276211,-24.49645464755387
31,0.004204618682626517,0.06484303110301459,-23.762733842989476
32,0.004726769638848207,0.06875150644784599,-23.25435562709755
33,0.004251747030108587,0.06520542178460766,-23.714325829766295
34,0.004908667319660944,0.07006188207335672,-23.090364008052884
35,0.004919661577077064,0.07014029923715084,-23.080647712698486
36,0.004768408937426929,0.06905366708167589,-23.216265066964464
37,0.005699900402011584,0.07549768474603433,-22.441327329651727
38,0.006204035443967549,0.07876569966659058,-22.073257297050553
39,0.00543610905903794,0.07372997395251094,-22.647118390507885
40,0.006271527301304304,0.07919297507547184,-22.02626682812703
41,0.006038858445413732,0.07771009230089572,-22.190451504043047
42,0.004885647349287953,0.06989740588382341,-23.110778840235643
43,0.005028312468580942,0.07091059489653816,-22.985777422899865
44,0.003928602595769374,0.06267856568053687,-24.0576190073604
45,0.003991123032164377,0.06317533563159262,-23.98904884251428
46,0.0034940910713752668,0.05911083717369656,-24.566657795819697
47,0.0036388061933310778,0.06032251812823365,-24.3904107478153
48,0.0039998003045408435,0.06324397445243968,-23.979616908722647
49,0.0053326484177952695,0.07302498488733339,-22.73057048465029
50,0.004482151138047704,0.06694886958005866,-23.485135031527093
51,0.005711668628487656,0.07557558222394092,-22.432369967840277
52,0.004743838448852919,0.0688755286647799,-23.238701092657095
53,0.004382310827521855,0.06619902436986405,-23.582968221449715
54,0.0042761902001551555,0.06539258520776767,-23.68942986101058
55,0.005206941237408933,0.07215913828067054,-22.83417323498313
56,0.005917728038402439,0.07692677062247212,-22.278449976301168
57,0.005894794276196565,0.07677756362503674,-22.295313468490686
58,0.006365097446417339,0.07978156081712953,-21.961949431309264
59,0.0050972491146516075,0.0713950216377277,-22.92664140891421
