t,mse_t,rmse_t,mse_db_t
0,0.0015699031849418005,0.03962200379766021,-28.041271294646506
1,0.0011414781808733016,0.03378576891049398,-29.425323855464043
2,0.0009097397737418894,0.030161892741369687,-30.410828175580825
3,0.0008413051821338092,0.0290052612836673,-30.750464359801622
4,0.0006747662983710077,0.025976264134224686,-31.708466166534656
5,0.0007162937651830104,0.026763665017762617,-31.449088290429682
6,0.0007351585508218919,0.02711380738335898,-31.336189870093037
7,0.0006718813235534817,0.025920673670903727,-31.727074309305006
8,0.0006730005248852557,0.025942253658563584,-31.719845970617865
9,0.0007618327391141998,0.02760131770612048,-31.18140367837946
10,0.0007650933665977884,0.027660321158616153,-31.162855633771265
11,0.0007358298136877236,0.027126183175812325,-31.33222619796882
12,0.0005696264466437416,0.023866848276296173,-32.44409855458261
13,0.000710424541380988,0.026653790375497966,-31.48482044410976
14,0.0009222232065772293,0.03036812813752651,-30.35163953509338
15,0.0009537288304806187,0.030882500392303384,-30.205750887827897
16,0.0009414270404729393,0.030682683071611247,-30.262133316725787
17,0.0008469646723186267,0.029102657478632887,-30.72134704116816
18,0.0008130419153382486,0.028513889866839434,-30.898870643310627
19,0.0006927798066284289,0.02632071060264956,-31.59404779763309
20,0.0009764601666139829,0.031248362622927666,-30.10345468477091
21,0.0006614814683127361,0.02571928203338375,-31.794823182523757
22,0.0006409482238842727,0.025316955264886667,-31.93177051588123
23,0.0007135464054931778,0.026712289409430594,-31.465777772875867
24,0.0007470596541030235,0.02733239203039177,-31.266447175776943
25,0.0007398534008836568,0.027200246338657613,-31.30854325531953
26,0.0007498344346816698,0.027383104913096867,-31.250346193307855
27,0.0007737899825325882,0.027817080769422735,-31.11376896944808
28,0.0007600124423907409,0.027568323169731252,-31.191792976963036
29,0.0008156036689660004,0.028558775690950066,-30.885208292302092
30,0.0013643726892204752,0.03693741584383611,-28.65066982492106
31,0.0015148011290329869,0.03892044615665379,-28.196443798565895
32,0.001647091662391202,0.04058437707284913,-27.83282231210947
33,0.0015965430001901656,0.039956764135627466,-27.96819379978391
34,0.0014288928679745232,0.03780069930536369,-28.45000331455107
35,0.001465327030628114,0.03827959026201971,-28.34065438963649
36,0.001156961056510207,0.03401413024773979,-29.36681259222292
37,0.0011579906999648823,0.034029262407006156,-29.362949284929968
38,0.0012670531277414767,0.03559568973543674,-28.97205174697282
39,0.0012319005522265234,0.035098440880280184,-29.094243500956992
40,0.0010113510605342343,0.0318017461868721,-29.95098065785704
41,0.0011807993437420938,0.03436276100289518,-29.2782389689067
42,0.001424976333708595,0.03774885870736485,-28.461923484450253
43,0.0014150474091233856,0.03761711590650439,-28.49229009485441
44,0.0012511321049273982,0.03537134581730526,-29.026968314640822
45,0.0011782843670068296,0.03432614698749088,-29.287498843213427
46,0.0011356802436506925,0.03369985524673203,-29.447439291582445
47,0.0011863648870974529,0.03444364799346104,-29.257817156255655
48,0.0012356497157319235,0.03515180956553906,-29.08104626403546
49,0.0010587667240066602,0.032538695794494595,-29.75199716603202
50,0.0010200861943064701,0.03193878824104744,-29.913631300713106
51,0.0010041001940760276,0.03168754004456685,-29.982229489805828
52,0.001410884148544007,0.037561737826463874,-28.50508645858477
53,0.001109380755252119,0.0333073678823788,-29.549193722234563
54,0.001208947028090085,0.03476991556058319,-29.17592728016129
55,0.0015841843290829132,0.03980181313813371,-28.001942871113865
56,0.0012407926216355912,0.035224886396347556,-29.063007977157888
57,0.0014688724264330807,0.03832587150259053,-28.330159216379656
58,0.0013801771565406745,0.03715073561237616,-28.600651649248267
59,0.0012765263227511355,0.03572850854361452,-28.93970225350369
