t,mse_t,rmse_t,mse_db_t
0,0.9233887955206667,0.9609312126893718,-0.3461539951962906
1,0.858567108586259,0.9265889642048728,-0.6622575321169828
2,0.8112107427909457,0.9006723837172681,-0.9086630664987236
3,0.7336899671648678,0.8565570425633472,-1.3448741963958732
4,0.9382868161117199,0.9686520614295516,-0.27664385912508105
5,0.7810393348617154,0.8837642982502265,-1.073270935449588
6,0.6469970688720627,0.8043612800676464,-1.8909768683604837
7,0.6477828225100756,0.8048495651425026,-1.8857057251601965
8,0.7137038175932436,0.8448099298618853,-1.4648198020083278
9,0.6339402030518966,0.7962036190899264,-1.979517053822331
10,0.6905752254747312,0.8310085592066614,-1.6078900610908446
11,0.6690524733207367,0.8179562783674544,-1.7453981948186006
12,0.6043713834824689,0.7774132642825622,-2.1869610735398908
13,0.5831305924172715,0.7636298792067211,-2.342341738602241
14,0.5552752338008041,0.7451679232232182,-2.5549169635186835
15,0.5726222408623101,0.7567180722450799,-2.4213178782648725
16,0.5483082628736738,0.7404784013552819,-2.6097520935379426
17,0.5276264395388284,0.7263789916695198,-2.7767344993743253
18,0.5037132864413668,0.7097276142587147,-2.978165936090975
19,0.502035205019561,0.708544426990687,-2.9926582705888816
20,0.5047048959754811,0.7104258553680891,-2.969624822985675
21,0.4664555307208548,0.6829754978920216,-3.311897531674351
22,0.4817282846244659,0.6940664842970491,-3.171978533830986
23,0.46265725070758723,0.6801891286308442,-3.347406272334249
24,0.4795135045863002,0.6924691361976361,-3.1919915724259402
25,0.49868297788267013,0.7061748918523443,-3.021754557996749
26,0.5042895842056231,0.7101334974535585,-2.973200018363802
27,0.4726219562737466,0.6874750586557643,-3.254861065144072
28,0.522073584099736,0.7225465964903136,-2.822682806830819
29,0.5092908308091908,0.7136461523816904,-2.9303414272195365
30,0.5268205119589686,0.725824022721051,-2.783373239586058
31,0.5095101743509763,0.7137998139191242,-2.9284713919363377
32,0.5669694985566135,0.7529737701650792,-2.464403043608192
33,0.6439802199210073,0.8024837817183642,-1.91127471943115
34,0.6987104098290803,0.8358889937240951,-1.557027863039092
35,0.7734833119231672,0.879479000274121,-1.1154905186489181
36,0.8261105263404277,0.908906225273228,-0.8296184400098034
37,0.8561231138778332,0.9252692115691699,-0.6746377757381289
38,0.7903256275842675,0.8890026026870043,-1.021939351328022
39,0.8362222477989486,0.9144518838074251,-0.7767828217213113
40,0.7471462940565838,0.8643762456572854,-1.265943533640701
41,0.8270684152753108,0.9094330185754809,-0.8245856402955196
42,0.9441563175153829,0.9716770644176916,-0.2495609657673737
43,0.8281606768491613,0.9100333383174274,-0.8188539473784622
44,0.8438126511107326,0.9185927558557887,-0.7375396761686194
45,0.8032261077054572,0.8962288255269729,-0.9516218385425567
46,0.8055987213709288,0.8975515146056681,-0.9388123175681018
47,0.8040290856264638,0.8966766895746001,-0.9472824043239725
48,0.8464264543670285,0.920014377261045,-0.7241077157769688
49,0.8049038940374265,0.8971643628886663,-0.942559715338852
50,0.7876053410119849,0.8874713184165361,-1.0369134742959245
51,0.8317331981267101,0.9119940779011178,-0.8001596356951924
52,1.0169613558258959,1.00844501874217,0.0730445019861458
53,0.9403893617148886,0.9697367486668166,-0.2669229253588357
54,0.8434281247485078,0.9183834301360776,-0.7395192120184066
55,0.7188616903153228,0.8478571166861328,-1.4335466025823806
56,0.8012499220294373,0.8951256459455496,-0.9623199973482571
57,0.8371714675895078,0.9149707468490497,-0.7718558167065679
58,0.826357319620498,0.9090419790199449,-0.8283212170621475
59,0.8691511321775569,0.932282753341258,-0.6090469977241544
