t,mse_t,rmse_t,mse_db_t
0,0.8564010739370137,0.9254194043443296,-0.6732279676687237
1,1.6726407569336552,1.2933061342673882,2.234026749524968
2,4.1901498158833945,2.046985543642992,6.222295511401099
3,9.60324477025124,3.0989102552754315,9.824179984269213
4,20.043211880074793,4.476964583294667,13.019673174957118
5,38.398256894852906,6.1966327061439515,15.843115098329177
6,68.72098257752722,8.289811974799381,18.370893604411634
7,115.44461190815683,10.74451543384609,20.623736681049756
8,183.5629975734058,13.548542267469434,22.637851410849432
9,278.40207400977346,16.685385042298947,24.446724663108125
10,406.9716465746724,20.173538276035575,26.095641532913195
11,577.7024805413628,24.035442174866738,27.617042323209056
12,803.6311650555984,28.34838910865304,29.050567704719672
13,1104.2024154883375,33.22954130722146,30.430486928422546
14,1510.6672746023496,38.867303413053364,31.79168821244243
15,2067.6528001013485,45.47145038484421,33.15477613890253
16,2840.3158145915713,53.29461337313154,34.533666319163785
17,3927.097837604942,62.66656076094285,35.94071721184514
18,5475.886907757042,73.9992358592779,37.38454470169724
19,7711.679616149038,87.81616944588872,38.871489783858465
20,10973.45659827208,104.75426768524555,40.40343450281873
21,15769.910807877839,125.5783054825866,41.97829237034925
22,22868.067280973974,151.22191402364265,43.59229461297734
23,33434.14809514132,182.8500699894351,45.241902618175786
24,49256.62033724865,221.93832552591869,46.92464610117036
25,73058.0626908315,270.2925501948426,48.636681516722724
26,109037.74162429365,330.20863347934085,50.37576847868213
27,163656.41586753412,404.544701939766,52.13933035743921
28,246909.9622620194,496.90035445954294,53.925386130916635
29,374356.5790426078,611.8468591425536,55.73285469938463
30,570602.8426199486,755.3825802995119,57.56333930887624
31,874110.9984241709,934.939034602883,59.415665847422794
32,1345172.0376747537,1159.8155188109674,61.28777830981452
33,2079847.334362956,1442.167581927619,63.18031457906493
34,3230107.0621965975,1797.2498608141823,65.09216917300337
35,5038179.1213561455,2244.5888535222093,67.02273603819835
36,7890636.509951971,2809.027680524343,68.9711203763402
37,12410177.680221964,3522.8082094008414,70.93777999467105
38,19589140.743914153,4425.962126353337,72.92015386563351
39,31034187.411602207,5570.833637042324,74.91840378454224
40,49339140.11303416,7024.182522759083,76.93191576296431
41,78687041.69635698,8870.571666829426,78.95903217960941
42,125862376.60809012,11218.84025236522,80.99895928095039
43,201877893.59544477,14208.37406586147,83.05088764633831
44,324588138.97482836,18016.329786469505,85.11332645891022
45,522929452.87134725,22867.650794765676,87.18443103216684
46,843807930.8168851,29048.37225761342,89.26243602929986
47,1363777200.697215,36929.35418738344,91.34743425737477
48,2206756717.2661123,46976.12922821667,93.43754457233848
49,3574610736.5963187,59788.04844278093,95.53228755465028
50,5796188411.729519,76132.70264301353,97.63142494267134
51,9407721116.622442,96993.40759362176,99.73484434656046
52,15283429564.990902,123626.16860920224,101.84220819817214
53,24842912649.596416,157616.3463908373,103.95202512337539
54,40409038185.26222,201019.9944912501,106.06478513501189
55,65765667674.75943,256448.17736681114,108.1799923357407
56,107083875564.53363,327236.72710216016,110.29724080724017
57,174452027267.60144,417674.54706697346,112.41676020651525
58,284321519423.6761,533218.0786729535,114.53809731351613
59,463564386883.2371,680855.6285169692,116.66110064103067
