t,mse_t,rmse_t,mse_db_t
0,1.0230960754928928,1.0114821182269575,0.09916418753429646
1,1.8883186536001164,1.3741610726549185,2.7607528330045294
2,4.573572850685654,2.138591323905915,6.602556011861873
3,10.435257202973911,3.2303648714926787,10.185031578054693
4,21.98432349808552,4.688744341301359,13.421131060453845
5,43.803828178357904,6.6184460546534565,16.415120667617703
6,84.64417027695445,9.200226642694975,19.275970521822845
7,161.7514298869797,12.718153556510462,22.088481285325784
8,306.68989587075544,17.51256394337378,24.866994680598893
9,580.124858337833,24.085781248235087,27.63521475375623
10,1097.2863211484882,33.125312393221115,30.403199652867023
11,2084.632041158699,45.657770873737356,33.190294086637806
12,3988.0314462708056,63.15086259324417,36.00758574135115
13,7670.415023577379,87.58090558778996,38.848188629806934
14,14766.965953636189,121.51940566689828,41.69291273582111
15,28322.04280074239,168.29154108493506,44.52124574762587
16,54033.548485956264,232.4511744129426,47.326634894208496
17,102455.93666653831,320.0873891088781,50.10537128055127
18,192907.8189601364,439.2127263185078,52.85349830870543
19,360394.42655585054,600.3285988155575,55.56778066061866
20,667113.7413268847,816.7703112423252,58.241998864193
21,1228305.3762287132,1108.2893919138237,60.893063527363786
22,2254972.723778454,1501.6566597523065,63.53141293005932
23,4133157.3951250953,2033.0168211613734,66.16281944002434
24,7569676.098019531,2751.3044357212693,68.79077296692633
25,13860167.390034866,3722.9245748517205,71.41768475306775
26,25382667.669320043,5038.12144249422,74.0453726366815
27,46513066.119110554,6820.048835537071,76.67574968940036
28,85307314.38327412,9236.19588268212,79.3098626985577
29,156600470.5794769,12514.010970886868,81.94793062765112
30,287755283.7180448,16963.351193618695,84.59023306823197
31,529357209.0567361,23007.764103813653,87.23748831899908
32,974838743.0548784,31222.407707524388,89.88932781038523
33,1796942567.2940419,42390.35936736137,92.54534196693908
34,3316089542.434619,57585.49767462828,95.20626249037528
35,6125715561.348957,78266.95063274764,97.8715682710906
36,11325499889.005085,106421.33192647556,100.54057380154644
37,20959836539.750076,144775.12403638297,103.2138789137651
38,38823473119.582565,197036.73038188225,105.89094384457792
39,71965275071.98566,268263.4434133463,108.5712298973035
40,133511012205.22134,365391.58748556505,111.25517088492504
41,247872565506.16214,497868.02016815875,113.94228461787512
42,460497556406.8066,678599.7026279975,116.63227329990293
43,856117727482.8348,925266.3008468616,119.32533490004943
44,1592625238531.6787,1261992.5667497723,122.02113593763832
45,2964413055441.053,1721747.0939255431,124.71938717256153
46,5521156765143.288,2349714.1879691,127.42030078469631
47,10288721001624.943,3207603.6228974652,130.12361390655516
48,19182746855314.57,4379811.280787629,132.82910795675645
49,35784357696084.03,5982002.816455709,135.5369322634108
50,66786627139802.86,8172308.556326227,138.24689511265913
51,124704544133381.86,11167118.882387787,140.95882279108824
52,232960897275830.12,15263056.616413048,143.67283030371573
53,435389432815430.7,20865987.46322423,146.38877884223587
54,814054289442382.4,28531636.641496442,149.10653369040352
55,1522719251482811.2,39022035.460529365,151.82619838482987
56,2849479798384654.5,53380518.903291434,154.54765582355236
57,5334364255430284.0,73036732.23406346,157.27082668032173
58,9990234116132460.0,99951158.65327655,159.99575665818884
59,1.8717054807712756e+16,136810287.65305904,162.72237512063032
