t,mse_t,rmse_t,mse_db_t
0,0.9955284353419064,0.9977617127059478,-0.019463306785483372
1,2.2085961380977883,1.4861346298696456,3.441163084332776
2,6.2647361329744236,2.502945491410954,7.969027834855577
3,14.986013020502698,3.871177213781707,11.75686105596262
4,31.479391658481536,5.610649842797315,14.98026330995877
5,60.00411597092535,7.746232372639318,17.781810417528277
6,106.17877321006002,10.304308478013457,20.260377031940692
7,177.45032697765438,13.321048268723239,22.49076803934162
8,283.35446294767354,16.83313586197395,24.52330057345553
9,435.35296903976877,20.86511368384483,26.388415106266784
10,649.7049072477381,25.48930966597052,28.127161470217416
11,947.2164563995351,30.776881849848518,29.764492346295057
12,1363.200423571219,36.92154416558466,31.34559712365857
13,1950.2346614046876,44.161461268901505,32.900868708608
14,2787.91815604124,52.80074010883976,34.452800201787
15,4001.3602928427918,63.256306348401274,36.022076581394714
16,5790.45630426252,76.09504783008234,37.627127887041
17,8452.3724616859,91.9367851389524,39.269786263938634
18,12452.334482828195,111.59002859945953,40.95250777774659
19,18511.472984243,136.05687407934596,42.67440977557697
20,27742.760099712268,166.56158050316486,44.43149666414412
21,41849.48420040046,204.5714647755167,46.21690109633931
22,63439.52787128202,251.87204662542848,48.023599422215916
23,96526.06771121758,310.68644597281286,49.84644614217615
24,147282.487412897,383.7740056503267,51.681511102364055
25,225240.60891487138,474.59520532225287,53.526466927411214
26,345133.5143363834,587.4806501803981,55.379871336891796
27,529752.6444850425,727.8410846366414,57.240731333533745
28,814272.2568407755,902.3703545888326,59.107696381500574
29,1253228.0196111423,1119.4766722049828,60.98030096253132
30,1930932.1700423372,1389.5798537839908,62.857670181120106
31,2977761.0271399906,1725.6190272305155,64.73889841583114
32,4595692.215672129,2143.7565663274663,66.6235093526621
33,7097841.148277316,2664.177386788897,68.51126275485146
34,10970076.580136074,3312.1105929808673,70.4020965931714
35,16965573.241754554,4118.928652180632,72.2956853840052
36,26254361.72674541,5123.901026244107,74.1920146456092
37,40635511.378222115,6374.5989190083255,76.08905729508871
38,62943771.84793114,7933.711101869739,77.98952764056412
39,97504967.51630768,9874.460365827981,79.89026741954592
40,151119707.27825388,12293.075582548652,81.79321103677923
41,234279307.12108803,15306.18525698314,83.69733930935857
42,363297743.4178287,19060.371019941576,85.60262700300841
43,563447427.2151109,23737.04756735999,87.50853400177118
44,874060310.8456497,29564.511002985484,89.41541400327523
45,1356162049.6992111,36826.10554619116,91.32311587086541
46,2104358605.9338963,45873.28858861,93.2311975036172
47,3265674570.855939,57146.08097547844,95.13972904490285
48,5069261687.370236,71198.74779355488,97.04944711118331
49,7869269589.093028,88708.9036630091,98.95934423826975
50,12218390134.29416,110536.82705005676,100.8701398807919
51,18973078968.071827,137742.80005892078,102.78137814301334
52,29466342103.61716,171657.63048468647,104.69326226694393
53,45768404098.74234,213935.51387916485,106.6056576925069
54,71091448787.02034,266629.79726020934,108.5181736489355
55,110437152366.05869,332320.857554952,110.4311519978132
56,171580250951.2603,414222.4655318206,112.34467298684736
57,266602800780.9277,516335.9379134167,114.25864707558382
58,414250624721.119,643623.04551742,116.17263172040632
59,643776941735.2336,802357.1160868667,118.08735417431164
