t,mse_t,rmse_t,mse_db_t
0,0.9955284353419064,0.9977617127059478,-0.019463306785483372
1,2.25645049405546,1.5021486258208474,3.534258096512511
2,6.541700036873964,2.5576747324227846,8.156906261055143
3,16.28197927285511,4.035093465194469,12.117071975452209
4,36.3679375904951,6.030583519900467,15.607186731068401
5,76.51074381526027,8.74704200374391,18.837224240694734
6,158.10338582329643,12.573916884698118,21.989411705560503
7,323.3447267048465,17.98178875153544,25.09665782612156
8,646.9089853292702,25.434405543068433,28.108431833739395
9,1266.8947370948538,35.593464808793954,31.02740532012112
10,2443.1352865292047,49.42808196288022,33.87947516325196
11,4648.527404826832,68.18011003824233,36.67315395632705
12,8739.28032392537,93.48411803041931,39.414756701381954
13,16195.682934924922,127.26226045031937,42.093992659377946
14,29631.17840691919,172.13709189747337,44.71748923347951
15,53684.66083443412,231.69950546868702,47.298502136960536
16,96474.72844656612,310.603812672295,49.84413564809395
17,172247.34631365648,415.02692239619404,52.36152539780166
18,306413.0180822772,553.5458590598228,54.86307212531052
19,544341.5802010621,737.7950800873249,57.35871509702278
20,967189.591604793,983.4579765321918,59.85511614224794
21,1718986.0481423647,1311.1010823511529,62.35272351824125
22,3058500.364351381,1748.8568736038353,64.85508536570224
23,5446977.961169088,2333.876166631188,67.36155618092663
24,9717109.324549472,3117.2278268598643,69.87537088886214
25,17370003.78597255,4167.7336510353625,72.39799913106097
26,31147041.013442352,5580.953414376647,74.93416794732802
27,55998819.82160623,7483.235919146625,77.48178874321111
28,101091934.505962,10054.44849337655,80.04716507329042
29,183009184.9113251,13528.088738300215,82.62472886758869
30,332495176.1042557,18234.450255059943,85.21785348867694
31,606020797.4071946,24617.48966501651,87.82487528529649
32,1108475051.2730837,33293.76895566322,90.44725922785317
33,2033804982.7069821,45097.72702373128,93.08309306996405
34,3744714652.388704,61194.07367048466,95.7341873001561
35,6911515730.134009,83135.52628169266,98.39573300781821
36,12798021421.234663,113128.34048652292,101.07142832752608
37,23761429909.0133,154147.4291352707,103.75872571953452
38,44243045171.874115,210340.30800556063,106.45845011059471
39,82553033896.87592,287320.437659551,109.16733038597724
40,154443603406.69937,392993.13404523925,111.8876992582814
41,289493700563.9997,538046.18813258,114.61639117838723
42,543847511981.62726,737460.1765394707,117.35477146043112
43,1023527471253.0,1011695.3450782503,120.10099503523664
44,1929851724695.5947,1389191.032470191,122.85523942365151
45,3644420866819.112,1909036.6331789214,125.61628524607984
46,6894261849691.47,2625692.6418930814,128.38487774244032
47,13060470360540.941,3613927.2765982635,131.15958817927495
48,24775557819009.51,4977505.180209209,133.94023441360764
49,47059455401092.21,6859989.460712911,136.72646896965182
50,89495723616755.67,9460217.947635015,139.5180228387439
51,170392429357818.84,13053445.114521256,142.31450294883945
52,324772446393718.0,18021444.070709705,145.11579176705953
53,619615304628005.6,24892073.128367707,147.9212213638446
54,1183306792001449.8,34399226.61923447,150.73097357307333
55,2261884431150514.0,47559272.81982467,153.54470411289782
56,4327471652529450.5,65783521.13203922,156.36234231673865
57,8285798473970015.0,91026361.42332624,159.18334366241166
58,1.587790817837446e+16,126007571.90889148,162.00793286099324
59,3.04487576402884e+16,174495723.84528053,164.83569577396665
