t,mse_t,rmse_t,mse_db_t
0,0.9057130679640103,0.9516895859281063,-0.4300936605019975
1,1.7138536428717899,1.3091423310212644,2.3397373193543944
2,3.5841875182469582,1.893195055520418,5.543907230909594
3,7.42492476135412,2.7248715128156262,8.706920571954067
4,14.979066111284645,3.870279849220809,11.754847375718047
5,28.956035555529347,5.381081262676615,14.61739101233131
6,54.780762945807176,7.401402768786953,17.386280764912666
7,102.37175452174417,10.117892790583628,20.101801466059364
8,190.47261765871517,13.801181748629904,22.798325503293416
9,360.7429335977065,18.993233889933187,25.57197832684228
10,696.2221375511937,26.38602163175028,28.42747828289658
11,1369.3483691267359,37.00470739144867,31.36513948895638
12,2740.956588898011,52.35414586160308,34.37902157264655
13,5534.293730407535,74.39283386461048,37.43062205421098
14,11163.211926737007,105.65610217463545,40.47789169634038
15,22353.729562854845,149.51163688106303,43.49349992498831
16,44152.95547278024,210.12604663101678,46.44959779319261
17,85785.24770174564,292.89118747709983,49.33412609613497
18,165284.98629328376,406.55256276806784,52.18233406105564
19,316927.9233011239,562.9635186236528,55.00960504893519
20,606076.0119112697,778.5088386853869,57.82527095261073
21,1159351.3507900506,1076.731791482935,60.64215072361545
22,2223348.780052939,1491.089796106505,63.47007596469054
23,4275704.172497531,2067.7775926094014,66.31007649601212
24,8249206.227008063,2872.143141803358,69.16412160935927
25,16053311.794023752,4006.6584324126948,72.05564640821868
26,31912087.296722267,5649.078446678031,75.03955211332395
27,63582493.6982839,7973.863160243214,78.03337556893734
28,127807253.11545447,11305.187000463746,81.06555500916554
29,258783324.187356,16086.743740961252,84.12936287271975
30,522928449.709072,22867.628860663976,87.184422700866
31,1055355285.6786193,32486.232248117343,90.23398689618993
32,2129414824.297087,46145.58293376612,93.28260273159438
33,4299004842.197528,65566.79679683558,96.33367934286228
34,8696199734.228443,93253.41674291856,99.39329506064104
35,17616932984.5641,132728.79485840327,102.45930302270182
36,35762235691.762794,189109.0576671641,105.53424661081529
37,72780821128.46437,269779.20811001054,108.62016951079143
38,148410463736.7884,385240.7866994205,111.71464522121872
39,303314690238.002,550740.1294966638,114.81893444714893
40,621218873390.3732,788174.3927522469,117.93244641655332
41,1273554320922.6143,1128518.6400421634,121.05017473660698
42,2617107865082.327,1617747.775483659,124.17821622618735
43,5389809300018.917,2321596.2827371424,127.31573399432635
44,11107300090447.002,3332761.631207219,130.45608505536853
45,22894540181258.4,4784823.944646073,133.59731925489945
46,47176749941656.734,6868533.318085946,136.73728018554186
47,97168862335322.14,9857426.760332644,139.87527117987798
48,200111034131909.44,14146060.728411619,143.0127103631478
49,412129176503445.94,20300964.91557596,146.15033361299427
50,849076058744119.8,29138909.70410732,149.2894659532447
51,1750281853371680.5,41836369.983205765,152.43107990119253
52,3610166329844730.0,60084659.68818273,155.5752721145404
53,7451619825503175.0,86322765.39536472,158.72250689501465
54,1.5390832097864078e+16,124059792.43036029,161.87262100386502
55,3.1810752101231144e+16,178355689.84821075,165.02573937247985
56,6.579500230096711e+16,256505365.05298892,168.18192906447646
57,1.3617399866265925e+17,369017612.9436903,171.3409419043035
58,2.820199491422113e+17,531055504.76594377,174.50279829936204
59,5.844245351453786e+17,764476641.3340427,177.6672844007297
