t,mse_t,rmse_t,mse_db_t
0,3047.1563449407,55.20105383904097,34.8389473778128
1,3132.607088488657,55.96969794887817,34.959059263205376
2,3334.2074965306415,57.74259689804955,35.229926236246136
3,3905.3808929800125,62.4930467570594,35.91663397151203
4,5352.387900303226,73.16001572104278,37.28547580256145
5,7376.036868995335,85.88385685910556,38.67823078864609
6,10017.600188684813,100.08796225663112,40.007636946211214
7,13264.449734410786,115.17139286476822,41.22689238316403
8,17367.49124651746,131.78577786133624,42.39737088655354
9,23490.05677668316,153.26466251776094,43.70884066491118
10,32036.20038332023,178.98659274739052,45.056410014692936
11,43713.20544798906,209.07703233016548,46.40612654060722
12,58875.31007032855,242.64235011705716,47.69933207380742
13,76367.4360351359,276.3465867984186,48.8290820981846
14,98081.96791707686,313.18040793938064,49.91589170948334
15,125154.16399430098,353.77134422434636,50.97445303562011
16,157080.72834265785,396.3341120098772,51.96122906314092
17,194568.55983396724,441.09926301680355,52.890726643303225
18,237565.55457417291,487.4069701739737,53.75783471061588
19,297458.24816625006,545.397330545585,54.734260159015065
20,377213.27153330686,614.1769057310009,55.76586964161492
21,485958.7019570955,697.1073819413301,56.865993633482425
22,633078.1482789308,795.6620817149268,58.01457323400382
23,825323.4792564389,908.4731582476386,59.16624200333465
24,1075626.8995520556,1037.1243414133407,60.3166165463433
25,1420795.5447591452,1191.971285207469,61.52531586603479
26,1857883.035722858,1363.041831978336,62.6901836921678
27,2434031.200585867,1560.138199194503,63.86326140925857
28,3136757.006997512,1771.0892148611576,64.96480876808187
29,4028995.5870990413,2007.2358075470459,66.05196791712135
30,5126138.557185157,2264.097735784645,67.09790340788469
31,6527089.730582578,2554.816966160703,68.14719583161582
32,8161506.854810088,2856.835111589412,69.11770349723571
33,10233638.12131242,3199.005802012935,70.1003005552296
34,12587527.323192159,3547.8905455484614,70.99940426266636
35,15544403.682167064,3942.6391772728916,71.91574066198335
36,18763308.407273505,4331.663468838906,72.73309417003743
37,22855918.8152615,4780.7864222595745,73.58998684753644
38,27948892.53296366,5286.671214759213,74.46364603766209
39,34037292.29750045,5834.148806595565,75.31955004202604
