t,mse_t,rmse_t,mse_db_t
0,0.9843147397041321,0.992126372849816,-0.06866011466229054
1,1.4885985851287842,1.2200813846333303,1.727776018713212
2,2.496580123901367,1.5800570002064378,3.9734550862859797
3,3.3416786193847656,1.8280258803924976,5.239646799860927
4,3.6268558502197266,1.904430584248144,5.59530294842024
5,3.324256181716919,1.8232542833397976,5.216944850335194
6,2.7641496658325195,1.662573206157407,4.415615543626033
7,2.3589422702789307,1.5358848492901187,3.7271731265071373
8,2.3484041690826416,1.5324503806266099,3.7077284270204003
9,2.6911447048187256,1.6404708789913722,4.299370507234905
10,3.1471407413482666,1.774018247185825,4.979161651643106
11,3.513026237487793,1.8743068685484223,5.456813933882724
12,3.7020339965820312,1.9240670457606281,5.684404026557256
13,3.784914493560791,1.945485670356066,5.780560726355162
14,3.916651964187622,1.979053299986542,5.929149816197938
15,4.254843235015869,2.062727135375852,6.288835636164341
16,4.882312774658203,2.209595613377752,6.886255980957163
17,5.774612903594971,2.403042426507483,7.61522876968125
18,6.837427139282227,2.6148474409193025,8.348927114546466
19,7.982409477233887,2.8253158190251733,9.02134002217969
20,9.214553833007812,3.0355483578766806,9.644743116056905
21,10.665283203125,3.2657745181082234,10.279723920800057
22,12.509653091430664,3.536898795757473,10.972452663228067
23,14.902887344360352,3.8604257983233343,11.732704184956193
24,17.90509605407715,4.231441368384672,12.529766551800229
25,21.48023223876953,4.634677145041446,13.3203897253361
26,25.552474975585938,5.054945595709803,14.074329716403224
27,30.111421585083008,5.487387500904506,14.78731259397954
28,35.249629974365234,5.937139881657265,15.471545624356501
29,41.232994079589844,6.42129224374579,16.152448716685154
30,48.34330749511719,6.952935171214901,16.84336360133264
31,56.921817779541016,7.5446549145432105,17.552787606852334
32,67.26434326171875,8.20148421090468,18.277849062985517
33,79.68453216552734,8.926619302150582,19.01374027204094
34,94.64336395263672,9.728482099106557,19.76090168222829
35,112.7698974609375,10.61931718430792,20.52193185539715
36,134.91458129882812,11.615273621349957,21.300588898898546
37,162.26199340820312,12.738209976609866,22.102168070348146
38,195.9742431640625,13.9990800827791,22.92198995913739
39,237.0030975341797,15.3949049212452,23.74754022099601
40,286.2020568847656,16.91750740755758,24.56672750634427
41,344.39349365234375,18.55784183714108,25.37054938084823
42,412.60662841796875,20.31272085216475,26.155362005208573
43,493.0260925292969,22.204190877609047,26.928699041486873
44,588.5558471679688,24.260169974012317,27.69787678676691
45,703.102294921875,26.516076159980287,28.47018515472376
46,841.4447021484375,29.00766626511753,29.250255803939563
47,1009.7022094726562,31.775811704386975,30.041933066021254
48,1214.9346923828125,34.85591330581961,30.84552933489835
49,1466.2591552734375,38.29176354352771,31.66210736852364
50,1775.4241943359375,42.135782825716404,32.49302133869722
51,2156.718505859375,46.44048348003469,33.337934648384206
52,2626.6259765625,51.250619279795046,34.193982349940356
53,3205.49609375,56.61710071833421,35.0589525198442
54,3913.627197265625,62.558989739809775,35.92579453442185
55,4774.80322265625,69.09995095986864,36.78955478312333
56,5814.962890625,76.25590397224991,37.6454694753425
57,7063.85693359375,84.04675445009016,38.490418947626075
58,8561.0595703125,92.52599402499008,39.32527519006855
59,10363.96484375,101.80356007404653,40.15525931118952
60,12547.2724609375,112.01460824793122,40.98549328693184
61,15207.962890625,123.32056961685265,41.82071044124584
62,18475.26953125,135.9237636737962,42.66590782930501
63,22501.404296875,150.00468091654673,43.522096229714656
64,27473.26953125,165.75062452748105,44.389103468936256
65,33629.58984375,183.38372295203845,45.267215705652355
66,41249.1640625,203.098902169608,46.15415151753288
67,50678.80078125,225.11952554420952,47.04826329568789
68,62320.2109375,249.64016290953666,47.94628914639432
69,76645.078125,276.8484750274056,48.844842712349546
70,94173.625,306.87721485962425,49.739292879220585
71,115547.1640625,339.9222912115356,50.627592908179714
72,141502.1875,376.167765099563,51.507631537248734
73,172994.078125,415.92556801067184,52.380312367608546
74,211262.5625,459.6330737664556,53.248225432416746
75,257895.1875,507.8338187832709,54.11443237982471
76,314994.96875,561.2441258044488,54.983036170862285
77,385257.125,620.6908449461777,55.857506793685744
78,471884.75,686.938679941667,56.738359423824356
79,579247.6875,761.0832329647001,57.62864308654514
80,712088.5,843.8533640390373,58.525339721103826
81,876446.8125,936.1873810835094,59.42725565907704
82,1079675.5,1039.0743476768157,60.332932464725744
83,1331170.0,1153.7634072893802,61.24233521550864
84,1641053.75,1281.036201674254,62.151228058831435
85,2021499.875,1421.794596627797,63.056737188149754
86,2487720.25,1577.250851957291,63.958015413273856
87,3057773.25,1748.6489784973999,64.85405277045906
88,3754053.25,1937.5379351124973,65.74500428652173
89,4604091.0,2145.714566292544,66.63143898886356
90,5644801.5,2375.879100459449,67.51648674521326
91,6922054.0,2630.9796654478346,68.40234982968879
92,8494898.0,2914.600830302496,69.29158168572563
93,10435447.0,3230.394248385172,70.18511056705316
94,12832800.0,3582.2897705238756,71.08321425811947
95,15803597.0,3975.373818900557,71.9875594641388
96,19483398.0,4414.000226551874,72.89664702232254
97,24036098.0,4902.662337954756,73.80863966050656
98,29669546.0,5446.975858217108,74.72310900843188
99,36606996.0,6050.371558838349,75.63564091783708
100,45154312.0,6719.69582644929,76.54699229475386
101,55648196.0,7459.7718463770725,77.45451089965526
102,68516344.0,8277.459996883103,78.35794181161734
103,84280128.0,9180.42090538337,79.25725186519018
104,103557520.0,10176.321535800646,80.15181641384197
105,127181208.0,11277.464608678672,81.04422945708475
106,156164832.0,12496.592815643791,81.93583238325118
107,191832816.0,13850.372413765632,82.82922902045549
108,235831264.0,15356.79862471342,83.72601378717692
109,290284544.0,17037.738817108333,84.62823912737602
110,357734720.0,18913.87638745691,85.53561092714402
111,441137376.0,21003.27060245618,86.44573855563237
112,544377536.0,23331.89953690012,87.35900195531056
113,672013184.0,25923.21708430495,88.27377793414365
114,829403264.0,28799.36221516025,89.18765740136269
115,1023379008.0,31990.29552848801,90.10036504288173
116,1261386880.0,35516.00878477198,91.00848309475411
117,1554211584.0,39423.49025644483,91.91510141561824
118,1913116672.0,43739.189201447254,92.81741456415533
119,2352974848.0,48507.47208420575,93.71617284832973
120,2893465600.0,53790.94347564467,94.61418323465081
121,3556643584.0,59637.60209800525,95.51040346136685
122,4374042112.0,66136.54142756484,96.4088295998218
123,5383081984.0,73369.48946258247,97.31030994143696
124,6629518336.0,81421.8541670478,98.214819761248
125,8169362432.0,90384.52540119908,99.12188163867933
126,10071154688.0,100355.14280792988,100.03079266569293
127,12419024896.0,111440.67882061738,100.94087497699554
128,15318331392.0,123767.24684665164,101.85211460680789
129,18895554560.0,137461.10198888995,102.76359642419408
130,23306106880.0,152663.37766471694,103.67469733763377
131,28727734272.0,169492.57881099102,104.58301374966184
132,35390910464.0,188124.72050211797,105.48891735409626
133,43586998272.0,208774.99436474667,106.39356961268325
134,53633482752.0,231589.03849707567,107.29435999291339
135,65942818816.0,256793.3387298043,108.19167507715673
136,81097498624.0,284776.22552453354,109.09007459013284
137,99752648704.0,315836.42713278026,109.9892443621101
138,122635231232.0,350193.1341874081,110.88615254290102
139,150831595520.0,388370.4359500089,111.78492325106052
140,185633996800.0,430852.639309544,112.68657515366527
141,228522278912.0,478040.0390260213,113.58928546361605
142,281426296832.0,530496.2740981316,114.4936467602494
143,346682425344.0,588797.4399944347,115.3993182616871
144,427124981760.0,653547.9949934817,116.30554973260652
145,526152433664.0,725363.6561504856,117.21111583523543
146,648018067456.0,804995.6940605334,118.11587114646913
147,797836771328.0,893217.0908172324,119.01914048540414
148,982218309632.0,991069.2758995206,119.92208025598913
149,1208706400256.0,1099411.842875999,120.82320821759323
150,1486781939712.0,1219336.6802126474,121.7224727697907
151,1828571316224.0,1352246.766024604,122.62111902950558
152,2248792866816.0,1499597.5682882392,123.51949455016957
153,2765761544192.0,1663057.8896093785,124.4181473379723
154,3402629120000.0,1844621.6739483464,125.31814614416012
155,4187994718208.0,2046459.0682952835,126.22006125286038
156,5157659082752.0,2271048.014189044,127.12452632223642
157,6354514739200.0,2520816.2843015753,128.0308239137558
158,7831660003328.0,2798510.3186030956,128.93853825132717
159,9656042782720.0,3107417.381479353,129.8479918130823
160,11906278490112.0,3450547.563809547,130.75776036564838
161,14681816170496.0,3831685.8131240355,131.6677978201312
162,18103740137472.0,4254849.014650461,132.57768307093824
163,22311702888448.0,4723526.530935124,133.48532718057623
164,27482442956800.0,5242369.975192518,134.39055335210696
165,33833229484032.0,5816633.8619541805,135.29343454487764
166,41636247633920.0,6452615.565328528,136.19471582862664
167,51239442186240.0,7158173.103958858,137.09604393189034
168,63069417897984.0,7941625.645797213,137.99818822671455
169,77650064310272.0,8811927.389071701,138.9014181975015
170,95632521953280.0,9779188.205228489,139.80605608834372
171,117855152504832.0,10856111.297551809,140.71348574178975
172,145295388180480.0,12053853.665134648,141.62251829579813
173,179210144448512.0,13386939.323404435,142.53362589887007
174,221049148932096.0,14867721.71289522,143.4448884715501
175,272671568822272.0,16512769.871292703,144.35639856873388
176,336282316177408.0,18338001.96797372,145.2670403000123
177,414530345631744.0,20360018.311183907,146.17556328512404
178,510881360248832.0,22602684.801784765,147.083200575291
179,629535032737792.0,25090536.71681401,147.99019902992518
180,775518555209728.0,27848133.783248886,148.89592193289263
181,955207638843392.0,30906433.61572784,149.80097786873932
182,1176249137364992.0,34296488.70314557,150.70499317933496
183,1448723070582784.0,38062094.93160859,151.6098537621514
184,1784782249787392.0,42246683.29925311,152.51585238104042
185,2198959099478016.0,46893060.248591326,153.4221715158171
186,2710078461313024.0,52058413.9338976,154.32981864609468
187,3341059354525696.0,57801897.49935287,155.2388419102694
188,4120383854739456.0,64190216.19171769,156.14937676768523
189,5082168766234624.0,71289331.36335775,157.06049082797674
190,6268190699028480.0,79171905.99593066,157.97142200667633
191,7730295277092864.0,87922097.7746372,158.8819608315026
192,9532689577148416.0,97635493.42912349,159.79215450871044
193,1.1748612455268352e+16,108391016.4878453,160.6998657821597
194,1.4476458927849472e+16,120318157.09962264,161.6066234251252
195,1.7833899287642112e+16,133543623.16352703,162.5124630974642
196,2.1962749059792896e+16,148198343.64726517,163.4168669947457
197,2.704762097106944e+16,164461609.4140801,164.3212907186129
