t,mse_t,rmse_t,mse_db_t
0,0.9916554689407349,0.9958189940650534,-0.03639188659839227
1,5.523431301116943,2.3501981408206722,7.422089567456313
2,13.55471420288086,3.6816727452179747,11.32090365043004
3,26.584728240966797,5.156038037191618,14.246322251522939
4,48.11129379272461,6.936230517559563,16.82247035960679
5,69.66439056396484,8.346519667739653,18.430108421809834
6,82.2001953125,9.066432336509218,19.148728494505153
7,89.73502349853516,9.47285719825519,19.529619808750837
8,98.30168914794922,9.914720830560446,19.92560980510983
9,106.302978515625,10.310333579260421,20.265454332418095
10,139.48452758789062,11.810356793420368,21.445260358829202
11,194.0936737060547,13.931750561435368,22.88011380214089
12,258.2589416503906,16.07043688424153,24.12055366947505
13,311.61566162109375,17.65263894212686,24.936192769359877
14,350.4864807128906,18.72128416302927,25.446712706192905
15,374.3013000488281,19.346867964836793,25.732213355382846
16,395.7337951660156,19.89305896955055,25.97403140049694
17,439.3525390625,20.96073803716129,26.428131405760112
18,542.854248046875,23.29923277807394,27.346832407014105
19,707.1402587890625,26.592108957152355,28.4950556312749
20,877.7515869140625,29.626872715729927,29.433716233124358
21,991.1612548828125,31.482713588298143,29.961443168552186
22,1073.3026123046875,32.76129747590421,30.307221863884415
23,1107.70849609375,33.282254973089636,30.44425486751369
24,1174.8111572265625,34.27551833636601,30.69968062381679
25,1362.9088134765625,36.917594903738824,31.344667999808813
26,1740.634033203125,41.72090642834986,32.407074706764966
27,2336.3369140625,48.335669169491176,33.68535470875122
28,3005.968994140625,54.82671788590509,34.77984496629106
29,3398.611083984375,58.297607875318306,35.313014694541074
30,3426.254638671875,58.53421767369814,35.34819636522231
31,3306.21044921875,57.49965607913451,35.193304941312334
32,3569.17431640625,59.74256703897356,35.525677591645774
33,4549.75732421875,67.45188895960402,36.57988232797032
34,6179.57373046875,78.61026479073041,37.90958518310478
35,8018.91015625,89.54836769171172,39.041153476745485
36,9155.1064453125,95.68232044276779,39.616633981563496
37,9399.9130859375,96.95314892223718,39.73123838017544
38,8884.4091796875,94.25714391857787,39.486285521713654
39,8705.6640625,93.3041481526947,39.398019044228704
40,10471.181640625,102.32879184581923,40.19995693240118
41,15204.521484375,123.30661573644376,41.81972756610003
42,21689.064453125,147.27207628442332,43.36240819344388
43,27198.330078125,164.9191622526776,44.345422400592305
44,28861.798828125,169.88760645828464,44.603233952530765
45,27418.689453125,165.58589750677743,44.380466927263534
46,24771.01953125,157.38811750335537,43.93943881744655
47,27036.0625,164.42646532720943,44.319434417429655
48,36625.80859375,191.37870465062198,45.63787221455744
49,53485.171875,231.26861411570746,47.28233395751003
50,71518.6171875,267.42964904344467,48.54419108785009
51,83128.4609375,288.3200668311174,49.19749739932442
52,81996.4921875,286.35029629371786,49.13795273649596
53,72179.8125,268.6630091769241,48.58415749567197
54,64812.3046875,254.58260876874525,48.116574649845134
55,79336.6953125,281.66770370864316,48.99474106430087
56,125643.6640625,354.46250022040414,50.9914059295189
57,192473.875,438.71844615880923,52.84371789879259
58,242633.71875,492.57864219838035,53.84951154525143
59,257900.796875,507.8393415983051,54.11452684045191
60,232967.609375,482.66718282373415,53.67295543139477
61,199968.78125,447.178690514206,53.009621997182975
62,214702.21875,463.35970773255633,53.318365324935506
63,308508.84375,555.4357242291857,54.89267618083275
64,469953.96875,685.5318874786205,56.72055321559362
65,638217.8125,798.8853562933796,58.04968921077336
66,744083.25,862.6026025928742,58.716215282783836
67,727588.25,852.9878369590037,58.61885676920629
68,589531.5,767.809546697617,57.70507015386475
69,522532.9375,722.8643977261572,57.181136710962946
70,695308.9375,833.851867839846,58.42177811842088
71,1189598.5,1090.6871687152095,60.75400407899461
72,1806122.375,1343.9205240638303,62.56747172880413
73,2238723.0,1496.2362781325683,63.50000361103109
74,2297499.75,1515.750556655019,63.612554728008575
75,1999529.75,1414.047294117138,63.009278701673246
76,1649461.0,1284.3134352641491,62.173420515060805
77,1823627.5,1350.4175280260547,62.609361326680045
78,2802637.5,1674.1079714283665,64.47566928680531
79,4413390.0,2100.8069878025444,66.44772306636884
80,6128303.0,2475.540950984249,67.87340229858042
81,7149027.0,2673.7664445497103,68.54246937285572
82,6722072.5,2592.695990663001,68.2750319218287
83,5434035.5,2331.1017781298183,67.3512247129272
84,4747077.5,2178.7789011278774,66.76426321995925
85,6518576.0,2553.1502110138367,68.14152733325982
86,11617093.0,3408.385688269448,70.65097466091692
87,18069456.0,4250.8182741679275,72.56945077865055
88,22535006.0,4747.105012531321,73.52857678038971
89,22575550.0,4751.373485635496,73.53638339674596
90,18927176.0,4350.537438064405,72.77085820561395
91,15333599.0,3915.813963916059,71.85644101520684
92,17297196.0,4158.98978118485,72.37975706572385
93,27806500.0,5273.186892193373,74.4414632772264
94,43476864.0,6593.698810227837,76.38258210745147
95,59265540.0,7698.411524463992,77.7280224584422
96,68806096.0,8294.944002222077,78.37626917041906
97,65426180.0,8088.6451275847185,78.15751564141377
98,51759924.0,7194.437017585185,77.13993629978943
99,46329664.0,6806.589748177864,76.65859150549042
