t,mse_t,rmse_t,mse_db_t
0,1.0253965854644775,1.0126186772247872,0.10891866921032806
1,2.1307451725006104,1.459707221500466,3.285315131612292
2,4.827099323272705,2.197066071667556,6.836862350327949
3,8.136651992797852,2.852481725234686,9.104457414792549
4,11.884699821472168,3.4474192987613455,10.74988216983461
5,15.87756633758545,3.984666402295862,12.007839359276995
6,19.436311721801758,4.408663257927708,12.886138557116507
7,21.990825653076172,4.689437669174863,13.422415354018737
8,24.05190658569336,4.904274317948921,13.811495084365294
9,26.406829833984375,5.138757615804074,14.217162668545487
10,28.19460105895996,5.309858854900002,14.501659538944713
11,31.500179290771484,5.612502052629601,14.983130256870965
12,35.278411865234375,5.939563272264584,15.47509026185134
13,39.6879997253418,6.299841246042776,15.986592110226226
14,42.35663604736328,6.508197603589129,16.269214612541457
15,48.99005889892578,6.999289885333067,16.90107961592748
16,55.87233352661133,7.4747798313135165,17.471968101925807
17,64.53338623046875,8.033267469122931,18.097844542381143
18,71.67266082763672,8.465970755184353,18.55353527830909
19,80.36507415771484,8.964656945902327,19.050673497925573
20,87.40068817138672,9.348833519289277,19.415148521751266
21,91.60836791992188,9.57122604058236,19.61935145889058
22,95.12552642822266,9.753231588977197,19.782970731871927
23,105.3944091796875,10.266177924606971,20.22817573620264
24,127.45706939697266,11.289688631533318,21.053639285848064
25,154.59744262695312,12.433721994115563,21.8920230548018
26,180.96578979492188,13.452352574732863,22.575964825623792
27,206.4311981201172,14.36771374019253,23.147753332047486
28,232.13021850585938,15.235820243946808,23.657316802064187
29,263.51385498046875,16.233109837011167,24.208034544000935
30,302.0945129394531,17.38086628852121,24.801428370847376
31,353.05133056640625,18.789660203590863,25.47837852586383
32,425.3212890625,20.623319060289496,26.287171214654265
33,502.87274169921875,22.424824228948122,27.014580952541472
34,589.7314453125,24.284386863013445,27.706542855895776
35,680.51953125,26.08676927582256,28.32840594186488
36,774.89306640625,27.836901163855327,28.892417749270777
37,889.0869140625,29.817560498177915,29.489442181723618
38,1021.04833984375,31.953847027294696,30.090463035270986
39,1181.7535400390625,34.37664236133399,30.725269119414232
40,1378.3099365234375,37.1255967833978,31.393468870830453
41,1624.743896484375,40.308112043165394,32.107849141708
42,1909.8876953125,43.70226190155951,32.81007830734627
43,2247.009765625,47.402634585273844,33.5160495989035
44,2643.156982421875,51.41164247932442,34.2212295752254
45,3092.92578125,55.614078984102576,34.90369498671039
46,3627.415283203125,60.22802738927388,35.595972784586266
47,4291.2763671875,65.50783439549426,36.325864849077604
48,5069.3154296875,71.19912520310555,37.049493153130946
49,5977.71044921875,77.31565461935087,37.76534874679165
50,7055.30615234375,83.99586985289068,38.48515863928593
51,8313.35546875,91.17760398666988,39.19776350791327
52,9836.986328125,99.18158260546663,39.9286206778793
53,11689.1767578125,108.11649623351887,40.67783925864235
54,13888.7548828125,117.85056165675452,41.42663313285351
55,16469.55078125,128.33374763190702,42.16681753639401
56,19539.912109375,139.78523566305205,42.90922605928338
57,23101.021484375,151.99020193543728,43.63631184014184
58,27289.958984375,165.19672812854074,44.36002882944613
59,32101.69921875,179.16947066604288,45.065280212458475
60,37776.78125,194.36249959804488,45.77224951338198
61,44537.70703125,211.03958640797703,46.48727854159419
62,52686.71875,229.53587682538867,47.21701152204556
63,62501.8203125,250.0036405984921,47.95892665986665
64,74521.15625,272.98563377950865,48.72279584671589
65,89123.125,298.53496445140223,49.49990406133759
66,106974.578125,327.06968389778956,50.292805824348136
67,127999.578125,357.7702868112443,51.07208538255005
68,153346.171875,391.5943971445455,51.85672938751402
69,182959.546875,427.7377080349592,52.623550760087774
70,218645.5,467.59544480244887,53.39740543444975
71,261719.921875,511.5856935792869,54.178367819867816
72,313182.375,559.6269963109356,54.95797313233848
73,374617.15625,612.0597652598968,55.73587662772507
74,447412.0,668.8886304909062,56.5070762809296
75,535594.6875,731.8433490167141,57.288362606460254
76,640955.3125,800.5968476705364,58.06827751498236
77,769236.5,877.0612863420663,58.86059883175001
78,925021.375,961.7803153527317,59.66151768346919
79,1114441.5,1055.671113557627,60.47057276141515
80,1343419.5,1159.0597482442395,61.282116478788076
81,1619283.75,1272.510805455105,62.093229576240404
82,1948894.25,1396.0280262229694,62.897882742702826
83,2347064.75,1532.0132995506274,63.70525070927868
84,2825346.5,1680.8767057699383,64.51071717220943
85,3416295.25,1848.3222797986286,65.33555397117888
86,4128877.25,2031.963889935055,66.15831971651625
87,4985484.0,2232.81974194067,66.97707326805283
88,6007314.5,2450.982354077646,67.7868036909388
89,7261815.0,2694.775500853457,68.61045180751128
90,8756386.0,2959.1191256858856,69.42324897936443
91,10581366.0,3252.9011666510864,70.24541736505226
92,12793731.0,3576.8325373156626,71.06997215035304
93,15460110.0,3931.9346383173765,71.89212579635544
94,18661844.0,4319.93564766884,72.70954554708304
95,22599066.0,4753.847494398616,73.54090490500137
96,27438858.0,5238.211335942833,74.38366032157923
97,33335044.0,5773.650838074641,75.22901032701259
98,40385644.0,6354.970023532763,76.0622701264551
99,49122564.0,7008.749103798766,76.91281027147569
100,59904756.0,7739.816276889264,77.77461303567287
101,72934888.0,8540.192503685148,78.62935320381746
102,88513320.0,9408.151784489874,79.47008630779314
103,107649232.0,10375.414786889245,80.32010935791165
104,130732952.0,11433.851144736842,81.16385067825739
105,158819744.0,12602.370570650586,82.00904491650506
106,193116656.0,13896.641896515863,82.8581973259316
107,233697312.0,15287.161672462289,83.68653717140704
108,283933088.0,16850.31418104719,84.53216005764631
109,345735840.0,18593.97321714754,85.38744402126846
110,421902048.0,20540.254331434164,86.2521163354244
111,515725152.0,22709.582823116765,87.12418312536127
112,629788800.0,25095.59323865447,87.99194932989239
113,767940160.0,27711.733255067247,88.85327379934759
114,934900224.0,30576.138147254635,89.70765263836766
115,1137791616.0,33731.166834249896,90.56062729275001
116,1383747072.0,37198.750946772394,91.41056714923391
117,1684340992.0,41040.72358036588,92.26430018251861
118,2049932672.0,45276.182171203436,93.1173959731963
119,2504103680.0,50041.019973617644,93.98652306455207
120,3049366016.0,55221.0649661884,94.84209555945827
121,3715461888.0,60954.58873620591,95.70012810812777
122,4512893952.0,67178.07642378577,96.54455128201656
123,5488896512.0,74087.08734995592,97.39485042643332
124,6667564032.0,81655.15312581319,98.23967195132177
125,8101586432.0,90008.81307960904,99.0857006964434
126,9851797504.0,99256.22148762264,99.93515476675064
127,11990216704.0,109499.84796336477,100.788270323483
128,14599097344.0,120826.72446110587,101.64326004370822
129,17779122176.0,133338.37473135782,102.4991031436588
130,21675995136.0,147227.698263608,103.35979044886551
131,26417467392.0,162534.51138758194,104.21891180030953
132,32223703040.0,179509.6182381323,105.08175446617952
133,39334436864.0,198329.112497384,105.9477293692264
134,48079720448.0,219270.88372148274,106.81961933864818
135,58781114368.0,242448.16841543678,107.69237815137167
