t,mse_t,rmse_t,mse_db_t
0,0.8807103037834167,0.9384616687874986,-0.5516692264156423
1,1.375232458114624,1.1727030562399947,1.3837611397984106
2,2.3285157680511475,1.5259474984583012,3.6707918319828305
3,3.1066415309906006,1.762566745116508,4.922911437943267
4,3.3352267742156982,1.8262603248758644,5.231253685200946
5,2.977444887161255,1.7255274228945927,4.738437313896533
6,2.3335049152374268,1.5275813939811609,3.680087200093656
7,1.8288047313690186,1.352333069686983,2.621673366321331
8,1.7472097873687744,1.321820633584139,2.4234505382474953
9,2.081322193145752,1.4426788253612624,3.183393151343905
10,2.6014180183410645,1.6128911985441128,4.152101439959969
11,3.0555763244628906,1.7480206876530067,4.850931363226021
12,3.305640459060669,1.8181420348973478,5.1925561537657305
13,3.3969109058380127,1.8430710528457694,5.310841563459368
14,3.4658076763153076,1.8616679822984838,5.3980445929179455
15,3.6768698692321777,1.9175165890370225,5.654782597099115
16,4.145125389099121,2.0359581010175827,6.175376723941797
17,4.865671634674072,2.2058267462958354,6.87142796731874
18,5.745984077453613,2.397078237658006,7.593644181955015
19,6.678244590759277,2.584229980237687,8.246623210483639
20,7.647215366363525,2.7653598981621768,8.835033212738248
21,8.751352310180664,2.9582684648592434,9.42075167933212
22,10.181368827819824,3.1908257282120287,10.078061703784575
23,12.157670021057129,3.4867850551843786,10.848503517496212
24,14.814949035644531,3.8490192303552515,11.707001618183362
25,18.16507911682129,4.262051045778463,12.592372937442377
26,22.081905364990234,4.699138789713519,13.440365443198313
27,26.440282821655273,5.142011554018064,14.22266096321444
28,31.24380111694336,5.589615471295263,14.947638646319971
29,36.6772346496582,6.05617326780354,15.643965837682181
30,43.0556640625,6.561681496575401,16.34030291893767
31,50.79124069213867,7.126797365727376,17.057888215934824
32,60.38669967651367,7.770887959333455,17.809412946945
33,72.15293884277344,8.494288601335219,18.582540249264852
34,86.409912109375,9.295693202197187,19.365635633989754
35,103.77195739746094,10.186852182959216,20.160800086864064
36,125.20912170410156,11.189688186187386,20.976359691415997
37,152.09378051757812,12.332630721690247,21.821114550646858
38,185.8890380859375,13.634113028940956,22.69253780093817
39,228.0644073486328,15.1018014603766,23.580575128162486
40,279.4496765136719,16.716748383392982,24.463036112200985
41,340.9115905761719,18.463791338080373,25.326417669599046
42,413.028076171875,20.323092190212467,26.1597957444594
43,497.99932861328125,22.3158985616372,26.97228757258224
44,598.7996215820312,24.470382538530764,27.772815172139545
45,720.35302734375,26.839393199991502,28.575453856709355
46,868.5055541992188,29.470418290197692,29.387726001583154
47,1050.6961669921875,32.41444380198722,30.214771479259596
48,1276.7333984375,35.73140633165031,31.061002193657522
49,1555.2061767578125,39.43610245394203,31.917879724577823
50,1900.6597900390625,43.596557089282435,32.78904386969935
51,2329.979736328125,48.269863645219935,33.6735214401351
52,2867.36474609375,53.547780029556314,34.57482941338604
53,3534.876220703125,59.45482504139698,35.48374210889132
54,4363.47265625,66.05658677414388,36.398322588000596
55,5378.6650390625,73.3393825925914,37.30674499065931
56,6606.91796875,81.282950049503,38.19998914657511
57,8083.90771484375,89.91055396806178,39.076213470052046
58,9856.3125,99.27896302842814,39.93714464592477
59,11989.12890625,109.49488073079033,40.787876297250385
60,14583.271484375,120.76121680562431,41.63854960760845
61,17754.0625,133.24437136329624,42.49297744402976
62,21664.12109375,147.18736730354954,43.35741074543844
63,26496.240234375,162.77665752304597,44.231842527553916
64,32473.47265625,180.20397513997852,45.11528733800141
65,39899.6015625,199.7488462106853,46.00968558842848
66,49135.94140625,221.66628387341635,46.91399281210735
67,60671.5,246.31585413854302,47.82984732271721
68,75057.328125,273.9659251166101,48.75393100428488
69,92888.6328125,304.77636524589633,49.67962570733611
70,114818.0,338.8480485409352,50.600099776776666
71,141608.78125,376.3094222179402,51.510901850640145
72,174164.578125,417.3302985945305,52.40959832134857
73,213635.28125,462.20696798079535,53.29672976759565
74,261624.125,511.492057611846,54.17677788854408
75,320054.15625,565.733290738666,55.05223471352838
76,391708.65625,625.8663245853702,55.9296316899507
77,479920.6875,692.7630817963671,56.811694710690105
78,588879.375,767.384763335838,57.70026343790634
79,724038.375,850.9044452816074,58.5976158499421
80,891682.8125,944.2895808490106,59.502103955435715
81,1100153.625,1048.8820834583837,60.41453334095765
82,1359413.375,1165.9388384473689,61.33351538544989
83,1681867.625,1296.8683915494278,62.25791810727999
84,2081010.625,1442.5708388152036,63.18274297591295
85,2573103.25,1604.089539271421,64.10457213340385
86,3176697.75,1782.3293045899234,65.01975895421529
87,3913702.75,1978.308052351807,65.92587837434135
88,4813349.0,2193.9345933732848,66.8244735207403
89,5910161.0,2431.082269278438,67.71599311754217
90,7252265.5,2693.003063496215,68.60473694909723
91,8901345.0,2983.5121920313986,69.49455633829743
92,10931202.0,3306.236833622177,70.38667919796482
93,13440475.0,3666.1253388284476,71.28414617395903
94,16544739.0,4067.522464596846,72.18659920377476
95,20396524.0,4516.251100193611,73.09556160747155
96,25172452.0,5017.215562440984,74.00925521396734
97,31101322.0,5576.855924264137,74.92778849641073
98,38454660.0,6201.182145365511,75.84948975858028
99,47546544.0,6895.400205934388,76.77118955000527
100,58752896.0,7665.043770259893,77.6902927836202
101,72526032.0,8516.221697443063,78.60493917257074
102,89390000.0,9454.628496138808,79.51288937277673
103,110034712.0,10489.743180840987,80.41529711085124
104,135304832.0,11632.060522538559,81.31313306379332
105,166307424.0,12896.023573179447,82.20911636653483
106,204455024.0,14298.777010639757,83.10597786784066
107,251442992.0,15856.954058078116,84.00439535848207
108,309513056.0,17592.983146698003,84.90678973321124
109,381290176.0,19526.652964602,85.8125561575373
110,470043648.0,21680.4900313623,86.72138188159957
111,580073984.0,24084.725117800284,87.63483388035075
112,716347456.0,26764.66805323765,88.55123722897062
113,884987584.0,29748.74088091797,89.46937177773405
114,1093656320.0,33070.475049506014,90.38880866990834
115,1350944000.0,36755.19010969743,91.30637346805116
116,1667454720.0,40834.47954853839,92.22054049412492
117,2055667712.0,45339.471898115444,93.12952914550999
118,2532541440.0,50324.3622910415,94.03556560455254
119,3117495296.0,55834.53497612387,94.9380580684255
120,3835759872.0,61933.511704084725,95.83851411447121
121,4718504448.0,68691.3709864638,96.73804368781813
122,5804609536.0,76187.98813461345,97.63773010971408
