t,mse_t,rmse_t,mse_db_t
0,0.009678888134658337,0.09838134037843933,-20.141745295425117
1,0.0074704778380692005,0.0864319260347078,-21.26651618291747
2,0.007794640026986599,0.0882872585766859,-21.082039366525898
3,0.006244896445423365,0.07902465719902468,-22.044747588197232
4,0.006555513013154268,0.08096612262640633,-21.833933161685483
5,0.006568403448909521,0.08104568741709531,-21.82540179540577
6,0.006411819253116846,0.08007383625827381,-21.93018728750889
7,0.007405213546007872,0.08605355045556151,-21.304624131028497
8,0.0071175796911120415,0.0843657495143144,-21.47667661628641
9,0.006667317822575569,0.08165364549470874,-21.760488421144366
10,0.006891414523124695,0.08301454404575559,-21.61691626200352
11,0.006545668467879295,0.080905305560756,-21.840459950892466
12,0.006286386866122484,0.07928673827395401,-22.015988958840907
13,0.007233825977891684,0.08505190167122476,-21.40631943148415
14,0.006096096243709326,0.07807750152066423,-22.149481850769327
15,0.006753899622708559,0.08218211254712646,-21.704453981909424
16,0.006098870187997818,0.07809526354394239,-22.14750610327527
17,0.005910440813750029,0.07687939134612103,-22.28380127267664
18,0.006538237910717726,0.08085937119912401,-21.845392805387597
19,0.006740667391568422,0.08210156753417332,-21.71297101962269
20,0.007046640384942293,0.08394426951818863,-21.520178915253346
21,0.006366203539073467,0.07978849252287869,-21.961194803107812
22,0.006398322526365519,0.0799895151027028,-21.93933871802647
23,0.005523767322301865,0.07432205138652904,-22.57764623498296
24,0.006151305511593819,0.07843025890301407,-22.1103270271054
25,0.006354236043989658,0.07971346212522486,-21.969366562545233
26,0.006651930045336485,0.08155936516021005,-21.770523266629958
27,0.005811752285808325,0.0762348495493257,-22.356929049038182
28,0.006047787144780159,0.07776751985745822,-22.184035024728175
29,0.006929730996489525,0.08324500583512218,-21.59283623830865
30,0.005939619615674019,0.07706892769251444,-22.2624136715744
31,0.006723904982209206,0.08199942062118004,-21.72378432352405
32,0.006185815203934908,0.07864995361686432,-22.086030583241303
33,0.006342087406665087,0.07963722375036116,-21.97767776820008
34,0.0058042872697114944,0.07618587316367448,-22.362511013061273
35,0.005851285997778177,0.07649369907239535,-22.327486740271446
36,0.005872409325093031,0.07663164702062086,-22.311836803682823
37,0.006355598568916321,0.07972200805873068,-21.968435414222075
38,0.00610769260674715,0.07815172811107346,-22.14122828615103
39,0.006743457168340683,0.0821185555665751,-21.7111739661027
40,0.006286450661718845,0.0792871405823091,-22.015944885933084
41,0.006749596446752548,0.08215592764221306,-21.707221925301276
42,0.006068839225918055,0.07790275493150453,-22.168943675715667
43,0.006067484617233276,0.07789406021792211,-22.169913160523397
44,0.005898164585232735,0.07679950901687285,-22.292831128521954
45,0.0061625330708920956,0.07850180297860741,-22.102407370911983
46,0.006250010337680578,0.07905700688541514,-22.04119264320898
47,0.0060955011285841465,0.07807369037380099,-22.149905839861606
48,0.00616825558245182,0.07853824280216498,-22.09837639537376
49,0.006297657266259193,0.07935778012431544,-22.00820978412501
50,0.006834191270172596,0.08266916759090172,-21.653128706619146
51,0.006758559960871935,0.08221046138340263,-21.70145828861482
52,0.0068513466976583,0.0827728620844918,-21.642240553867296
53,0.007737400010228157,0.08796249206467582,-21.114049502867523
54,0.006608645431697369,0.08129357558686522,-21.79887548354731
55,0.006086996756494045,0.07801920761257478,-22.15596929664293
56,0.006619861349463463,0.08136253037770803,-21.79151106601617
57,0.006525066681206226,0.08077788485226774,-21.854150458085414
58,0.006794088054448366,0.08242625828246947,-21.67868828776969
59,0.007095582317560911,0.08423527953037796,-21.490119572289462
60,0.006724568549543619,0.08200346669222966,-21.723355749037495
61,0.006866886746138334,0.08286668055460128,-21.632401152580123
62,0.006485088262706995,0.08053004571405008,-21.880841087478654
63,0.006336148828268051,0.07959992982577341,-21.981746302606624
64,0.006738246884196997,0.08208682527785441,-21.714530808467117
65,0.006495645269751549,0.08059556606756695,-21.8737770014557
66,0.005961169023066759,0.07720860718253347,-22.24668564004355
67,0.006311787758022547,0.07944676052566615,-21.998476132633662
68,0.0063878195360302925,0.07992383584407278,-21.946473617278727
69,0.006122199352830648,0.0782444844882414,-22.130925328855806
70,0.006664298940449953,0.08163515750245083,-21.762455300172444
71,0.006349495146423578,0.07968371945650866,-21.97260804446411
72,0.006618670653551817,0.08135521282346828,-21.79229228959191
73,0.006563065107911825,0.08101274657676917,-21.828932873678554
74,0.0076346127316355705,0.08737627098723984,-21.172129877862535
75,0.006631327327340841,0.08143296216729956,-21.78399534454245
76,0.006254924461245537,0.07908808039929618,-22.037779307766886
77,0.005745106376707554,0.0757964799757057,-22.407019254805903
78,0.005763769615441561,0.07591949430443778,-22.392933867654165
79,0.006233010906726122,0.07894941992647014,-22.053021131646634
80,0.006666852626949549,0.0816507968543452,-21.760791449959292
81,0.00563197722658515,0.07504650042863524,-22.49339109971839
82,0.0056753926910459995,0.075335202203525,-22.46004083446889
83,0.00622677942737937,0.07890994504737264,-22.057365181181112
84,0.006071263458579779,0.0779183127292922,-22.16720920787929
85,0.00584741635248065,0.07646840100643304,-22.330359820739034
86,0.006811054889112711,0.08252911540246091,-21.66785619799213
87,0.006377671845257282,0.07986032710462238,-21.953378305713272
88,0.006067465525120497,0.07789393766603725,-22.169926826173658
89,0.006594191771000624,0.08120462899983365,-21.808384269416816
90,0.006649622693657875,0.08154521870507109,-21.772029963075923
91,0.006094002164900303,0.07806409011126884,-22.15097395829773
92,0.0063904765993356705,0.07994045658698523,-21.944667511150023
93,0.006816251203417778,0.08256059110385401,-21.66454412629875
94,0.007319461554288864,0.08555385177938434,-21.355208660184033
95,0.00767557555809617,0.08761036216165398,-21.148890487715345
96,0.006482766941189766,0.08051563165739785,-21.88239591226744
97,0.005616288632154465,0.07494190171162235,-22.505505810543728
98,0.006567750591784716,0.08104165960655492,-21.825833477686793
99,0.006846764124929905,0.08274517584083017,-21.645146335765087
