t,mse_t,rmse_t,mse_db_t
0,0.009491710923612118,0.09742541210388651,-20.226554969814426
1,0.00658275606110692,0.08113418552685989,-21.815922383726196
2,0.006818154361099005,0.08257211612341665,-21.66333170690781
3,0.006747028790414333,0.08214029942978254,-21.70887436651968
4,0.006789698731154203,0.08239962822218437,-21.681494955722265
5,0.00648164888843894,0.0805086882792096,-21.88314498441654
6,0.006261507980525494,0.07912969089112817,-22.033210615574813
7,0.0070868427865207195,0.0841833878299081,-21.49547201456608
8,0.006419252138584852,0.08012023551253986,-21.92515565545586
9,0.006154477596282959,0.07845047862367036,-22.108088049065465
10,0.006262114271521568,0.0791335217940006,-22.032790116091626
11,0.005827843677252531,0.07634031488835065,-22.344921060127433
12,0.005934658460319042,0.07703673448634127,-22.266042696439932
13,0.006770392879843712,0.08228239714449083,-21.693861288632377
14,0.005604861304163933,0.07486562164414273,-22.514351298275336
15,0.006231488194316626,0.07893977574275611,-22.05408223421465
16,0.005757595412433147,0.07587882057882257,-22.39758856359844
17,0.0069842468947172165,0.08357180681735447,-21.55880416622352
18,0.006574457976967096,0.08108303137504848,-21.821400462321996
19,0.006028332747519016,0.07764233862731736,-22.198027838253864
20,0.006198318675160408,0.07872940159280019,-22.077260990702978
21,0.006612204480916262,0.08131546274181967,-21.796537244350674
22,0.006909551564604044,0.08312371240869866,-21.60550137768729
23,0.007050100713968277,0.0839648778595448,-21.518046788655866
24,0.006143806967884302,0.07838244043077698,-22.115624378495315
25,0.006621807347983122,0.08137448831165159,-21.790234585771458
26,0.006342567969113588,0.07964024089060497,-21.97734870034051
27,0.005991469137370586,0.07740458085520899,-22.22466673433432
28,0.006616867147386074,0.08134412792197157,-21.79347584978038
29,0.0060751657001674175,0.07794334930042086,-22.164418721844715
30,0.007051425985991955,0.08397276931239052,-21.517230482250405
31,0.006574664730578661,0.08108430631496245,-21.8212638875031
32,0.0063215927220880985,0.0795084443445355,-21.991734876561114
33,0.006432496942579746,0.08020284871860692,-21.916204115414107
34,0.006084734108299017,0.07800470568048454,-22.157583948902044
35,0.00545099563896656,0.07383085831118694,-22.635241654266267
36,0.006574057973921299,0.08108056471141095,-21.821664703725723
37,0.0066791120916605,0.08172583490953457,-21.75281267961957
38,0.005704398266971111,0.07552746697044137,-22.437901607316224
39,0.006316724233329296,0.07947782227344491,-21.995080825100306
40,0.006933671422302723,0.08326867011249023,-21.590367428443066
41,0.006563571747392416,0.08101587342855976,-21.82859763056446
42,0.006049335468560457,0.07777747404332734,-22.182923308332224
43,0.00601861160248518,0.0775797112812698,-22.20503681985064
44,0.0061055137775838375,0.07813778713006811,-22.142777844003238
45,0.00715425331145525,0.08458281924513542,-21.45435686801028
46,0.00731936888769269,0.08555331020885568,-21.3552636435265
47,0.006001176778227091,0.07746726262252392,-22.217635799198288
48,0.006953404750674963,0.08338707783988454,-21.578024900349845
49,0.006509613245725632,0.08068217427490183,-21.864448133114934
50,0.005606598686426878,0.0748772240833411,-22.513005290643097
51,0.006801224313676357,0.08246953567030893,-21.67412901291837
52,0.0069418842904269695,0.08331797099321953,-21.585226295651943
53,0.006463772151619196,0.0803975879714012,-21.895139608718566
54,0.006139099597930908,0.07835240645909293,-22.11895320768436
55,0.006149088032543659,0.07841612099908832,-22.11189289395705
56,0.005579078570008278,0.07469322974680019,-22.53437522389458
57,0.007098875008523464,0.08425482187105653,-21.48810470478386
58,0.006792333908379078,0.08241561689618708,-21.679809724987905
59,0.006281427573412657,0.07925545768849396,-22.01941643396822
60,0.005893097724765539,0.07676651434555004,-22.296563569746766
61,0.006609068717807531,0.0812961789865153,-21.798597325281975
62,0.006586284842342138,0.0811559291878427,-21.813594909362322
63,0.005876039154827595,0.07665532698271918,-22.30915318962634
64,0.006054875906556845,0.0778130831323168,-22.178947532062907
65,0.006534663960337639,0.0808372683874068,-21.847767407419564
66,0.006764478515833616,0.08224644986766065,-21.69765678212758
67,0.00599259277805686,0.07741183874613017,-22.22385233441789
68,0.007000448182225227,0.08366868101162601,-21.548741547233924
69,0.006539263762533665,0.0808657143821389,-21.84471144927699
70,0.006576229352504015,0.08109395385911342,-21.820230487542066
71,0.005759714636951685,0.07589278382660426,-22.395990330120735
72,0.006367402616888285,0.07979600627154397,-21.96037688417188
73,0.0068325018510222435,0.08265894900748644,-21.654202419787136
74,0.006532679311931133,0.08082499187708671,-21.849086607260162
75,0.006581910885870457,0.081128976857042,-21.816480020229147
76,0.007454967126250267,0.08634215150348216,-21.275542672907434
77,0.006940001156181097,0.08330666933794134,-21.586404571931233
78,0.007212883792817593,0.08492869828754938,-21.418910646967525
79,0.0063086324371397495,0.07942689995926915,-22.000647753634226
80,0.006686772685497999,0.0817726891174431,-21.747834402383916
81,0.005420290399342775,0.07362262151908729,-22.659774449277457
82,0.006754237227141857,0.08218416652337515,-21.704236898318836
83,0.0066944025456905365,0.08181932868027296,-21.742881763350095
84,0.005865237209945917,0.07658483668420216,-22.317144188617817
85,0.006486998405307531,0.08054190465408384,-21.879562088319474
86,0.006452113389968872,0.08032504833468121,-21.902980088892345
87,0.0071219392120838165,0.08439158259023122,-21.474017374813705
88,0.00673616724088788,0.08207415696117676,-21.715871390123972
89,0.006514300126582384,0.08071121437930658,-21.86132236511709
90,0.005991981830447912,0.07740789255914356,-22.224295122225044
91,0.006420256104320288,0.08012650063693215,-21.924476475581432
92,0.006777752190828323,0.08232710483691458,-21.689143139470396
93,0.006341756787151098,0.07963514793827596,-21.977904176264342
94,0.007195109501481056,0.0848239913083619,-21.429625922031082
95,0.005738516338169575,0.07575299557225162,-22.412003775384136
96,0.006686121225357056,0.08176870566027725,-21.748257535247305
97,0.00640488974750042,0.08003055508679431,-21.93488341713877
98,0.006545543670654297,0.08090453430219036,-21.840542752615644
99,0.0064001865684986115,0.08000116604461845,-21.938073659397904
100,0.006313620135188103,0.07945829179631352,-21.99721551388125
101,0.006955270189791918,0.08339826251062979,-21.57685994405725
102,0.0068397922441363335,0.08270303648679614,-21.649570895950102
103,0.006489656399935484,0.08055840365806341,-21.877782966606958
104,0.006248606834560633,0.0790481298612474,-22.042168004970186
105,0.005796295590698719,0.07613340653549347,-22.368494751442718
106,0.0056575629860162735,0.07521677330234443,-22.473706023176376
107,0.00680700084194541,0.0825045504317514,-21.67044195678313
108,0.006425780244171619,0.08016096459107525,-21.92074131006034
109,0.0065766884945333,0.08109678473609974,-21.819927280524233
110,0.006094004027545452,0.07806410204149826,-22.150972630867308
111,0.005927131045609713,0.07698786297598935,-22.27155470642537
112,0.006135561503469944,0.07832982512089469,-22.121456861236517
113,0.006608858704566956,0.08129488732120216,-21.798735331171407
114,0.005873735994100571,0.07664030267490186,-22.31085577541171
115,0.005711487028747797,0.07557438076986008,-22.432508051864183
116,0.005855530500411987,0.07652143817527209,-22.32433752519091
117,0.006329129915684462,0.07955582892336967,-21.98655989633433
118,0.006971242371946573,0.08349396608106824,-21.566898177126216
119,0.006681059021502733,0.0817377453903809,-21.751546916051186
120,0.0060677253641188145,0.077895605550755,-22.169740843696417
121,0.006601791363209486,0.08125140837677515,-21.803382048222176
122,0.006462395656853914,0.08038902696795076,-21.89606456047851
123,0.006986594758927822,0.0835858526242798,-21.557344462498
124,0.007085510995239019,0.0841754773983434,-21.496288236931534
125,0.006828553043305874,0.08263505940765017,-21.656713126994372
126,0.0065261018462479115,0.0807842920761698,-21.853461529020617
127,0.006695655640214682,0.08182698601448474,-21.742068903493667
128,0.0061796908266842365,0.07861100957680316,-22.090332523583992
129,0.006626991555094719,0.08140633608690862,-21.78683582838524
130,0.005914891138672829,0.07690832944923995,-22.280532439876563
131,0.006165466737002134,0.07852048609759198,-22.100340409446638
132,0.006048820447176695,0.07777416310817298,-22.183293068726655
133,0.00634731724858284,0.07967005239475396,-21.974097944439368
134,0.006939268670976162,0.08330227290402202,-21.586862973975197
135,0.006707232445478439,0.08189769499490471,-21.734566425128815
136,0.007205780595541,0.08488686939415896,-21.423189655823776
137,0.006568289361894131,0.08104498357020089,-21.825477228944415
138,0.006116961129009724,0.07821100388698335,-22.134642792717287
139,0.006184236612170935,0.07863991742220318,-22.087139024347593
140,0.00622200034558773,0.07887965736226121,-22.060699691053543
141,0.006080745253711939,0.07797913345063498,-22.160431905068524
142,0.006439213640987873,0.08024471098451208,-21.911671655954144
143,0.006215324625372887,0.0788373301512227,-22.065361833012894
144,0.006767586339265108,0.08226534105724663,-21.69566194895879
145,0.007131966762244701,0.08445097253581335,-21.467906894741585
146,0.007165049202740192,0.08464661365193644,-21.447808229351377
147,0.006609770003706217,0.08130049202622465,-21.798136521420552
148,0.005792780313640833,0.07611031673591191,-22.371129414444365
149,0.006192645523697138,0.07869336391143245,-22.081237789454256
150,0.006681257858872414,0.08173896169436222,-21.75141766605176
151,0.00669699115678668,0.08183514621962058,-21.74120274538702
152,0.005732137709856033,0.07571088237404207,-22.41683384584503
153,0.006663520820438862,0.08163039152447367,-21.762962409712525
154,0.006393730640411377,0.07996080690195277,-21.942456639428247
155,0.005756990518420935,0.07587483455284061,-22.39804485813384
156,0.006429978180676699,0.08018714473453148,-21.91790500797051
157,0.006657454185187817,0.08159322389259917,-21.766918135767543
158,0.0065577225759625435,0.08097976646028651,-21.83246960078533
159,0.007400951348245144,0.08602878209207163,-21.307124507099523
160,0.006818755995482206,0.0825757591274958,-21.66294850208196
161,0.006708808708935976,0.08190731779844812,-21.733545911674952
162,0.006349594797939062,0.07968434474813144,-21.972539885086583
163,0.006422368809580803,0.08013968311380326,-21.923047583511533
164,0.006938813719898462,0.08329954213498693,-21.587147714672202
165,0.0059212022460997105,0.0769493485748886,-22.275901047911585
166,0.006204888224601746,0.07877111288157446,-22.072660375135037
167,0.006561873946338892,0.08100539455085008,-21.8297211667098
168,0.006470055785030127,0.08043665697323657,-21.890919748140952
169,0.005920859053730965,0.07694711855378969,-22.276152771911732
170,0.0063818166963756084,0.0798862735166412,-21.950556741155346
171,0.006267471704632044,0.0791673651489807,-22.02907618047832
172,0.005659208167344332,0.07522770877372467,-22.472443307569854
173,0.006740723270922899,0.08210190783972623,-21.712935017260754
174,0.006471388507634401,0.0804449408454901,-21.890025266718474
175,0.005814456380903721,0.07625258278185547,-22.354908831384577
176,0.006400796119123697,0.08000497558979502,-21.937660059161775
177,0.005822104401886463,0.07630271556036824,-22.349200110654216
178,0.006397412624210119,0.07998382726658008,-21.939956369894343
179,0.0063297138549387455,0.07955949883539203,-21.986159225308324
180,0.006947421934455633,0.08335119635887438,-21.581763245254916
181,0.006224384997040033,0.07889477167113187,-22.059035527601814
182,0.007636853959411383,0.08738909519734932,-21.170855143899647
183,0.006655603181570768,0.08158188022821469,-21.76812579324231
184,0.0066358111798763275,0.08146048845837059,-21.78105980198079
185,0.006272849626839161,0.07920132339070579,-22.02535123273559
186,0.007025740575045347,0.08381969085510485,-21.533078905397737
187,0.006108557805418968,0.078157263292793,-22.140613120291015
188,0.006883283145725727,0.08296555397106517,-21.62204365257098
189,0.005919733550399542,0.07693980472031069,-22.276978406073834
190,0.006258579436689615,0.07911118401774565,-22.035242311374923
191,0.006473764777183533,0.08045970902994574,-21.8884308464106
192,0.006643844768404961,0.08150978326805293,-21.77580523272527
193,0.0067369407042860985,0.08207886880486413,-21.715372751075677
194,0.006199091672897339,0.07873431064597784,-22.076719412030204
195,0.006919817999005318,0.08318544343216136,-21.599053279517886
196,0.006216326728463173,0.07884368540639873,-22.064661672059273
197,0.0060849422588944435,0.07800603988727055,-22.15743538512388
198,0.006103435065597296,0.07812448441812142,-22.144256715223914
199,0.006220144219696522,0.07886789092968394,-22.061995456802
