t,mse_t,rmse_t,mse_db_t
0,1.2034854888916016,1.0970348622042974,0.8044085810727019
1,1.8861727714538574,1.3733800535372054,2.755814711438504
2,1.9360368251800537,1.3914154035298207,2.869136137267091
3,1.9576061964035034,1.3991448089470595,2.9172533101659246
4,2.25431227684021,1.5014367375418154,3.530140761798131
5,2.200075387954712,1.4832651104757746,3.4243756264574325
6,2.1685550212860107,1.4726014468572313,3.3617044568596017
7,2.1252634525299072,1.4578283343829983,3.2741277386306233
8,2.1352105140686035,1.4612359542759012,3.294406993101437
9,2.1681721210479736,1.4724714330159256,3.3609375584337924
10,1.9228920936584473,1.3866838477672,2.839549137530009
11,2.1652796268463135,1.4714889149586936,3.355139896291201
12,2.111685037612915,1.4531638027465847,3.2462914273146852
13,1.959669589996338,1.399881991453686,2.921828533270472
14,2.2535550594329834,1.5011845520897766,3.52868173330363
15,1.760908603668213,1.3269923148489644,2.4573681539224386
16,1.8319095373153687,1.353480527128251,2.6290402369057793
17,1.9926584959030151,1.4116155623621522,2.9943287519160777
18,2.09653902053833,1.4479430308331644,3.2150294985276346
19,1.9688862562179565,1.4031700738748516,2.94220627400815
20,2.189227819442749,1.4796039400605654,3.4029095826898326
21,1.8528339862823486,1.3611884462786,2.6783650832514483
22,1.7176600694656372,1.3105953110955484,2.3493721970327606
23,2.047421932220459,1.4308815227755438,3.1120735118838043
24,2.016530990600586,1.42004612270186,3.046049007514746
25,2.0706875324249268,1.4389883711916949,3.1611456862694984
26,2.0572359561920166,1.4343067859394714,3.132841062767593
27,2.1172780990600586,1.4550869730225953,3.257779052348069
28,2.0653021335601807,1.4371159081856204,3.149835936872302
29,1.9465457201004028,1.3951866255452718,2.8926460880122837
30,2.0296242237091064,1.4246488071483114,3.0741563758005985
31,2.3222899436950684,1.5239061466163422,3.6591644153766762
32,2.1435115337371826,1.4640736093985105,3.311258246905693
33,1.8951011896133423,1.3766267430256258,2.7763240423412854
34,2.2836923599243164,1.5111890549909088,3.5863759896695875
35,2.1108129024505615,1.452863690251278,3.2444974016017234
36,1.9855880737304688,1.4091089644631705,2.978891556088235
37,2.1332755088806152,1.4605736916980996,3.290469474605911
38,1.9820001125335693,1.4078352575971271,2.971036748075344
39,2.3055882453918457,1.518416361012962,3.627817493068018
40,2.012169122695923,1.4185094721911176,3.0366448034354345
41,1.8518266677856445,1.360818381631305,2.6760033399433887
42,1.9257817268371582,1.387725378753721,2.846070614997751
43,2.0812571048736572,1.4426562670552043,3.1832573342200217
44,2.039686918258667,1.428176080971344,3.09563510510485
45,2.0741214752197266,1.4401810564021895,3.168341881536501
46,2.2111051082611084,1.4869785164087301,3.4460938792146036
47,1.9616740942001343,1.4005977631711877,2.926268568424719
48,2.0437498092651367,1.429597778840306,3.104277294734243
49,1.9142764806747437,1.3835738074547175,2.8200466351385316
50,1.8555630445480347,1.3621905316614247,2.684757145102888
51,2.0458171367645264,1.4303206412425593,3.1086681215068497
52,2.019136428833008,1.4209632046020784,3.05165664306489
53,1.8825603723526,1.3720642741331763,2.7474891260669354
54,1.993471622467041,1.4119035457378244,2.9961005775928973
55,2.343865156173706,1.530968698626365,3.699326228690072
56,1.9864873886108398,1.4094280359815607,2.9808581224358037
57,2.1372227668762207,1.4619243369190558,3.298497918799723
58,1.830030918121338,1.3527863534650761,2.6245842713811185
59,2.0463929176330566,1.4305219039333361,3.1098902408619864
60,1.896662950515747,1.3771938681666234,2.779901607586674
61,1.876587986946106,1.369886121889738,2.7336893184493762
