t,mse_t,rmse_t,mse_db_t
0,0.5713008046150208,0.7558444314903833,-2.4313516428249753
1,0.6942214369773865,0.83319951810919,-1.5850197980715328
2,0.7167084217071533,0.846586334467521,-1.4465749230811278
3,0.6646471619606018,0.815258953928506,-1.774088453435825
4,0.5712046027183533,0.7557807901226078,-2.432083017095975
5,0.7142247557640076,0.8451181904112629,-1.4616510078930767
6,0.6988640427589417,0.8359808865990548,-1.5560730382879289
7,0.704275906085968,0.8392114787620388,-1.5225716895950523
8,0.7120838761329651,0.8438506243008682,-1.4746884794142037
9,0.6629910469055176,0.8142426216463479,-1.784923363098323
10,0.6250612139701843,0.7906081292082597,-2.0407744891567177
11,0.6555973291397095,0.8096896498904438,-1.8336282438501759
12,0.6741200089454651,0.8210481160964107,-1.7126278212446364
13,0.5982977151870728,0.7734970686350872,-2.23082655662953
14,0.5898228883743286,0.7679992762850292,-2.292783784410551
15,0.7027199268341064,0.8382839177952219,-1.5321773111997217
16,0.6575126051902771,0.8108715096673931,-1.8209591688823377
17,0.5960161089897156,0.7720207956977038,-2.247420020872839
18,0.550778865814209,0.7421447741608163,-2.5902273260603934
19,0.6113067269325256,0.7818610662595533,-2.137408251269517
20,0.6556691527366638,0.8097340012230336,-1.8331524810317092
21,0.5439127087593079,0.7375043788068705,-2.6447079358498007
22,0.6911867260932922,0.831376404580556,-1.60404610864509
23,0.6311848759651184,0.7944714443988018,-1.9984341595133732
24,0.6680085062980652,0.8173178734727787,-1.7521800726279242
25,0.6285579204559326,0.7928164481492123,-2.0165469669657043
26,0.6409002542495728,0.8005624611793716,-1.932095561282681
27,0.5742872953414917,0.7578174551575674,-2.4087079128302515
28,0.6970972418785095,0.8349234946260103,-1.5670663558125706
29,0.6295639872550964,0.7934506835683591,-2.0096012274510064
30,0.6170457601547241,0.7855226032105787,-2.0968262746471
31,0.6502459645271301,0.8063783011261713,-1.8692233438628045
32,0.7123494744300842,0.8440079824445289,-1.4730689178372034
33,0.5761155486106873,0.7590227589543592,-2.3949040357107974
34,0.6695725917816162,0.818274154413798,-1.742023320184143
35,0.5986465215682983,0.7737225094103818,-2.2282953661821336
36,0.6257036328315735,0.7910143063381176,-2.0363132350397795
37,0.5799788236618042,0.7615634075123385,-2.365878632210639
38,0.5391362905502319,0.7342590078100724,-2.6830143378952176
39,0.674147367477417,0.8210647766634597,-1.7124515704553778
40,0.6248307228088379,0.7904623474959689,-2.0423762442795304
41,0.6411214470863342,0.8007005976557868,-1.9305969465666408
42,0.6247515082359314,0.7904122394269534,-2.0429268675373042
43,0.595634400844574,0.7717735424621487,-2.250202275324696
44,0.6386301517486572,0.7991433862259371,-1.9475058089689536
45,0.6279017329216003,0.7924025068875037,-2.021083183475277
46,0.5629000663757324,0.7502666635108696,-2.4956870012890304
47,0.7393551468849182,0.859857631753605,-1.3114689951788463
48,0.7482800483703613,0.86503181928202,-1.259358343549062
49,0.579744279384613,0.7614094032677906,-2.3676352806117493
