t,mse_t,rmse_t,mse_db_t
0,1.1884483098983765,1.0901597634743159,0.7498029736913224
1,1.8832290172576904,1.3723079163430087,2.7490313726752365
2,2.1389901638031006,1.4625286881983206,3.3020878746266478
3,2.3260433673858643,1.5251371634662452,3.6661780757248086
4,2.3545563220977783,1.5344563604409798,3.719090834318397
5,2.2875816822052,1.5124753492884437,3.593766102784408
6,2.3159985542297363,1.5218405153726642,3.647382839456216
7,2.559079647064209,1.5997123638530175,4.080838027852699
8,2.4293429851531982,1.558634974955072,3.854888347078675
9,2.456172466278076,1.567218065962129,3.902588586104719
10,2.4370033740997314,1.5610904439204447,3.868561304780687
11,2.490077018737793,1.5779977879381812,3.962127801461504
12,2.4704384803771973,1.5717628575510993,3.927740434246363
13,2.359480619430542,1.53606009629524,3.728164144363576
14,2.3220877647399902,1.5238398094091092,3.6587863014069906
15,2.351527690887451,1.533469168548051,3.713500972342614
16,2.3336453437805176,1.5276273576302952,3.680348547331263
17,2.305821418762207,1.5184931408347577,3.628256690257321
18,2.3627700805664062,1.5371304695979473,3.7342146280907946
19,2.444779396057129,1.563579034157573,3.8823967679399223
20,2.3564043045043945,1.5350584042649305,3.722498074015887
21,2.4560437202453613,1.5671769907210102,3.9023609345134025
22,2.50826096534729,1.5837490222087873,3.9937271952479927
23,2.3383448123931885,1.529164743378943,3.6890855262480864
24,2.499345541000366,1.580931858430453,3.978263026153286
25,2.48016357421875,1.574853508812407,3.9448032479311275
26,2.5337305068969727,1.591769614893114,4.037604204954824
27,2.4577670097351074,1.5677267012254106,3.9054071045347083
28,2.2837157249450684,1.5111967856454263,3.5864204231837107
29,2.2790448665618896,1.509650577637716,3.5775287503050723
30,2.3926422595977783,1.5468168151393293,3.788777691120244
31,2.4301788806915283,1.5589031017646762,3.8563824233822563
32,2.529646635055542,1.590486288861222,4.030598590557946
33,2.6063778400421143,1.6144280225646834,4.1603737451955185
34,2.527641534805298,1.5898558220182413,4.0271548318053325
35,2.5071334838867188,1.5833930288739808,3.991774571222188
36,2.538435220718384,1.5932467544979916,4.0456608495806865
37,2.5729494094848633,1.604041585958688,4.104312469963696
38,2.585310459136963,1.607890064381568,4.125127031723552
39,2.4512641429901123,1.565651347839011,3.89390112419785
40,2.535555362701416,1.5923427277760953,4.040730976104684
41,2.5397439002990723,1.593657397403555,4.047899259528465
42,2.420034646987915,1.5556460545342294,3.8382158370272617
43,2.6306240558624268,1.6219198672753308,4.200587872227465
44,2.5352797508239746,1.5922561825359556,4.040258877466263
45,2.3239190578460693,1.5244405720939302,3.662209974949784
46,2.5189578533172607,1.587122507343797,4.012209010332963
47,2.354585647583008,1.5344659160708027,3.7191449244116512
48,2.50905442237854,1.5839995020133497,3.9951008143512077
49,2.5516703128814697,1.597394851901517,4.068245609010984
50,2.622602701187134,1.6194451831374639,4.1873250418133505
51,2.5315661430358887,1.5910896087385804,4.033892788215122
52,2.4793694019317627,1.5746013469865199,3.9434123724332704
53,2.454970359802246,1.5668345030035067,3.9004625301620295
54,2.3346455097198486,1.5279546818279162,3.6822094706058244
55,2.3865277767181396,1.5448390779359964,3.777664934708407
56,2.3491322994232178,1.532687932823645,3.7090747624609923
57,2.339216709136963,1.5294498060207673,3.6907045747512575
58,2.3745779991149902,1.5409665794932057,3.7558643967035494
59,2.2655773162841797,1.5051834825974473,3.5517888773022257
60,2.454152822494507,1.5665735930668903,3.899016031748366
61,2.390021562576294,1.5459694571938651,3.7840181913460507
62,2.481452226638794,1.5752625897414037,3.9470591849893886
63,2.338820695877075,1.5293203378877414,3.689969281896368
64,2.492025852203369,1.5786151691287427,3.9655254336876578
65,2.333714485168457,1.527649987781382,3.6804772184616485
66,2.5202832221984863,1.5875399907399141,4.014493482920201
67,2.305112838745117,1.5182598060757313,3.6269218961498995
68,2.318643569946289,1.522709286090516,3.652339924919053
69,2.409756898880005,1.552339170052732,3.8197323228432345
70,2.4030508995056152,1.5501776993317944,3.8076296978030855
71,2.306607723236084,1.518752028224517,3.6297374184675357
72,2.364501953125,1.5376937123904098,3.737396770873553
73,2.2844133377075195,1.5114275826871493,3.587746871589339
74,2.213966131210327,1.4879402310611562,3.4517097284759517
75,2.316606044769287,1.5220400930229423,3.6485218522297407
76,2.3388993740081787,1.52934606090583,3.6901153764795303
77,2.300752639770508,1.5168232064978793,3.6186992898702695
78,2.401689291000366,1.5497384589021357,3.8051682157968756
79,2.4725446701049805,1.5724327235544866,3.931441464996937
80,2.516932725906372,1.5864843919517053,4.008716076190437
81,2.5543832778930664,1.5982438105286272,4.072860624596149
82,2.4157416820526123,1.5542656407617754,3.830504928394074
83,2.4816410541534424,1.5753225238513675,3.9473896512653313
84,2.4039547443389893,1.5504692013513166,3.8092628759490674
85,2.4531712532043457,1.5662602763284095,3.8972786688783705
86,2.3015575408935547,1.5170885079300926,3.6202183709667572
87,2.445915699005127,1.5639423579547704,3.8844148455316496
88,2.449399709701538,1.5650558168006463,3.890596620348947
89,2.1860013008117676,1.4785132061675228,3.396504160469889
90,2.3036978244781494,1.517793735814636,3.6242551217815286
91,2.4752957820892334,1.5733072751656725,3.936271017964665
92,2.4643988609313965,1.5698403934576906,3.9171099938637632
93,2.578997850418091,1.605925854582985,4.11450980155793
94,2.5856988430023193,1.6080108342303914,4.125779411017597
95,2.4666316509246826,1.5705513843630468,3.9210429990936992
96,2.4736640453338623,1.5727886206778907,3.933407166492163
97,2.55197811126709,1.5974911928605708,4.068769450504231
98,2.543224334716797,1.5947489879967935,4.053846704519594
99,2.2948787212371826,1.514885712269141,3.6075973907188645
