t,mse_t,rmse_t,mse_db_t
0,0.009516933001577854,0.09755476924055458,-20.21502988075055
1,0.007342376746237278,0.08568766974446952,-21.341633350848085
2,0.006814264692366123,0.08254855960200713,-21.665810007650094
3,0.006446293089538813,0.08028881048775609,-21.906899525817167
4,0.006656100042164326,0.08158492533651254,-21.767801591582266
5,0.0066902535036206245,0.08179396984876468,-21.74557425858826
6,0.006187276914715767,0.0786592455768282,-22.085004464752682
7,0.005850296001881361,0.07648722770424721,-22.328221597756755
8,0.006725231185555458,0.08200750688537885,-21.722927818258817
9,0.006707996595650911,0.08190236013480266,-21.73407166472988
10,0.006282227113842964,0.07926050159974364,-22.018863671247413
11,0.006193734239786863,0.07870028106548835,-22.080474332495285
12,0.005790622904896736,0.07609614250996391,-22.37274716132916
13,0.007206581067293882,0.08489158419592535,-21.42270723597658
14,0.006995717063546181,0.08364040329617128,-21.55167763548055
15,0.007203959859907627,0.08487614423327457,-21.424287157121917
16,0.0065192063339054585,0.08074160225005111,-21.8580527325365
17,0.006302713882178068,0.07938963334200548,-22.00472407646975
18,0.006129184737801552,0.07828910995663159,-22.12597288519207
19,0.006863495800644159,0.08284621778116463,-21.63454627700251
20,0.0068615204654634,0.08283429522524713,-21.63579636976481
21,0.005707106553018093,0.07554539398942925,-22.43584018995496
22,0.005882946774363518,0.07670037010577926,-22.30405080850151
23,0.0060998136177659035,0.07810130355996565,-22.146834348273362
24,0.005835373420268297,0.07638961591910445,-22.339313471296876
25,0.006792651955038309,0.08241754640268241,-21.67960637415559
26,0.007120814174413681,0.0843849167470922,-21.47470347481113
27,0.0067005278542637825,0.08185675203832475,-21.738909830955805
28,0.006824357435107231,0.08260966913810533,-21.659382344739754
29,0.006305876187980175,0.07940954720926303,-22.002545606107716
30,0.006214060354977846,0.0788293115216532,-22.066245329113407
31,0.006597820669412613,0.08122697008637349,-21.805994928741793
32,0.005816491320729256,0.07626592503031256,-22.353389156171648
33,0.0057978848926723,0.07614384343249492,-22.367304110875207
34,0.005853337235748768,0.07650710578599068,-22.32596453605685
35,0.006829926744103432,0.08264337084184933,-21.655839544154315
36,0.00596441188827157,0.07722960499880581,-22.244323728268874
37,0.007013110909610987,0.08374431867064766,-21.540892928492333
38,0.006366988644003868,0.07979341228449795,-21.960659247318635
39,0.006319154519587755,0.0794931098875101,-21.993410248886104
40,0.00539002101868391,0.07341676251840523,-22.68409541254701
41,0.007541660685092211,0.08684273536164214,-21.225330112975563
42,0.007066021673381329,0.08405963165147304,-21.50825034801615
43,0.006312710698693991,0.0794525688615163,-21.99784113229235
44,0.006442788988351822,0.08026698566877806,-21.909260922599092
45,0.007101569324731827,0.08427080944628351,-21.486456690611384
46,0.006922701373696327,0.08320277263226465,-21.597244022543833
47,0.006952440831810236,0.08338129785395665,-21.578626984764114
48,0.006558211520314217,0.08098278533314482,-21.8321458025222
49,0.0065419781021773815,0.08088249564755888,-21.84290913913184
50,0.006487149745225906,0.08054284415903071,-21.879460769773267
51,0.006146809086203575,0.07840158854387821,-22.113502754257325
52,0.006112745031714439,0.07818404588990288,-22.137637186595573
53,0.006616982165724039,0.08134483490501433,-21.79340035877498
54,0.0055122883059084415,0.07424478638873198,-22.58668075862641
55,0.007293321657925844,0.08540094646973091,-21.370746322916933
