t,mse_t,rmse_t,mse_db_t
0,1.1652480363845825,1.0794665517673916,0.6641837975475502
1,1.9181140661239624,1.3849599510902697,2.828744301627011
2,2.1244754791259766,1.457558053432513,3.272517227911548
3,1.7995176315307617,1.3414610063400134,2.551561061926002
4,1.9693299531936646,1.4033281701703506,2.9431848650186794
5,1.9626154899597168,1.4009337921399843,2.9283522219510374
6,2.1882004737854004,1.4792567301808703,3.4008710773012885
7,2.006284713745117,1.4164338013988218,3.02392564195065
8,1.7767486572265625,1.332947357260054,2.496259958976002
9,2.165832996368408,1.4716769334226885,3.356249658849296
10,1.9745837450027466,1.4051988275695175,2.9547555753132038
11,1.6969562768936157,1.3026727435905059,2.2967065260143533
12,2.0614888668060303,1.435788587085867,3.1418099371037607
13,1.9177093505859375,1.3848138324648327,2.8278278583684853
14,2.0040335655212402,1.4156389248396783,3.0190499124639496
15,2.2202978134155273,1.490066378862206,3.4641123122918325
16,1.9194309711456299,1.3854353002380262,2.8317249812072975
17,2.147017240524292,1.4652703643097038,3.318355318300554
18,2.0418806076049805,1.4289438783958524,3.1003034452159066
19,1.932979941368103,1.3903164896411546,2.862273473558441
20,1.8727619647979736,1.368488934846743,2.7248258039483684
21,2.022763729095459,1.4222389845224532,3.059451575396425
22,1.9403643608093262,1.3929696194854093,2.8788328922449
23,2.1329567432403564,1.460464564185094,3.289820479658326
24,2.3045122623443604,1.5180620087283525,3.6257902335414838
25,2.113980531692505,1.4539534145537487,3.251009834361902
26,2.0066518783569336,1.416563404284091,3.0247203595428536
27,1.9684568643569946,1.4030170577569592,2.9412590234850517
28,1.5594611167907715,1.248783855112954,1.9297455063934401
29,2.064467430114746,1.4368254696081728,3.1480803565682436
30,1.919352412223816,1.3854069482371654,2.831547228503664
31,1.936545968055725,1.3915983501196476,2.8702781035179594
32,1.8934935331344604,1.3760427075983,2.7726382620951733
33,1.8439396619796753,1.3579173988058608,2.6574670581847437
34,2.238901376724243,1.4962958854198067,3.5003496339243076
35,1.8489762544631958,1.359770662451281,2.669313337541848
36,1.9481687545776367,1.3957681593221838,2.896265736963639
37,1.962583065032959,1.4009222194800677,2.92828047033608
38,1.8562977313995361,1.362460176078382,2.6864763391619335
39,1.7953822612762451,1.3399187517443902,2.5415692995520143
40,2.010514497756958,1.4179261256345332,3.0330720913410305
41,1.8273112773895264,1.3517807800784587,2.618125345105426
42,2.1507375240325928,1.4665393019052004,3.3258741233084854
43,1.7391488552093506,1.3187679307631615,2.403367552225798
44,2.012259006500244,1.418541154320256,3.0368387989000443
45,2.000453233718872,1.4143737956137592,3.011284029655848
46,1.7318195104599,1.315986136119944,2.385026280417069
47,2.0167789459228516,1.4201334253945477,3.046582988934716
48,2.1618356704711914,1.470318220818606,3.348226784609717
49,1.9523299932479858,1.397258026725195,2.9055322630921463
50,1.950931429862976,1.3967574699506626,2.902420053476371
51,1.956457495689392,1.3987342477001812,2.914704172312969
52,1.9954544305801392,1.4126055467044363,3.0004181441843247
53,1.9923391342163086,1.4115024386150767,2.9936326560513447
54,2.0996406078338623,1.4490136672350133,3.2214496359487717
55,1.755630612373352,1.325002117875044,2.4443314489389465
56,2.076051712036133,1.4408510374206394,3.1723816708212045
57,1.9567610025405884,1.3988427368866696,2.9153778446418634
58,2.009686231613159,1.417634025978905,3.031282571637396
59,1.8871738910675049,1.3737444780844452,2.758119194821662
60,1.840165615081787,1.356527041780512,2.648569113135486
61,2.021111488342285,1.4216580068153821,3.0559027068323608
62,1.8575857877731323,1.362932789162082,2.6894887965800205
63,1.9092782735824585,1.3817663599836474,2.8086923058008484
64,1.8342041969299316,1.3543279502874965,2.6344768284074593
65,1.880793571472168,1.3714202752884208,2.7434113170655996
66,1.951613187789917,1.3970014988502757,2.9039374414254384
67,2.160651683807373,1.4699155362834195,3.345847604080273
68,1.9830880165100098,1.4082215793368633,2.9734199016915457
69,1.8594359159469604,1.3636113507693313,2.693812153219337
70,1.7606303691864014,1.3268874741990753,2.456681887484334
71,2.119346857070923,1.4557976703755653,3.2620204013899294
72,1.7616026401519775,1.3272537964353228,2.4590795251469744
73,2.345761299133301,1.5315878359184303,3.7028381692549504
74,2.012913942337036,1.4187719839132136,3.0382520798996184
75,2.2770771980285645,1.5089987402342537,3.5737775442256403
76,1.8324551582336426,1.3536820742824522,2.6303335588071524
77,2.080594539642334,1.4424266149937521,3.1818745438138585
78,2.005995273590088,1.4163316255701162,3.023299054260931
79,1.8636436462402344,1.3651533416580843,2.7036287300355113
80,1.7434306144714355,1.3203903265593229,2.4140466788532073
81,2.0461041927337646,1.4304209844426097,3.109277452985162
82,1.8813496828079224,1.371623010454375,2.7446952452409885
83,2.071218967437744,1.439173015115884,3.1622601454917474
84,2.0670905113220215,1.437737984238443,3.153594934183345
85,1.9094748497009277,1.381837490337025,2.809139425165963
86,1.977807879447937,1.4063455761113401,2.961841027576511
87,2.148923873901367,1.465920827978567,3.3222103078685636
88,2.0550589561462402,1.4335476818530455,3.128242855608523
89,2.058480739593506,1.4347406523805986,3.135468078273634
90,1.9751123189926147,1.4053868929916113,2.9559179775068323
91,1.8226089477539062,1.3500403504169445,2.6069349802932793
92,1.7766480445861816,1.332909616060362,2.4960140223795255
93,1.929905891418457,1.3892105281124445,2.855361318916359
94,2.160945415496826,1.4700154473667364,3.3464379693973303
95,2.0505056381225586,1.4319586719324544,3.118609677723205
96,2.0697319507598877,1.438656300427551,3.159141039865006
97,1.9280351400375366,1.3885370502934147,2.8511494501563037
98,2.1076242923736572,1.4517659220320807,3.237931955863797
99,2.108123540878296,1.4519378570993648,3.2389605793975216
