t,mse_t,rmse_t,mse_db_t
0,0.009915979579091072,0.09957901173987957,-20.03664376286749
1,0.006665192078799009,0.08164062762374509,-21.761873304871063
2,0.0061459895223379135,0.07839636166518134,-22.114081844627687
3,0.006504327058792114,0.08064940829784255,-21.867976291210148
4,0.005974925588816404,0.07729764284126912,-22.23667499010395
5,0.0066154045052826405,0.08133513696602865,-21.794435953100173
6,0.006798069458454847,0.08245040605391127,-21.67614402378797
7,0.005996993742883205,0.07744025918657042,-22.22066404294239
8,0.0063516851514577866,0.07969746013178705,-21.97111037717837
9,0.006944439839571714,0.08333330570409238,-21.583627800767427
10,0.006260557100176811,0.07912368229662224,-22.033870190631344
11,0.00659197848290205,0.08119100001171344,-21.809842189038044
12,0.006379885133355856,0.07987418314672054,-21.95187140463601
13,0.006352956406772137,0.07970543523983879,-21.970241247313623
14,0.006220140494406223,0.07886786731239931,-22.061998057824496
15,0.0065814657136797905,0.08112623320282898,-21.81677376830285
16,0.006496344693005085,0.08059990504339992,-21.873309396938318
17,0.006216900423169136,0.07884732350035184,-22.064260887223224
18,0.005881482735276222,0.076690825626513,-22.305131734864606
19,0.006766551174223423,0.082259049193529,-21.696326293422402
20,0.007156878709793091,0.08459833751199305,-21.452763428690428
21,0.005592889618128538,0.07478562440822793,-22.523637518698084
22,0.005620024167001247,0.07496682044078731,-22.502618168913095
23,0.0059054140001535416,0.07684669153680945,-22.28749650687273
24,0.005878908094018698,0.07667403793996178,-22.307033291581753
25,0.006090084090828896,0.07803899083681756,-22.15376710662554
26,0.006928741931915283,0.08323906493897731,-21.593456141078295
27,0.0074910325929522514,0.0865507515446992,-21.254583133403475
28,0.006070532836019993,0.07791362420026418,-22.167731874112114
29,0.007025634869933128,0.08381906030213611,-21.533144247252885
30,0.0067743235267698765,0.08230627878096468,-21.691340662482638
31,0.006743632722645998,0.08211962446727333,-21.711060906477982
32,0.006169063970446587,0.07854338909447814,-22.097807262922643
33,0.0065849823877215385,0.08114790439513234,-21.814453822702426
34,0.006777576170861721,0.08232603580193644,-21.689255928328276
35,0.0067761968821287155,0.08231765838584523,-21.690139840852737
36,0.007174553349614143,0.08470273519558942,-21.442051306686484
37,0.006704803556203842,0.08188286485097991,-21.736139420042505
38,0.006738828495144844,0.08209036785850606,-21.714155963898378
39,0.0061267768032848835,0.0782737299691594,-22.127679406028193
40,0.0064561436884105206,0.08035013185061068,-21.900268124883752
41,0.006107366178184748,0.0781496396548618,-22.141460403123887
42,0.005950016900897026,0.0771363526548736,-22.254818006654176
43,0.00716035533696413,0.08461888286289374,-21.450654250310354
44,0.007013563998043537,0.08374702381603502,-21.540612357640818
45,0.0059907091781497,0.07739967169277723,-22.225217629318273
46,0.006119466852396727,0.0782270212420026,-22.13286413336177
47,0.006440384779125452,0.08025200794450849,-21.910881850533958
48,0.006112745031714439,0.07818404588990288,-22.137637186595573
49,0.006193365901708603,0.07869794089878465,-22.080732612791856
50,0.0060297781601548195,0.07765164621664385,-22.196986655701117
51,0.006585799623280764,0.0811529397081878,-21.81391487081036
52,0.006435026414692402,0.08021861638480436,-21.914496660507204
53,0.006243623327463865,0.0790166015939933,-22.04563305439594
54,0.006437484174966812,0.08023393406138585,-21.91283825559768
55,0.006025875918567181,0.07762651556373751,-22.19979815317224
56,0.0071302978321909904,0.0844410908988686,-21.468923293100367
57,0.006082732230424881,0.07799187284855315,-22.159013013093094
58,0.00609130784869194,0.07804683112524134,-22.152894511290736
59,0.006462316960096359,0.08038853749196062,-21.896117447639043
60,0.006216264329850674,0.07884328969449889,-22.064705266146714
61,0.006576079875230789,0.08109303222367992,-21.82032920352237
62,0.006491201464086771,0.08056799280165028,-21.876749116848664
63,0.006562173832207918,0.08100724555376462,-21.829522693220007
64,0.006525776349008083,0.08078227744380623,-21.853678144059536
65,0.0067595518194139,0.08221649359717247,-21.700820982607326
66,0.006681827828288078,0.08174244814224785,-21.75104719088155
67,0.006091412156820297,0.07804749936301801,-22.152820142932036
68,0.006779632531106472,0.08233852397940147,-21.68793845076548
69,0.006756771821528673,0.08219958528805771,-21.702607470990344
70,0.005846661981195211,0.07646346827861794,-22.330920137298712
71,0.006802618503570557,0.0824779879941949,-21.673238839475424
72,0.005818204954266548,0.07627715879781147,-22.352109841994398
73,0.00599120557308197,0.07740287832556339,-22.224857784361056
74,0.006526488810777664,0.08078668708876274,-21.85320402219392
75,0.006194368004798889,0.07870430740943528,-22.080029969602
76,0.0066232867538928986,0.08138357791282526,-21.789264418521853
77,0.0072900294326245785,0.08538166918387446,-21.372707182663
78,0.006861678324639797,0.08283524808099386,-21.635696455203668
79,0.006527941208332777,0.08079567567842215,-21.852237655611244
80,0.006372496485710144,0.07982791795925874,-21.95690395362361
81,0.006389222107827663,0.07993260978992031,-21.94552014273979
82,0.005779021419584751,0.07601987516159672,-22.381456958450514
83,0.005617794580757618,0.07495194847872615,-22.50434145176179
84,0.006284445058554411,0.07927449185301923,-22.01733066211638
85,0.006967355031520128,0.08347068366510561,-21.569320588063828
86,0.00701708672568202,0.0837680531329338,-21.538431558992322
87,0.006267753429710865,0.07916914442957473,-22.028880967953846
88,0.005938578862696886,0.07706217530472965,-22.263174718423336
89,0.006274474319070578,0.07921157945067488,-22.02422653893175
90,0.0066599459387362,0.08160849182981021,-21.765292961455916
91,0.006564298644661903,0.08102035944540054,-21.828116688166432
92,0.006275800056755543,0.07921994734128232,-22.02330901227706
93,0.006353470031172037,0.07970865719087254,-21.969890142707058
94,0.006081317085772753,0.07798279993545212,-22.16002351461329
95,0.0064557939767837524,0.08034795564781815,-21.900503376685208
96,0.005824076011776924,0.07631563412418797,-22.347729655494394
97,0.007009455002844334,0.08372248803543964,-21.543157478619605
98,0.006833240389823914,0.08266341627239897,-21.653733007557786
99,0.005934108980000019,0.07703316805117143,-22.266444821212936
100,0.006917530670762062,0.08317169392745384,-21.600489066195088
101,0.006057967431843281,0.07783294567111848,-22.17673065801573
102,0.00637717405334115,0.07985721040295078,-21.953717295747555
103,0.006156019400805235,0.07846030461835612,-22.107000201515756
104,0.006354338955134153,0.07971410762929078,-21.96929622619016
105,0.006374992895871401,0.07984355262556521,-21.95520294860371
106,0.007914961315691471,0.08896606833895421,-21.015512034071577
107,0.0063209859654307365,0.07950462857866035,-21.99215173940985
108,0.0070878141559660435,0.08418915699759705,-21.49487678267812
109,0.006642682943493128,0.08150265605177004,-21.776564760211116
110,0.006623381748795509,0.08138416153524904,-21.789202130012093
111,0.006753953173756599,0.08218243835368114,-21.704419547236476
112,0.007087165489792824,0.08418530447645138,-21.495274260694828
113,0.007219412829726934,0.08496712793620209,-21.414981230923125
114,0.00647420110180974,0.0804624204322101,-21.888138146569833
115,0.007402656599879265,0.08603869245798233,-21.30612396536561
116,0.007169599644839764,0.08467348844142282,-21.44505094944664
117,0.005942442454397678,0.07708723924488202,-22.260350152133377
118,0.005878893192857504,0.07667394076775697,-22.30704429957878
119,0.006047351751476526,0.07776472048092584,-22.18434769399296
120,0.00669228145852685,0.08180636563573063,-21.744258021216858
121,0.005390666890889406,0.07342116105653333,-22.683575039937118
122,0.006322458386421204,0.07951388800971314,-21.99114020442572
123,0.005118776578456163,0.07154562585131367,-22.908338258826845
124,0.005657141096889973,0.07521396876172652,-22.47402989222018
125,0.00638797739520669,0.07992482339803254,-21.946366293454467
126,0.006548817735165358,0.08092476589502967,-21.838370965636326
127,0.006544896867126226,0.08090053687786149,-21.84097192564849
128,0.006332988850772381,0.07958007822798606,-21.983912765474948
129,0.006656867451965809,0.08158962833574994,-21.767300904049364
130,0.006505993194878101,0.08065973713618277,-21.86686395316144
131,0.0060235788114368916,0.07761171826107763,-22.20145403053012
132,0.006464673206210136,0.08040319151756438,-21.894534241210653
133,0.005733401048928499,0.07571922509461186,-22.41587678451244
134,0.006291645113378763,0.07931989103231776,-22.012357821784427
135,0.007777329068630934,0.08818916639038456,-21.091695251072224
136,0.007376132067292929,0.08588441108427611,-21.321713159805817
137,0.006612115539610386,0.08131491584949459,-21.79659566205124
138,0.007235229481011629,0.08506015213372023,-21.40547689734089
139,0.005941982381045818,0.07708425507875015,-22.2606864028495
140,0.006002592388540506,0.07747639891309163,-22.216611468020385
141,0.005782900378108025,0.0760453836738827,-22.378542892130273
142,0.007109237369149923,0.08431629361606167,-21.48176984943099
143,0.006413782015442848,0.08008609127334688,-21.92885804479149
144,0.007252426818013191,0.08516118140334357,-21.395166448339364
145,0.006221469026058912,0.07887628937810724,-22.061070566944736
146,0.006340308114886284,0.07962605173488313,-21.97889636543589
147,0.0058412207290530205,0.07642787926570395,-22.33496382255686
148,0.006616801023483276,0.08134372147549727,-21.79351925006175
149,0.006683281157165766,0.08175133734175707,-21.750102682737026
150,0.006494592409580946,0.08058903405290913,-21.87448099375299
151,0.0058718109503388405,0.07662774269374532,-22.312279354738553
152,0.005575301591306925,0.07466794219279733,-22.537316348452347
153,0.006238054018467665,0.07898135234640936,-22.049508687868183
154,0.005979964043945074,0.0773302272332435,-22.233014273097815
155,0.006488939747214317,0.08055395550321733,-21.878262584462437
156,0.006175267044454813,0.07858286737231476,-22.093442569467634
157,0.006124802399426699,0.07826111677855549,-22.129079181018657
158,0.006553900893777609,0.08095616649630594,-21.835001301814327
159,0.006119515281170607,0.07822733078132352,-22.132829763919876
160,0.007054060231894255,0.08398845296762082,-21.515608363799508
161,0.006415946409106255,0.08009960305211415,-21.92739272268568
162,0.006834240630269051,0.0826694661303014,-21.653097339718137
163,0.006865720264613628,0.0828596419532068,-21.633138953480184
164,0.006676035467535257,0.08170700990450731,-21.75481364725875
165,0.00632505165413022,0.07953019334900564,-21.9893592343086
166,0.007111324463039637,0.08432866928298843,-21.480495056807854
167,0.006646068301051855,0.08152342179430311,-21.774351998286726
168,0.00616241293027997,0.07850103776562428,-22.102492038877095
169,0.005764779634773731,0.0759261459233493,-22.392172894501034
170,0.006381498649716377,0.07988428287038933,-21.950773183208803
171,0.006473941262811422,0.08046080575541996,-21.88831245210338
172,0.007216277532279491,0.08494867587125471,-21.416867725254626
173,0.006160416174679995,0.0784883187148253,-22.103899475333417
174,0.0065076835453510284,0.08067021473475218,-21.865735740279476
175,0.00671650655567646,0.08195429552913294,-21.72856557018962
176,0.006074079312384129,0.07793637990299607,-22.165195415738467
177,0.005536776036024094,0.07440951576259648,-22.56743043453224
178,0.0064566838555037975,0.08035349311326669,-21.899904778301057
179,0.00682483846321702,0.08261258053842054,-21.65907623461376
180,0.0067719947546720505,0.08229213057560274,-21.692833869508558
181,0.0065626525320112705,0.08101020017264042,-21.829205894083152
182,0.0065426952205598354,0.08088692861371258,-21.84243310041234
183,0.006557393819093704,0.0809777365644021,-21.83268733014397
184,0.006559768225997686,0.0809923960998666,-21.83111505128683
185,0.006819578818976879,0.08258074121111338,-21.66242446786721
186,0.007252727635204792,0.08516294754883014,-21.39498631479192
187,0.007023933343589306,0.08380890969097084,-21.534196184927154
188,0.006504893768578768,0.08065292163696718,-21.867597915077393
189,0.006523516029119492,0.08076828603554424,-21.855182661601674
190,0.006694581359624863,0.08182042140947982,-21.74276576066383
191,0.0063132052309811115,0.0794556809232739,-21.997500923083415
192,0.006554259452968836,0.0809583809927597,-21.83476370893462
193,0.005890107713639736,0.0767470371652205,-22.29876763105661
194,0.006176438182592392,0.07859031863144716,-22.09261900895858
195,0.006512526422739029,0.08070022566721254,-21.86250501661482
196,0.006347255781292915,0.07966966663224415,-21.974140001631476
197,0.00589863583445549,0.07680257700400092,-22.292484151494506
198,0.006263334304094315,0.0791412301148669,-22.031944073073582
199,0.006175988353788853,0.0785874567204516,-22.092935316311944
