t,mse_t,rmse_t,mse_db_t
0,0.00010193043272010982,0.010096060257353351,-39.9169613209569
1,6.472782115451992e-05,0.008045360225280154,-41.889090118063415
2,6.548665987793356e-05,0.00809238283065832,-41.838471600304324
3,6.291467434493825e-05,0.007931877100972899,-42.0124804702293
4,6.339974061120301e-05,0.007962395406609937,-41.97912518953498
5,5.691333717550151e-05,0.007544092866309475,-42.447859483151774
6,6.610983109567314e-05,0.00813079523144404,-41.797339524186874
7,6.472644599853083e-05,0.008045274762152678,-41.889182385807224
8,6.461716839112341e-05,0.008038480477747235,-41.8965207725391
9,6.644071254413575e-05,0.008151117257415437,-41.77565718599829
10,6.904145266162232e-05,0.008309118645297004,-41.608900794555126
11,6.321951514109969e-05,0.007951070062645636,-41.991488392834114
12,6.169439438963309e-05,0.007854577925619752,-42.09754294576912
13,6.507409125333652e-05,0.008066851384111184,-41.865918880119196
14,6.994426075834781e-05,0.008363268545153133,-41.5524791552867
15,7.297675620066002e-05,0.008542643396552382,-41.36815444828083
16,6.42752565909177e-05,0.008017185078998595,-41.91956180950412
17,6.382229184964672e-05,0.00798888551987364,-41.950276044078876
18,6.331616168608889e-05,0.00795714532266999,-41.984854205481064
19,6.198725895956159e-05,0.007873198775565214,-42.076975674725354
20,6.511534593300894e-05,0.0080694080286604,-41.863166478584745
21,6.105420470703393e-05,0.007813719006147708,-42.14284421511372
22,6.202580698300153e-05,0.007875646448578143,-42.07427576656968
23,6.910912634339184e-05,0.00831318990180014,-41.60464597215408
24,6.75311530358158e-05,0.008217734057257864,-41.70495835015235
25,6.468874198617414e-05,0.008042931181240713,-41.89171294581805
26,5.783197048003785e-05,0.007604733425968188,-42.37832009943891
27,6.91009481670335e-05,0.008312698007688808,-41.60515993423408
28,6.586047675227746e-05,0.008115446799300546,-41.8137512983222
29,6.977427983656526e-05,0.008353100013561748,-41.563046373132806
30,6.935917917871848e-05,0.008328215846069222,-41.58896055097338
31,6.258631765376776e-05,0.007911151474581166,-42.035205999676236
32,6.685291009489447e-05,0.008176362889139307,-41.748796832315136
33,6.165246304590255e-05,0.007851908242325718,-42.10049568445758
34,5.958957626717165e-05,0.00771942849355907,-42.24829702769263
35,6.089791713748127e-05,0.0078037117538695185,-42.153975610808786
36,5.4492400522576645e-05,0.007381896810615592,-42.63664059947877
37,6.146945815999061e-05,0.00784024605226077,-42.11340615074413
38,6.223771924851462e-05,0.007889088619638813,-42.05946330798792
39,6.559596658917144e-05,0.008099133693745982,-41.83122864007259
40,7.180712418630719e-05,0.00847390843627114,-41.43832466045802
41,7.316740811802447e-05,0.008553794954172357,-41.35682329140132
42,6.0704034694936126e-05,0.007791279400389651,-42.167824425736036
43,6.20133796473965e-05,0.007874857436639505,-42.07514599531636
44,6.183282675920054e-05,0.007863385197178156,-42.08780898772669
45,6.22667939751409e-05,0.00789093112218963,-42.05743494881616
46,6.420315912691876e-05,0.008012687384824068,-41.92443601874552
47,6.352620403049514e-05,0.00797033274277148,-41.97047094890821
48,5.910156687605195e-05,0.007687754345454331,-42.28401005132235
49,6.521017348859459e-05,0.0080752816352493,-41.856846443709934
50,5.8566434745443985e-05,0.007652871013250124,-42.32351213013325
51,6.881904846522957e-05,0.008295724710067806,-41.622913364979574
52,6.471268716268241e-05,0.008044419628704261,-41.89010565937417
53,6.326717993943021e-05,0.007954066880497688,-41.98821523278156
54,6.774786015739664e-05,0.008230908829369735,-41.691044175976316
55,5.828946450492367e-05,0.007634753729160075,-42.34409934449383
56,6.776829104637727e-05,0.00823214984353281,-41.68973466086199
57,6.053731340216473e-05,0.007780572819668532,-42.17976856595581
58,6.130097608547658e-05,0.007829493986553446,-42.12532610226097
59,6.421122088795528e-05,0.008013190431279871,-41.92389072493391
60,5.565783430938609e-05,0.007460417837452946,-42.54473696417024
61,6.446667248383164e-05,0.00802911405348259,-41.90664745784016
62,7.447304960805923e-05,0.008629776915312425,-41.28000861802735
63,6.127937376732007e-05,0.007828114317466248,-42.126856815410356
64,5.924507058807649e-05,0.007697081952797208,-42.273477787432924
