t,mse_t,rmse_t,mse_db_t
0,1.4086833000183105,1.1868796484978208,1.488133660587614
1,2.0658860206604004,1.4373190392743012,3.1510635689137487
2,1.9086174964904785,1.3815272333510036,2.8071890073088888
3,2.2050604820251465,1.4849446057092994,3.4342050611657235
4,1.8720104694366455,1.3682143360733527,2.7230827325136495
5,2.1179285049438477,1.4553104496786409,3.259112955106346
6,2.232079029083252,1.4940144005608686,3.4870956718631074
7,2.093756914138794,1.4469820020092834,3.20926258538469
8,2.059689998626709,1.4351620112819001,3.138018601667587
9,2.0633232593536377,1.4364272551555257,3.145672739041035
10,2.008413314819336,1.417184996681568,3.0285309187647647
11,1.9779510498046875,1.4063964767464001,2.962155395044539
12,2.063441514968872,1.436468417671921,3.14592163988212
13,1.8250616788864136,1.3509484367977977,2.6127754624311135
14,2.0663704872131348,1.437487560715965,3.1520819043006365
15,2.228203773498535,1.4927169100330226,3.4795490537925247
16,2.19838809967041,1.4826962263627739,3.421043644599413
17,2.3894646167755127,1.5457893183663525,3.7830060386584323
18,2.0995213985443115,1.448972532018572,3.221203053718418
19,2.0289268493652344,1.4244040330486412,3.072663893252555
20,1.8611918687820435,1.3642550600170202,2.6979114650962677
21,2.0417373180389404,1.428893739239885,3.0999986671049076
22,1.9624971151351929,1.4008915429594087,2.9280902700618814
23,1.9910403490066528,1.4110422917144096,2.99080061219464
24,2.0517497062683105,1.4323929999369274,3.121243799210127
25,2.116899013519287,1.4549567050325887,3.2570014053361995
26,2.3208112716674805,1.5234209108672103,3.656398250720556
27,2.0471444129943848,1.4307845445748932,3.111484804516386
28,2.228593111038208,1.492847316720035,3.480307837061713
29,1.936869502067566,1.3917145907360338,2.871003608114412
30,2.068115711212158,1.4380944722834303,3.1557483390695626
31,2.0807995796203613,1.442497687908151,3.1823025144820853
32,1.9130847454071045,1.3831430675845158,2.81734208734814
33,2.0131707191467285,1.4188624736551207,3.038806051120085
34,1.6853513717651367,1.2982108348666392,2.2669045886329178
35,1.7931746244430542,1.3390947033137925,2.5362258445299317
36,2.0590906143188477,1.434953174956886,3.1367545901858245
37,1.991227388381958,1.4111085671846648,2.991208571548507
38,1.9032155275344849,1.379570776558595,2.7948797226956055
39,1.940198540687561,1.3929100978482283,2.8784617359681275
40,1.9134677648544312,1.3832815204630007,2.818211503003851
41,2.1488029956817627,1.4658795979485364,3.3219660078217563
42,1.9837652444839478,1.4084620138590702,2.974902771641999
43,2.1731202602386475,1.4741506911569955,3.3708376079491686
44,2.022778272628784,1.422244097413937,3.059482800761371
45,2.082225799560547,1.4429919610172979,3.185278232465134
46,1.9810447692871094,1.407495921588091,2.968942901951112
47,1.7729154825210571,1.3315087241625783,2.4868803264005073
48,2.1419522762298584,1.4635410059953422,3.3080979030493065
49,1.9947335720062256,1.412350371546036,2.9988489704807986
