t,mse_t,rmse_t,mse_db_t
0,0.00017926232249010354,0.013388888022913013,-37.46510981236079
1,0.00010317091073375195,0.010157308242529216,-39.86442735738278
2,8.719742618268356e-05,0.009337956210150246,-40.59496334002695
3,8.287286618724465e-05,0.009103453530789547,-40.81587640669045
4,7.04092308296822e-05,0.008391020845503973,-41.52370400011375
5,7.281732541741803e-05,0.00853330682780234,-41.377652767586866
6,7.654450746485963e-05,0.00874897179472306,-41.160859671248815
7,7.354805711656809e-05,0.008576016389709624,-41.33428795332077
8,7.845449727028608e-05,0.008857454333514009,-41.05382156172805
9,7.689109042985365e-05,0.008768756492790391,-41.14123980111695
10,7.652102067368105e-05,0.008747629431662103,-41.16219245780246
11,7.480013300664723e-05,0.00864870701357418,-41.26097629889528
12,7.335896225413308e-05,0.00856498466164027,-41.34546820883446
13,7.008444663370028e-05,0.00837164539584067,-41.54378351371722
14,7.069712592056021e-05,0.008408158295403352,-41.50598241397056
15,6.737421790603548e-05,0.008208179938697463,-41.71506263156812
16,7.508304406655952e-05,0.008665047262800101,-41.24458128238892
17,7.172049663495272e-05,0.008468795465410222,-41.44356711788707
18,8.207176870200783e-05,0.009059347035079726,-40.858062071367
19,7.377553993137553e-05,0.008589268882237622,-41.32087603402263
20,7.759025174891576e-05,0.008808532894240434,-41.10192839020076
21,7.8635748650413e-05,0.008867680003834881,-41.043799741634004
22,7.367850048467517e-05,0.0085836181464855,-41.32659221544351
23,7.251455099321902e-05,0.008515547603837291,-41.3957483781546
24,7.53234198782593e-05,0.008678906606149147,-41.23069970113956
25,7.29983948986046e-05,0.00854390981334685,-41.366866891171156
26,7.314389949897304e-05,0.008552420680659542,-41.35821889968141
27,7.249984628288075e-05,0.008514684156378365,-41.39662914236833
28,7.49960308894515e-05,0.008660024878108116,-41.24961720720606
29,7.636036025360227e-05,0.00873844152315516,-41.1713203135508
30,6.754204514436424e-05,0.008218396750240537,-41.70425793249543
31,6.992650014581159e-05,0.008362206655292106,-41.55358207858694
32,7.102165545802563e-05,0.008427434690226061,-41.48609208859152
33,7.475208985852078e-05,0.008645929091689382,-41.26376661179637
34,6.723939441144466e-05,0.008199963073785434,-41.72376206668501
35,6.868568016216159e-05,0.008287682436131441,-41.63133796780223
36,7.097075285855681e-05,0.008424414095861909,-41.48920587745853
37,7.727636693743989e-05,0.008790697750317655,-41.11953303985309
38,7.320673466892913e-05,0.008556093423340417,-41.35448964091688
39,7.66215889598243e-05,0.00875337586076505,-41.15648845966511
40,7.762266614008695e-05,0.008810372644791306,-41.100114444349344
41,7.512780575780198e-05,0.008667629765847291,-41.24199295323621
42,7.563315011793748e-05,0.008696732151672689,-41.212878108778966
43,7.372324034804478e-05,0.00858622387013318,-41.3239558454428
44,7.62221752665937e-05,0.008730531213310773,-41.179186612736665
45,6.897498678881675e-05,0.008305118108059437,-41.61308374031735
46,7.191931217676029e-05,0.008480525465839973,-41.431544747685145
47,7.419751636916772e-05,0.008613798022310932,-41.29610631718519
48,7.530178845627233e-05,0.008677660310030137,-41.23194708959108
49,8.140034333337098e-05,0.009022213882045303,-40.89373763323649
50,8.531237835995853e-05,0.009236470016189005,-40.68987950504193
51,7.681800343561918e-05,0.00876458803570477,-41.145369847022344
52,7.116242340998724e-05,0.008435782323530358,-41.477492705984574
53,6.879954162286595e-05,0.008294548910149722,-41.624144552430224
54,7.386865763692185e-05,0.00859468775680198,-41.315397930349846
55,8.039662498049438e-05,0.008966416507194744,-40.94762182384795
56,7.716061372775584e-05,0.008784111436437715,-41.12604326679815
57,7.410897524096072e-05,0.008608656994035754,-41.30129191999365
58,7.81951894168742e-05,0.008842804386441793,-41.06819963998582
59,7.553694013040513e-05,0.008691199004188382,-41.218406116635826
60,7.408546662190929e-05,0.008607291480013286,-41.302669794020304
61,7.664523582207039e-05,0.008754726484709296,-41.15514835206075
62,7.139712397474796e-05,0.008449681886008961,-41.46319282160149
63,8.153850649250671e-05,0.009029867468158473,-40.88637247605511
64,7.381216710200533e-05,0.008591400764834878,-41.31872043736237
65,7.627670129295439e-05,0.008733653376047985,-41.176080969742834
66,7.06129867467098e-05,0.008403153381124838,-41.51115418583369
67,8.014527702471241e-05,0.008952389458949628,-40.96122065606057
68,7.77909517637454e-05,0.008819917900056973,-41.09070914933224
69,7.490181451430544e-05,0.008654583439675501,-41.255076612857806
70,7.352857937803492e-05,0.008574880720921715,-41.33543824810802
71,6.96716015227139e-05,0.008346951630548358,-41.569442063380706
72,7.107312558218837e-05,0.008430487861457862,-41.48294585173176
73,6.709261651849374e-05,0.008191008272398078,-41.733252709146285
74,7.838136662030593e-05,0.008853325173080786,-41.05787168639448
75,7.495076715713367e-05,0.008657411111708492,-41.25223917580147
76,7.474167796317488e-05,0.00864532694368321,-41.264371563931576
77,7.986911077750847e-05,0.008936951984737776,-40.97621150756849
78,8.009476005099714e-05,0.008949567590168652,-40.9639589534367
79,7.691629434702918e-05,0.008770193518220061,-41.13981647254719
80,7.818121230229735e-05,0.008842014041059727,-41.06897599545674
81,7.43669515941292e-05,0.008623627519445004,-41.286200204888814
82,7.667400495847687e-05,0.008756369393674348,-41.15351851391735
83,7.798305887263268e-05,0.008830801711771852,-41.079997336844436
