t,mse_t,rmse_t,mse_db_t
0,1.044000267982483,1.0217633130928527,0.18700610144498753
1,2.0094246864318848,1.4175417759035833,3.0307173340439464
2,2.320035934448242,1.5231664171876433,3.6549471162008995
3,2.409574031829834,1.552280268453424,3.819402741198018
4,2.486480236053467,1.5768577095139138,3.9558501156461108
5,2.3230013847351074,1.5241395555312864,3.6604946868212815
6,2.3722729682922363,1.5402184807007857,3.7516466015694885
7,2.4553768634796143,1.5669642189532007,3.9011815925677205
8,2.294813394546509,1.514864150525224,3.607473761418394
9,2.2616193294525146,1.5038681223606392,3.544195072955292
10,2.1611530780792236,1.4700860784590892,3.346855297756859
11,2.4255199432373047,1.5574080850044745,3.8480484985563224
12,2.4070210456848145,1.5514577163702574,3.8147988752672295
13,2.3095815181732178,1.5197307387077548,3.6353329555767355
14,2.500227689743042,1.5812108302636438,3.979795606305455
15,2.473522663116455,1.5727436736850844,3.933158938476952
16,2.5481350421905518,1.59628789451983,4.062224403525131
17,2.5689878463745117,1.6028062410580113,4.097620496672921
18,2.331465721130371,1.5269137896850533,3.6762903453064992
19,2.334561347961426,1.5279271409204778,3.6820529087383025
20,2.3379390239715576,1.529032054592564,3.6883318009442183
21,2.1484932899475098,1.465773955952114,3.3213400165812517
22,2.504699468612671,1.5826242348114952,3.98755623635144
23,2.294480323791504,1.51475421233661,3.606843377746684
24,2.2958359718322754,1.5152016274516984,3.6094085625518706
25,2.1399664878845215,1.462862429582673,3.3040697230209353
26,2.2111425399780273,1.486991102857723,3.4461674001451326
27,2.5240259170532227,1.5887183252714192,4.02093809991833
28,2.185048818588257,1.4781910629510169,3.3946114446737785
29,2.2075345516204834,1.4857774233109358,3.4390750974029016
30,2.2344894409179688,1.494820872518834,3.4917830674222934
31,2.289904832839966,1.513243150600711,3.598174336799373
32,2.4053213596343994,1.5509098489707258,3.8117310790001078
33,2.3739559650421143,1.5407647338390487,3.7547265888285706
34,2.516726493835449,1.5864193940555094,4.008360210024161
35,2.2893309593200684,1.5130535216310321,3.59708581410424
36,2.3136985301971436,1.521084655828578,3.643067706912716
37,2.4843502044677734,1.576182160940725,3.9521281579908085
38,2.246436357498169,1.4988116484395793,3.5149411935509507
39,2.484102725982666,1.5761036533117567,3.9516955140991774
40,2.4658150672912598,1.5702913956623654,3.919605019974986
41,2.159264326095581,1.4694435430106123,3.34305809697879
42,2.3441193103790283,1.5310517007531224,3.6997971251694417
43,2.255697250366211,1.50189788280236,3.5328081015241484
44,2.2846264839172363,1.5114980925946404,3.5881520692956386
45,2.169929265975952,1.47306797737781,3.364455772139639
46,2.2210588455200195,1.4903217255076233,3.4656006505278625
47,2.405637264251709,1.5510116905593294,3.8123014253407375
48,2.299039363861084,1.5162583433772372,3.6154640726810494
49,2.240633726119995,1.496874652774906,3.5037086870561036
50,2.467571258544922,1.570850488921502,3.9226970308270657
51,2.4858133792877197,1.57664624418026,3.95468521172963
52,2.430640697479248,1.5590512170801984,3.8572076524611596
53,2.4949228763580322,1.5795324866421812,3.9705712515387024
54,2.35227632522583,1.5337132473920378,3.7148833758770836
55,2.280930519104004,1.5102749812878462,3.581120561537565
56,2.266741991043091,1.5055703208562166,3.5540208993547004
57,2.3656764030456543,1.5380755518002536,3.739553379322059
58,2.408313751220703,1.5518742704293744,3.81713065454376
59,2.255998373031616,1.501998126840249,3.533387821093339
60,2.5398385524749756,1.5936870936526328,4.048061111090407
61,2.515152931213379,1.585923368644708,4.0056439701136055
