t,mse_t,rmse_t,mse_db_t
0,0.8972053527832031,0.9472092444561566,-0.4710814405332163
1,1.2852187156677246,1.1336748721162186,1.0897704122746978
2,2.7201201915740967,1.6492786882677217,4.34588094248963
3,6.035645008087158,2.4567549751831494,7.807236884324732
4,12.97637939453125,3.6022741975773096,11.131535346585931
5,26.83977699279785,5.180712016006859,14.287789030319889
6,53.98066329956055,7.347153414728765,17.32238216744565
7,106.51480102539062,10.320600807384745,20.274099604228645
8,207.56398010253906,14.407080901506005,23.171519898317037
9,400.6219482421875,20.01554266669249,26.02734738615464
10,769.4042358398438,27.738136848747498,28.861545729206362
11,1474.0477294921875,38.39332923168018,31.685115461549742
12,2819.540771484375,53.099348126736686,34.50178379010437
13,5392.185546875,73.43150241466533,37.317648280000945
14,10315.064453125,101.56310576742422,40.13471945983341
15,19743.490234375,140.5115306100357,42.95423929262789
16,37783.83984375,194.38065707201937,45.77306091706823
17,72314.5390625,268.91362751355683,48.592256223266894
18,138505.609375,372.1634175667995,51.41467362362765
19,265204.90625,514.9804911353439,54.23581554188212
20,508136.875,712.8372009091557,57.05980712383084
21,973678.75,986.7516151494256,59.8841569187295
22,1865096.875,1365.685496371694,62.70701394420995
23,3573918.25,1890.4809573227656,65.53144614207693
24,6854954.5,2618.196803145249,68.360045764903
25,13147015.0,3625.8812721874942,71.18827158438995
26,25207000.0,5020.657327482129,74.01521161385543
27,48341100.0,6952.776423846807,76.84316528539458
28,92647080.0,9625.335318834352,79.66831736014643
29,177558320.0,13325.101125319838,82.49341027217368
30,340530976.0,18453.48140595698,85.32156623132792
31,652941824.0,25552.726351604833,88.14874488103094
32,1252991360.0,35397.61799895581,90.97948076327542
33,2403867904.0,49029.25559296204,93.80910598879748
34,4607044096.0,67875.20973079935,96.63422369091799
35,8832024576.0,93978.851748678,99.46060268855044
36,16944119808.0,130169.58096268114,102.29019013571326
37,32493160448.0,180258.59327088957,105.11791955062228
38,62301913088.0,249603.5117701672,107.94501382627153
39,119536771072.0,345740.901647462,110.77501520490868
40,229219172352.0,478768.3911370925,113.60250940077414
41,439484022784.0,662935.9115208649,116.4294309114387
42,842542546944.0,917901.1640389176,119.25591841218677
43,1614646607872.0,1270687.4548337997,122.08077484533796
44,3095541317632.0,1759415.0498481023,124.90736605118373
45,5936202121216.0,2436432.2525397665,127.7350867977676
46,11387651751936.0,3374559.490057332,130.56434177431268
47,21832507850752.0,4672526.923491399,133.39103624998504
48,41879148167168.0,6471410.060193065,136.21997839433243
49,80330308452352.0,8962717.693442766,139.0487943457074
50,154088176091136.0,12413225.853545725,141.8776931454329
51,295654609911808.0,17194609.908683825,144.7078465500315
52,567241632382976.0,23816835.062261652,147.5376809814586
53,1089268332101632.0,33004065.387488738,150.37134877732038
54,2089797405376512.0,45714301.97844557,153.20104185636518
55,4006696338849792.0,63298470.27258867,156.02786429191073
56,7679940543643648.0,87635269.9752996,158.8535785783523
57,1.471561022308352e+16,121307914.92348519,161.6777827601925
58,2.819393485746995e+16,167910496.56727824,164.50155691963522
59,5.402003276981862e+16,232422100.433282,167.3255484330473
