t,mse_t,rmse_t,mse_db_t
0,1.3324438333511353,1.1543153093289265,1.2464891122222768
1,2.666170835494995,1.6328413381265785,4.2588797348585805
2,5.607829570770264,2.368085634171675,7.487948063853594
3,8.506162643432617,2.9165326405566967,9.297336824539514
4,8.818496704101562,2.9695953771686745,9.453945569279549
5,7.995260715484619,2.8275892055750638,9.028326301147985
6,14.441807746887207,3.8002378539885115,11.59621559255699
7,27.03955078125,5.199956805710024,14.319994722235606
8,31.00522804260254,5.568233835122457,14.914349299187286
9,23.959632873535156,4.894857799112775,13.794801592006056
10,27.000104904174805,5.196162517105754,14.313654515373479
11,57.012359619140625,7.5506529266773095,17.559690158921406
12,106.32098388671875,10.311206713412293,20.266189868830928
13,141.99386596679688,11.916117906717643,21.522695835780418
14,139.34957885742188,11.80464225876506,21.441056605256477
15,151.09677124023438,12.292142662702641,21.792551840774003
16,253.00318908691406,15.906073968359197,24.031259954608775
17,342.6604309082031,18.511089403603535,25.348639566901802
18,318.2486572265625,17.839525140164536,25.027665799287576
19,221.0932159423828,14.869203608209244,23.445754168257082
20,302.8706359863281,17.403178904623378,24.812571695121797
21,656.2125244140625,25.616645455915233,28.170445150351085
22,1053.2462158203125,32.45375503420694,30.225299074368547
23,1277.5682373046875,35.743086566561196,31.063841059053328
24,1503.0718994140625,38.76947122948754,31.769797555515996
25,2450.05517578125,49.4980320394786,33.89175864881883
26,2380.26318359375,48.78794096489162,33.766249792679744
27,2672.706298828125,51.698223362395396,34.269512371679305
28,4498.56591796875,67.07134945689367,36.530740886254435
29,7628.52490234375,87.34142718288814,38.82440568268627
30,11152.93359375,105.60745046515422,40.47389116353246
31,11764.3359375,108.46352353441225,40.70567417545285
32,12667.39453125,112.5495203510437,41.02687297041112
33,21891.015625,147.9561273655133,43.40265910955833
34,65528.03515625,255.98444319186663,48.164271459266615
35,73529.1953125,271.1626731548795,48.6645981317352
36,61969.16796875,248.93607205214354,47.92175665118431
37,93035.03125,305.0164442288317,49.686465078432455
38,171160.171875,413.71508538485756,52.334027139203705
39,288822.40625,537.422000154441,54.6063088187985
40,387495.75,622.4915662079286,55.88266943586406
41,662836.1875,814.1475219516424,58.21406210674499
42,1135359.875,1065.5326719533286,60.55133541664969
43,1596110.5,1263.3726686928128,62.03062954608092
44,2719433.25,1649.0704199639263,64.3447840328267
45,5005018.5,2237.189866774834,66.9940568709667
46,8535620.0,2921.5783405549814,69.31235072351673
47,12978341.0,3602.546460491523,71.13219180862399
48,21429356.0,4629.185241486886,73.31009119718969
49,40516912.0,6365.289624204071,76.0763633815752
50,73343664.0,8564.091545517247,78.65362602041739
51,127504608.0,11291.793834462263,81.05525880399856
52,213419312.0,14608.877848760321,83.29233715536226
53,337430720.0,18369.287411328725,85.28184618618113
54,645191744.0,25400.62487420339,88.09688801435178
55,1267307648.0,35599.264711507734,91.02882055775379
56,2182404096.0,46716.20806529571,93.38935168073768
57,3539991296.0,59497.825977089284,95.4900219419985
58,5328952832.0,72999.67693079196,97.26641876200233
59,9216914432.0,96004.76254853193,99.64585555605046
