t,mse_t,rmse_t,mse_db_t
0,1.114359974861145,1.0556324999075886,0.47025504879375485
1,2.736024856567383,1.6540933639209676,4.37120038596696
2,10.23133373260498,3.198645609098479,10.099322510098464
3,40.52933883666992,6.366265690078441,16.07769519065454
4,169.54981994628906,13.021129749230251,22.292973329146086
5,819.6603393554688,28.629710780157538,29.136339215258324
6,4804.81787109375,69.3167935719314,36.816769301777015
7,33473.84765625,182.95859546971278,45.24705635268933
8,276492.0,525.8250659677608,54.41682569976636
9,2475227.25,1573.2854953885515,63.936150775687246
10,22603806.0,4754.346011808564,73.54181571254995
11,230966400.0,15197.57875452534,83.63548805191051
12,1900420224.0,43593.80946877664,92.78849643471473
13,18272083968.0,135174.2725817306,102.61788082338262
14,179509690368.0,423685.83923468576,112.54087897815486
15,1745872093184.0,1321314.5322685284,122.4201242306991
16,18632182595584.0,4316501.198376296,132.70263731637937
17,174892930564096.0,13224709.09185136,142.42772254995808
18,1753229809418240.0,41871587.13755952,152.43838846168433
19,1.64398194753536e+16,128217859.42431577,162.15897044269224
20,1.5842998765590938e+17,398032646.4699967,171.99837388370054
21,1.4287899340885197e+18,1195320013.2552452,181.54968381924363
22,1.3478152182859563e+19,3671260298.9790254,191.29630355715977
23,1.2906056931523061e+20,11360482794.108295,201.10793576546075
24,1.3175586110222117e+21,36298190189.34982,211.19769943715593
25,1.2915496194867053e+22,113646364635.50893,221.11111095801877
26,1.262053901713192e+23,355253979810.66895,231.01077903811998
27,1.2508072785365417e+24,1118394956415.9084,240.97190399768735
28,1.2381562996895284e+25,3518744519980.853,250.92775471669603
29,1.2162874540058448e+26,11028542306242.674,260.85036227021624
30,1.2229364168865168e+27,34970507815679.727,270.87403877712353
31,1.1892572812726392e+28,109053073375886.08,280.75275819084453
32,1.1750985640245373e+29,342797106759164.06,290.7007429555814
33,1.1744613845597367e+30,1083725696179497.6,300.69838742060136
34,1.1833714247470332e+31,3440016605696887.0,310.7312107801813
35,1.1775726669821533e+32,1.0851602033719046e+16,320.7098771656154
36,1.1572983813600094e+33,3.40190884851433e+16,330.6344534570326
37,1.1541603426286754e+34,1.0743185480241302e+17,340.6226614771184
38,1.1405372333959531e+35,3.377184083516848e+17,350.5710946759991
39,1.1435066455058659e+36,1.0693487015496236e+18,360.58238692858936
40,inf,inf,inf
41,inf,inf,inf
42,inf,inf,inf
43,inf,inf,inf
44,inf,inf,inf
45,inf,inf,inf
46,inf,inf,inf
47,inf,inf,inf
48,inf,inf,inf
49,inf,inf,inf
50,inf,inf,inf
51,inf,inf,inf
52,inf,inf,inf
53,inf,inf,inf
54,inf,inf,inf
55,inf,inf,inf
56,inf,inf,inf
57,inf,inf,inf
58,inf,inf,inf
59,inf,inf,inf
60,inf,inf,inf
61,inf,inf,inf
62,inf,inf,inf
63,inf,inf,inf
64,inf,inf,inf
65,inf,inf,inf
66,inf,inf,inf
67,inf,inf,inf
68,inf,inf,inf
69,inf,inf,inf
70,inf,inf,inf
71,inf,inf,inf
72,inf,inf,inf
73,inf,inf,inf
74,inf,inf,inf
75,inf,inf,inf
76,inf,inf,inf
77,inf,inf,inf
78,inf,inf,inf
79,inf,inf,inf
