t,mse_t,rmse_t,mse_db_t
0,1.1730378866195679,1.0830687358702438,0.6931203912669693
1,1.8698984384536743,1.367442298034427,2.718180189338517
2,3.830456018447876,1.9571550828812407,5.832504801060421
3,7.086721420288086,2.6620896717218385,8.504453609385166
4,11.805245399475098,3.4358762200456376,10.720750193292039
5,18.14373207092285,4.2595459935212405,12.587266240195316
6,26.11895751953125,5.11067094612158,14.169558390444575
7,35.5407829284668,5.9616090888674345,15.507269906546417
8,46.09562683105469,6.789376026635636,16.63659725102648
9,57.58839797973633,7.588701995712859,17.603349972963997
10,69.72449493408203,8.35011945627618,18.433853770343855
11,82.47159576416016,9.08138732596293,19.163043979202826
12,95.83550262451172,9.789560900495575,19.815264249201682
13,109.9381103515625,10.485137593353866,20.411482679131208
14,125.47299194335938,11.20147275778321,20.985502540062427
15,142.46022033691406,11.935670083280371,21.536936117131127
16,161.64617919921875,12.714015069961917,22.085654437307085
17,184.24342346191406,13.573629708442546,22.65391994739094
18,210.31764221191406,14.502332302492384,23.228757044215524
19,241.3502197265625,15.535450419172355,23.826476985389668
20,278.0072937011719,16.67355072266168,24.440561900641878
21,323.5226745605469,17.986736073021888,25.099047242363454
22,379.6321105957031,19.484150240534053,25.793629394368423
23,450.4425354003906,21.223631531865387,26.536393943154213
24,540.9696655273438,23.25875459966298,27.331729130484494
25,657.5472412109375,25.6426839705,28.17926959991009
26,809.0335083007812,28.443514345115325,29.07966509459934
27,1012.0903930664062,31.813368150298174,30.052193024808517
28,1292.1480712890625,35.946461178940304,31.11312283673836
29,1658.7767333984375,40.728082859354394,32.19787935163444
30,2140.925048828125,46.27013128172563,33.30601463441036
31,2856.533203125,53.44654528709035,34.558392764799436
32,3861.7353515625,62.142862434574894,35.867825078446515
33,5282.17724609375,72.67858863581316,37.22812970083503
34,7345.484375,85.70580129139451,38.66020439262246
35,10348.8427734375,101.72926212962277,40.14891788903188
36,14674.5751953125,121.13866102657937,41.66565537994474
37,20568.58203125,143.417509500235,43.132043530836455
38,29311.275390625,171.20536028590053,44.67034715847511
39,42652.55859375,206.5249587670943,46.29945088254261
40,62740.40625,250.48035102578405,47.9754732646823
41,92893.8125,304.78486264904956,49.67986787334873
42,138580.640625,372.26420809016815,51.41702564641057
43,208235.953125,456.32877744560443,53.185557150677596
44,318047.78125,563.9572512611218,55.02492370218343
45,501079.125,707.8694265187613,56.99906310373389
46,818771.8125,904.8601065910685,59.13162882981155
47,1289584.625,1135.598795790133,61.10449846640401
48,2032743.625,1425.7431833959438,63.08082607723679
49,3231939.0,1797.759438857157,65.09463155254343
50,5124559.5,2263.7489922692403,67.09656539983153
51,8385742.5,2895.8146522179213,69.23541522443168
52,13660433.0,3696.002299782834,71.35464465562958
53,22519442.0,4745.465414477278,73.52557625108116
54,37050252.0,6086.891817668522,75.68791166211089
55,61340752.0,7832.0337077926315,77.87749095863103
56,99763576.0,9988.171804689786,79.98972007924705
57,164079856.0,12809.36594839885,82.15055266214327
58,274394464.0,16564.856292766322,84.3837534508681
59,454649856.0,21322.519926125053,86.57677057870427
60,760336128.0,27574.193152293687,88.8100562683855
61,1248469632.0,35333.68975920856,90.96377982958711
62,2114182656.0,45980.24201763188,93.25142505708428
63,3551681536.0,59595.98590509263,95.50434017534941
64,6040718848.0,77722.06152695643,97.81088622916415
65,10294837248.0,101463.47740936144,100.12619485208133
66,17289377792.0,131489.07860350987,102.37779364218788
67,29386672128.0,171425.41272518496,104.6815040749903
68,49188978688.0,221785.88478079482,106.91867805385706
69,83066093568.0,288211.89005313435,109.19423786945876
70,142161100800.0,377042.5716016694,111.52780777694788
71,241549705216.0,491477.06479143054,113.83006511815738
72,412728819712.0,642439.740140661,116.15664795518788
73,709181898752.0,842129.3836175057,118.50757642083353
74,1209188483072.0,1099631.0668001336,120.82494002083271
75,2044007940096.0,1429688.0569187112,123.10482578514133
76,3443750862848.0,1855734.5884710993,125.37031725010402
77,5805976322048.0,2409559.3626320977,127.63875260358063
78,9925117870080.0,3150415.507529126,129.96735673119923
79,16857986760704.0,4105847.873546218,132.26805708430882
