t,mse_t,rmse_t,mse_db_t
0,1.2377128601074219,1.112525442453979,0.9261990337968575
1,2.2910985946655273,1.513637537412946,3.6004377893092343
2,5.5747246742248535,2.3610854864288275,7.462234232148065
3,12.558269500732422,3.543764876615324,10.98929798791217
4,26.431013107299805,5.141110104568837,14.22113810066155
5,53.21682357788086,7.294986194495563,17.26048948686475
6,103.80059814453125,10.188257856205409,20.161998561147595
7,197.09303283691406,14.038982614025635,22.94671272407487
8,365.5957946777344,19.120559476064876,25.630011915509666
9,664.916259765625,25.78597021183467,28.22766953255416
10,1187.6343994140625,34.462071896710775,30.74682768293616
11,2093.630126953125,45.75620315272155,33.20899959094645
12,3652.200439453125,60.43343809062269,35.625546043933895
13,6321.990234375,79.51094411698934,38.00853820646186
14,10899.890625,104.40254127654173,40.374221400326164
15,18737.41015625,136.8846600472456,42.727095634686954
16,32168.439453125,179.35562286453413,45.07429993033291
17,55222.06640625,234.99375822827722,47.421126538794965
18,94806.5078125,307.9066543816486,49.768381496803926
19,162719.578125,403.3851486172985,52.11439809606311
20,279481.40625,528.6600100726364,54.46352919801565
21,480787.125,693.3881488747843,56.819528291770425
22,827978.25,909.9331019366203,59.18018928537239
23,1427012.0,1194.576075434294,61.54427625190239
24,2463674.5,1569.609664853017,63.91583328414523
25,4258821.5,2063.691231749556,66.29289437869106
26,7366070.5,2714.050570641601,68.67235871132314
27,12753835.0,3571.25118130887,71.05640794096034
28,22105330.0,4701.630568217796,73.44497002666876
29,38352524.0,6192.941465894862,75.8379395037632
30,66703780.0,8167.238211292725,78.24150445410197
31,116153112.0,10777.435316437766,80.65030850006443
32,202329520.0,14224.258152887975,83.0605925122266
33,353178784.0,18793.051481864248,85.479946069427
34,617815104.0,24855.886707176633,87.90858521485133
35,1080382720.0,32869.1758339025,90.33577629320797
36,1888733184.0,43459.558028125415,92.76170610700612
37,3299333888.0,57439.82841199998,95.18426267766786
38,5769066496.0,75954.37114478665,97.61105544796145
39,10142696448.0,100710.95495525797,100.06153428055552
40,17753321472.0,133241.59062394896,102.49279617222913
41,31128270848.0,176432.05731385667,104.93154996621185
42,54589796352.0,233644.59409967097,107.37111474167335
43,95751397376.0,309437.22687485424,109.81145120690348
44,168200323072.0,410122.32696111535,112.25826825636994
45,296964915200.0,544944.8735422695,114.72705142801738
46,524888571904.0,724491.9405376433,117.20067117227921
47,919702929408.0,959011.4334083822,119.63647569787773
48,1622181150720.0,1273648.7548456993,122.10099350716808
49,2846492459008.0,1687155.1378009077,124.54310037606356
50,5025117503488.0,2241677.386130306,127.0114622141985
51,8944817799168.0,2990788.825572277,129.5157149866283
52,15846902595584.0,3980816.825173447,131.9994438850322
53,28320051757056.0,5321658.741131002,134.5209404272477
54,50270461493248.0,7090166.534944578,137.01312872159667
55,89156499800064.0,9442271.961771913,139.5015301015189
56,159357933191168.0,12623705.208502296,142.02373688489942
57,284669794844672.0,16872160.349068284,144.54341388368576
58,511831957307392.0,22623703.43925574,147.09127398489363
59,913486326530048.0,30223936.317595165,149.6070205102409
60,1643810551496704.0,40543933.59673805,152.15851763824125
61,2948177757995008.0,54297124.76729323,154.6955366541122
62,5410221589528576.0,73554208.50997294,157.33215053117422
63,9839569285414912.0,99194603.10629259,159.92976088160853
64,1.7792176901586944e+16,133387319.118374,162.50229087966324
65,3.200491732126925e+16,178899182.00279522,165.05216709614518
66,5.978046008708301e+16,244500429.62555915,167.76559253167505
67,1.1219107412180992e+17,334949360.53351396,170.4995830599461
68,2.0524892793339904e+17,453044068.42314917,173.12280897368456
69,3.770734239369134e+17,614063045.571799,175.76425924491875
70,7.222732427351818e+17,849866602.906116,178.5870152632685
71,1.3829808437015347e+18,1176002059.3951077,181.40816164540016
72,2.6703225926063227e+18,1634112172.589851,184.265637301758
73,5.237880430434189e+18,2288641612.492919,187.19155580191668
74,1.028957505937893e+19,3207736750.3239617,190.12397439565387
75,1.960172606310685e+19,4427383658.901366,192.92294315574705
76,3.879387964682063e+19,6228473299.840069,195.88763214118023
77,7.456908970200085e+19,8635339582.32106,198.72558841497369
78,1.4835305773302546e+20,12180027000.50478,201.7129650207109
79,2.8822460591468918e+20,16977178973.98414,204.5973105405193
