t,mse_t,rmse_t,mse_db_t
0,1.038426399230957,1.0190320894019762,0.16375720379440975
1,1.700813889503479,1.304152556069833,2.306567938102698
2,3.2415056228637695,1.8004181799970165,5.107467792866287
3,3.53374981880188,1.8798270715153242,5.482357992285005
4,2.1809635162353516,1.4768085577471954,3.3864840064051025
5,1.552747368812561,1.246092841168972,1.911008019902634
6,3.0949087142944336,1.759235264054934,4.906478438366311
7,5.05100679397583,2.2474445029801804,7.033779526707793
8,4.512560844421387,2.124278899867291,6.5442307069616685
9,3.2240381240844727,1.795560671234607,5.084001686732579
10,4.585247039794922,2.141318995337902,6.6136273916187625
11,7.440208911895752,2.7276746345368523,8.71585130170843
12,9.260966300964355,3.043183579898583,9.666563038830176
13,9.718992233276367,3.117529828770908,9.876212350685268
14,11.396313667297363,3.375842660329027,10.567643940688164
15,16.203510284423828,4.0253584044683315,12.096091091112601
16,17.665597915649414,4.203046266179973,12.471283412938007
17,16.389751434326172,4.048425797063121,12.145723671446834
18,20.6876277923584,4.5483653978499134,13.157106938675723
19,28.323219299316406,5.321956341357604,14.521426149947189
20,30.620704650878906,5.5335978034980915,14.860151805643056
21,31.020387649536133,5.569594926880781,14.916472207181574
22,38.72618103027344,6.223036319215359,15.880046712888154
23,56.302494049072266,7.503498787170707,17.50527633355058
24,71.60480499267578,8.461962242451557,18.549421663272277
25,67.22998809814453,8.199389495452971,18.27563034370734
26,57.021366119384766,7.551249308517416,17.56037617936669
27,82.55379486083984,9.085911889339442,19.167370418537107
28,143.15733337402344,11.964837373488344,21.55813600085856
29,222.8070831298828,14.926723790902102,23.479289931234412
30,277.6883544921875,16.66398375215805,24.4355766698169
31,388.0641784667969,19.699344620235387,25.889035556176093
32,766.472412109375,27.685238162410215,28.844965277692772
33,1621.6922607421875,40.27024038594986,32.0996844411578
34,3627.568603515625,60.229300207752914,35.5961563443756
35,9576.50390625,97.85961325414075,39.81206990149607
36,26845.09375,163.84472451073913,44.2886492497039
37,79936.1953125,282.7298981581184,49.027434734949
38,239756.984375,489.64985895535597,53.79771267485414
39,748399.0625,865.100608310964,58.74133234798934
40,2339649.0,1529.5911218361591,63.69150708351555
41,7556688.5,2748.943160561891,68.78331520203832
42,24462906.0,4945.998989081983,73.88508046518749
43,81369936.0,9020.528587616138,79.10463974409554
44,272467232.0,16506.58147527828,84.3531427976024
45,930330944.0,30501.32692195538,89.68637466388516
46,3215003392.0,56700.99992063632,95.07181435464318
47,11227702272.0,105960.85254470161,100.50290887811542
48,39893086208.0,199732.53667842902,106.00897635489034
49,141819052032.0,376588.70406851027,111.51734578072453
50,515506733056.0,717987.9755650508,117.12234341995813
51,1856411009024.0,1362501.7464297065,122.68674135239449
52,6868333756416.0,2620750.6093514506,128.36851390893062
53,24948760379392.0,4994873.409746437,133.9704897185263
54,93537785872384.0,9671493.466491304,139.70987085534142
55,341596700672000.0,18482334.827396672,145.33513667383292
56,1293364842463232.0,35963381.966428466,151.11721051344563
57,4737531463598080.0,68829728.05117045,156.75552107286768
58,1.806938697577267e+16,134422419.9148813,162.56943418883276
59,6.627972915344179e+16,257448498.0601786,168.21380725042926
60,2.542135307927552e+17,504195925.0060984,174.05198662631204
61,9.327845020385935e+17,965807694.1289055,179.697813217899
62,3.593440669449847e+18,1895637272.6473403,185.5551047870626
63,1.3180778268011266e+19,3630534157.394923,191.19941054227937
64,5.096057394248758e+19,7138667518.696159,197.0723431058812
65,1.8677699569756458e+20,13666638053.945988,202.7132338550848
66,7.24349253179574e+20,26913737257.75694,208.59948016688847
67,2.652017261121108e+21,51497740349.66105,214.23576346424005
68,1.031276351331812e+22,101551777499.55005,220.13375058859106
69,3.771110765256896e+22,194193479943.50626,225.76469288712536
70,1.4700585051828139e+23,383413419846.36035,231.67334619083178
71,5.368463333763352e+23,732697982374.9586,237.29849991254267
72,2.0975233519285397e+24,1448282897754.6272,243.2170680456975
73,7.649230660539817e+24,2765724256056.597,248.8361775715569
74,2.9951056015278513e+25,5472755797153.616,254.7641213936383
75,1.0906995300415802e+26,10443656112882.979,260.3770512600764
76,4.279535789310581e+26,20687038911624.305,266.31396662687314
77,1.5562026002328067e+27,39448733822935.39,271.9206613663526
78,6.118200026101393e+27,78218923708405.7,277.86623671539144
79,2.221618422400093e+28,149050945062421.28,283.4666946807166
