t,mse_t,rmse_t,mse_db_t
0,0.002249771496281028,0.047431756200682976,-26.478615898636363
1,0.0007823673076927662,0.027970829585351346,-31.065893054408946
2,0.0008571737562306225,0.02927752988608538,-30.669311340589303
3,0.0007927693077363074,0.028156159321475423,-31.00853172017714
4,0.0006710928864777088,0.02590546055328314,-31.732173646404974
5,0.0006496995338238776,0.025489204260311416,-31.87287444851978
6,0.0005515420343726873,0.02348493207085529,-32.58421383313636
7,0.0005176014383323491,0.022750855771428668,-32.86004525502157
8,0.0006212291773408651,0.024924469449536236,-32.06748154906524
9,0.0005367061239667237,0.02316691874131568,-32.70263449263399
10,0.0005727818352170289,0.023932860991052216,-32.42010763378446
11,0.0006236080662347376,0.02497214580757404,-32.050882759421754
12,0.0007908553816378117,0.02812215108482656,-31.01902925729721
13,0.000588771712500602,0.02426461853194074,-32.30053063820029
14,0.0005684235948137939,0.023841635741152365,-32.45327903149996
15,0.0006445501931011677,0.025387993089276823,-31.907432571498596
16,0.0007639513351023197,0.027639669591048292,-31.169343057825216
17,0.0007912723231129348,0.028129563151832536,-31.016740246295495
18,0.0005955731030553579,0.024404366475189596,-32.250649238453214
19,0.0006470654043368995,0.02543748030636878,-31.890518193204702
20,0.0007035241578705609,0.026524029819591156,-31.52720985009983
21,0.0006071735988371074,0.024640892817369815,-32.166871207236376
22,0.0005814589094370604,0.02411345909315087,-32.35480970592073
23,0.0006671196897514164,0.025828660239188103,-31.75796241142954
24,0.0006060595042072237,0.024618275817108386,-32.174847337872166
25,0.000727981561794877,0.026981133441626892,-31.378796202915616
26,0.0007013920694589615,0.026483807684299504,-31.540391489331064
27,0.0005558796692639589,0.023577100527078364,-32.550192095519044
28,0.0006727678119204938,0.025937768059732778,-31.72134795212102
29,0.0006565161165781319,0.0256225704522035,-31.827546081045295
30,0.0007370215025730431,0.02714813994683693,-31.325198414318663
31,0.0007201089174486697,0.02683484521007471,-31.4260181097221
32,0.0007873062859289348,0.028058978704310227,-31.03856281095321
33,0.0005562207079492509,0.02358433183173208,-32.54752846502641
34,0.0006339115207083523,0.025177599581936962,-31.9797135528813
35,0.0005837673088535666,0.02416127705344994,-32.33760229289817
36,0.0005436062347143888,0.02331536477763942,-32.647155709120824
37,0.0007353150867857039,0.027116693876387363,-31.335265233243778
38,0.000669466273393482,0.02587404632819308,-31.74271297140472
39,0.0006278192158788443,0.025056320876753718,-32.02165395831849
40,0.0036950241774320602,0.06078671053307672,-24.323827155665903
41,0.004818899091333151,0.06941829075490948,-23.170521678129287
42,0.005013362970203161,0.07080510553768818,-22.998708510921674
43,0.004161093849688768,0.0645065411387773,-23.807924889793853
44,0.00422576442360878,0.0650058799156567,-23.74094717501045
45,0.004616759717464447,0.06794674177224723,-23.35662728025167
46,0.004478930030018091,0.06692480877834535,-23.488257220639966
47,0.004591562319546938,0.06776106787490098,-23.380395167914628
48,0.004364110995084047,0.06606141835507354,-23.601042122680433
49,0.004220366943627596,0.06496435132922976,-23.74649787269484
50,0.004767284262925386,0.06904552312007917,-23.217289512533252
51,0.004003542009741068,0.06327354905283145,-23.975556100185543
52,0.003912108484655619,0.06254685031762686,-24.07589110521949
53,0.00471798749640584,0.06868760802652717,-23.262432144146334
54,0.0036421932745724916,0.0603505863647777,-24.38637011903762
55,0.00434046471491456,0.06588220332468063,-23.62463769953273
56,0.003777135396376252,0.06145840378968732,-24.22837447037673
57,0.003999623004347086,0.06324257272081114,-23.979809423839875
58,0.004054559860378504,0.06367542587512473,-23.9205628339699
59,0.0047552818432450294,0.06895855163244824,-23.228237375407367
60,0.004286698531359434,0.06547288393953206,-23.678770578401366
61,0.004035125952214003,0.06352264125659451,-23.94142904684709
62,0.004558228421956301,0.06751465338692261,-23.412039152439476
63,0.004226188641041517,0.06500914274962805,-23.740511215915767
64,0.005049200728535652,0.07105772814082682,-22.967773637940034
65,0.005267670378088951,0.07257871849301936,-22.783814086259433
66,0.004780957009643316,0.06914446477949855,-23.204851614618395
67,0.004949880763888359,0.07035538901810123,-23.054052625227996
68,0.003932734485715628,0.06271151796692237,-24.05305373519326
69,0.003811242990195751,0.06173526536912068,-24.189333613991714
70,0.004187142010778189,0.06470812940255798,-23.780823093615872
71,0.0043828594498336315,0.0662031679743019,-23.58242456140564
72,0.004555081482976675,0.0674913437633055,-23.415038498017132
73,0.004914704244583845,0.07010495164097787,-23.085026118725192
74,0.003601161064580083,0.06000967475815948,-24.43557454053856
75,0.004885619506239891,0.06989720671271414,-23.110803590520966
76,0.004440188407897949,0.06663473874712761,-23.52598601332588
77,0.004155921284109354,0.0644664353296299,-23.81332686860937
78,0.003696768544614315,0.06080105710112543,-24.321777398362862
79,0.004187990445643663,0.06471468493042104,-23.779943177785267
