t,mse_t,rmse_t,mse_db_t
0,0.9950876832008362,0.997540817811901,-0.02138649251776804
1,1.0306012630462646,1.015185334333719,0.13090670371986857
2,1.404057502746582,1.184929323945771,1.4738489455599766
3,2.169288396835327,1.4728504326085956,3.363172932904334
4,3.5272433757781982,1.878095678014887,5.4743542652627575
5,5.843191146850586,2.4172693575293973,7.6665009350941515
6,9.598889350891113,3.098207441552472,9.822209854683633
7,15.428298950195312,3.927887339295173,11.883180454884243
8,24.021224975585938,4.901145271830446,13.805951507176943
9,36.719722747802734,6.059680086258905,15.648993934019188
10,58.57133865356445,7.653191403170605,17.676851499834413
11,96.76311492919922,9.836824433179602,19.857098404131612
12,141.23533630371094,11.884247401653624,21.499433683996717
13,191.33872985839844,13.832524348736872,22.818028867097027
14,267.6774597167969,16.360851436181335,24.276118021441246
15,410.5987243652344,20.263235782205033,26.134175957846942
16,618.2399291992188,24.86443100493592,27.911570506640185
17,856.7931518554688,29.27102922439641,29.328759866248415
18,1184.5535888671875,34.41734430294103,30.73554712861961
19,1778.5919189453125,42.17335555709686,32.50076314761703
20,2724.701904296875,52.1986772274631,34.35318995273014
21,4156.21533203125,64.46871591734435,36.1869804010996
22,5860.56787109375,76.55434586680073,37.67939699863405
23,7947.82958984375,89.15060061403821,39.00248546789071
24,10415.076171875,102.0542805171591,40.17662450558754
25,13915.6171875,117.96447426026194,41.43502472989958
26,17086.921875,130.7169532807432,42.326638337502864
27,20670.39453125,143.77202276955694,43.15348765989147
28,24656.9140625,157.02520199795956,43.919387215098745
29,28858.833984375,169.87888033647678,44.602787798280985
30,34882.30078125,186.76804004232093,45.4260512258068
31,43230.80078125,207.9201788698009,46.35793280216906
32,55577.05859375,235.74787081488137,47.44895558088945
33,69951.421875,264.48331114646913,48.4479654665044
34,87035.265625,295.017398851322,49.39695259090559
35,105390.625,324.6392228305138,50.228019800240354
36,126386.8046875,355.509218850229,51.01701734147732
37,153952.515625,392.3678320466651,51.87386789784394
38,185981.703125,431.25596010374164,52.69470220439901
39,229141.125,478.68687573402303,53.601030409909356
40,282688.25,531.6843518479737,54.51307757317912
41,357290.40625,597.7377403594322,55.530213549412494
42,449048.625,670.1109050000604,56.52293370904857
43,573172.6875,757.0816914309842,57.582854874638876
44,726212.75,852.1811720520467,58.61063869481907
45,934144.4375,966.5114782039581,59.70414032075322
46,1206991.25,1098.6315351381463,60.817041217208036
47,1562045.375,1249.8181367703062,61.93693645306901
48,2040750.375,1428.548345349222,63.09789884975655
49,2656274.75,1629.8081942363647,64.24272993978236
50,3467815.25,1862.2070910615714,65.4005595211363
51,4579957.5,2140.083526407322,66.60861447959957
52,6101835.5,2470.189365210692,67.85460495275372
53,8111791.5,2848.120696178447,69.09116779321215
54,11041942.0,3322.9417689751954,70.4304546159183
55,14917807.0,3862.3576996440916,71.73704984142013
56,20300334.0,4505.589195654659,73.07503183389255
57,27831914.0,5275.596080065266,74.44543073781242
58,38650676.0,6216.966784534078,75.87157094127626
59,52984416.0,7279.03949707652,77.241481518568
60,73656712.0,8582.348862636614,78.6721232825596
61,102534088.0,10125.911712038576,80.10868272895715
62,143674320.0,11986.422318607,81.57379150326726
63,200402000.0,14156.341335246194,83.01902051449846
64,284208224.0,16858.476324982636,84.53636640748886
65,397913088.0,19947.75897187451,85.99788224023743
66,563978880.0,23748.239513698696,87.51262840736536
67,800534208.0,28293.713223965497,89.03379894691567
68,1135382656.0,33695.439691447864,90.55142255697896
69,1614309888.0,40178.47543150437,92.07986906922686
70,2316339968.0,48128.36967943128,93.64802300906398
71,3283190016.0,57299.127532624785,95.16296018432114
72,4719690752.0,68700.00547307111,96.7391354331632
73,6744524800.0,82125.05585995056,98.28951355934093
74,9691735040.0,98446.61009907858,99.8640153255597
75,13909885952.0,117940.17954878652,101.43323569199802
76,20050995200.0,141601.53671482523,103.02135933023143
77,28745893888.0,169546.14088206194,104.58575818099051
78,41613836288.0,203994.69671538033,106.19237754291169
79,59926462464.0,244798.8203893148,107.77618641492425
80,86494175232.0,294098.9208276698,109.3698686180266
81,124803653632.0,353275.6057697729,110.96227299521006
82,181195227136.0,425670.32682112104,112.5814675373926
83,261256298496.0,511132.3688595744,114.17066769431392
84,378436288512.0,615171.7552944055,115.7799277451855
85,548665851904.0,740719.8201101412,117.39307931234609
86,794349862912.0,891263.0716640289,119.00011824928654
87,1152029818880.0,1073326.5201605707,120.61463720413096
88,1675520507904.0,1294418.9846815444,122.2414974784723
89,2424501698560.0,1557081.1470697345,123.84622492710143
90,3528888418304.0,1878533.5818941325,125.47637926401632
91,5127710179328.0,2264444.783899135,127.0992347066919
92,7445440626688.0,2728633.4723974927,128.71890404717692
93,10829143474176.0,3290766.3961721743,130.34594107673377
94,15762286706688.0,3970174.644356089,131.97619222801745
95,22899882721280.0,4785382.191766923,133.59833258163846
96,33382002065408.0,5777715.990372666,135.2351237967352
97,48562050170880.0,6968647.657248858,136.86297013304127
98,70713390137344.0,8409125.408587031,138.49501658664548
99,102885966741504.0,10143271.993863912,140.12356142669654
100,150134558031872.0,12252940.791168135,141.76480669825546
101,218550333603840.0,14783447.960602425,143.39551473750385
102,318528565542912.0,17847368.588755935,145.03148385812236
103,464606443077632.0,21554731.338563047,146.67085228222848
