t,mse_t,rmse_t,mse_db_t
0,0.983589231967926,0.9917606727270073,-0.07186234429567928
1,0.962320864200592,0.9809795432120856,-0.1668009811011687
2,1.3108105659484863,1.1449063568469198,1.1753993340810263
3,2.2867302894592285,1.5121938663608012,3.592149443588148
4,4.239325523376465,2.05896224428144,6.272967658435724
5,7.875695705413818,2.8063669940714844,8.962889278809312
6,14.003458976745605,3.7421195834373875,11.462353234616891
7,23.87371063232422,4.886073130063059,13.779199255798584
8,39.119869232177734,6.254587854701358,15.923973943814499
9,62.029144287109375,7.875858320660002,17.92595789967967
10,91.79351806640625,9.580893385608999,19.628120148898972
11,130.6774139404297,11.431422218623092,21.16200531355021
12,171.0009307861328,13.07673242007088,22.329984743347335
13,216.47462463378906,14.713076654248392,23.354069952510173
14,262.0267639160156,16.18724077525307,24.183456532563877
15,306.8626708984375,17.517496136675398,24.86944060771844
16,351.3203125,18.743540554014867,25.457032603859243
17,400.3703308105469,20.009256128365863,26.024618868825215
18,481.5939025878906,21.945247836100886,26.826809797256892
19,584.7122192382812,24.18082337800517,27.669421697605067
20,721.2139282226562,26.855426420421185,28.580641053102546
21,910.9216918945312,30.181479286054408,29.594810441081822
22,1181.714599609375,34.37607597747851,30.725126010958874
23,1573.8780517578125,39.672131928569364,31.96971079039308
24,2102.48828125,45.85289828625885,33.227335838266
25,2780.4287109375,52.72977063232401,34.441117644215986
26,3655.111572265625,60.45751874056381,35.6290063833348
27,4583.5947265625,67.70225052804744,36.612062110975316
28,5560.67431640625,74.56992903581343,37.45127459592345
29,6434.81689453125,80.21731044189434,38.08536193380874
30,7545.31787109375,86.8637891822234,38.77677540566749
31,8793.107421875,93.77157043515375,39.44142378792418
32,10718.7255859375,103.53127829761159,40.3014315253059
33,12433.4443359375,111.5053556379132,40.94591454376151
34,14539.62890625,120.58038358808616,41.6255332220221
35,17113.392578125,130.8181660860792,42.33336113100855
36,19066.30078125,138.08077629145194,42.80266439971501
37,22925.166015625,151.41058752816792,43.603124893544376
38,28260.671875,168.10910705550725,44.51182482641218
39,35222.984375,187.67787396227612,45.468261501174865
40,46608.78515625,215.8906787155249,46.684677833270754
41,63530.29296875,252.05216318998336,48.02980858080707
42,87865.3984375,296.4209817767629,49.43817882739823
43,121871.0234375,349.1003056966579,50.859004582259715
44,166516.40625,408.06421829168016,52.21457029390837
45,215306.9375,464.01178594945196,53.330580236434
46,279824.9375,528.9848178350679,54.468864154311596
47,356897.375,597.4088842660444,55.52543353707391
48,468780.25,684.675288001546,56.70969306302059
49,623032.625,789.3241571116394,57.94510789013088
50,908738.5,953.2777664458561,59.58438927946166
51,1177242.625,1085.0081220894156,60.70865978425155
52,1707663.625,1306.7760424035941,62.32402327598085
53,2280935.0,1510.2764647573636,63.5811290932595
54,2843209.25,1686.1818555541392,64.5380882338238
55,3434824.0,1853.327817737596,65.35904488764692
56,4175307.75,2043.3569805591974,66.20688491604304
57,4995300.0,2235.016778460511,66.98561575531403
58,5352099.5,2313.460503228875,67.28524178731976
59,6021425.5,2453.8593072953468,67.79699317420199
