t,mse_t,rmse_t,mse_db_t
0,1.0086145401000977,1.004298033504048,0.0372522461998408
1,1.034459114074707,1.017083631799621,0.14713330301277913
2,1.570696234703064,1.2532742057120079,1.960922026414162
3,2.9487533569335938,1.717193453555421,4.696384483054895
4,6.17534875869751,2.4850249010216197,7.906614898184609
5,12.44980525970459,3.528428157084198,10.951625582351962
6,24.860137939453125,4.985994177639313,13.955035340472644
7,48.15046310424805,6.93905347322299,16.826004684626774
8,93.02559661865234,9.644977792543244,19.686024640454406
9,179.92112731933594,13.413468131670346,22.55082163564932
10,350.3191223144531,18.716813893247245,25.444638441089737
11,689.2280883789062,26.253153874894846,28.383629681076705
12,1407.6337890625,37.518445984108936,31.48489683161213
13,3034.821044921875,55.089209877451275,34.82133087011165
14,6784.37890625,82.36734126005283,38.31510095188842
15,15456.5009765625,124.32417695911965,41.89111185665016
16,34845.359375,186.6691173574247,45.421449479425746
17,76007.9140625,275.6953283291177,48.80858814053585
18,159199.421875,398.9980223948485,52.01941486285109
19,320460.65625,566.0924449681341,55.05774717716389
20,618231.125,786.2767483526395,57.91150865941577
21,1162214.375,1078.0604690832513,60.65286242763888
22,2143818.25,1464.1783532070128,63.31187963684954
23,3906842.0,1976.5732974013386,65.91825847898536
24,6884260.5,2623.78743422557,68.37857295643323
25,11538801.0,3396.8810694517992,70.62160683504557
26,18608498.0,4313.756831347821,72.69711320114271
27,29256302.0,5408.909501923655,74.6621943038497
28,45320692.0,6732.064467902844,76.56296532468656
29,69478536.0,8335.37857568569,78.41850658741382
30,106053192.0,10298.213048874062,80.25523744489772
31,161920304.0,12724.790921661543,82.09301310533957
32,248918800.0,15777.16070780798,83.96057698649271
33,387751424.0,19691.404825456208,85.88553401415899
34,613537792.0,24769.69503243833,87.87841319062306
35,983974464.0,31368.367251101867,89.92983827813666
36,1612784768.0,40159.49163024851,92.07576413075955
37,2660993536.0,51584.81885206151,94.25043819578468
38,4474478592.0,66891.54350140232,96.50742434554628
39,7490863104.0,86549.7724087129,98.74531860384232
40,12543066112.0,111995.83077954286,100.98403711355712
41,20840943616.0,144363.9276827837,103.18917378636328
42,34064979968.0,184567.00671571828,105.32308137887492
43,55209963520.0,234968.00531136148,107.42017460180023
44,88210300928.0,297002.1901064031,109.45519303668894
45,141656539136.0,376372.87247621873,111.51236627180722
46,229334269952.0,478888.57780490024,113.6046895721129
47,375589732352.0,612853.7609838092,115.74713711272936
48,631209656320.0,794487.0397432547,118.00173634140549
49,1085271900160.0,1041763.8408775763,120.35538558410921
50,1950731075584.0,1396685.7468965594,122.90197402434012
51,3599777136640.0,1897307.865540013,125.56275614288536
52,6998024781824.0,2645378.003579829,128.4497547609921
53,14217934536704.0,3770667.6513190605,131.52836510285124
54,30792197603328.0,5549071.778534496,134.8844068510133
55,71018911629312.0,8427271.897198524,138.51374012417782
56,173514615160832.0,13172494.64455507,142.39336061353853
57,438545789485056.0,20941484.892076205,146.4201494566666
58,1112813611253760.0,33358861.060500253,150.46422429040288
59,2747599295610880.0,52417547.592489295,154.38953396366375
