t,mse_t,rmse_t,mse_db_t
0,0.7837010025978088,0.8852688871737269,-1.0584959763374
1,0.8746950626373291,0.9352513366134951,-0.5814332491559475
2,1.3472752571105957,1.16072186897232,1.2945633397965537
3,2.37129807472229,1.5399019691922893,3.749861486937527
4,4.345067024230957,2.0844824355774643,6.379964799858716
5,8.03752613067627,2.8350531089692605,9.051223978626131
6,14.83191204071045,3.851222148969136,11.711971412645969
7,27.208459854125977,5.216172912598467,14.347039590607176
8,49.4771614074707,7.034000384380904,16.944047754268748
9,88.85262298583984,9.426166929661274,19.486702529793845
10,157.02235412597656,12.530856081129356,21.95961484144766
11,271.8665466308594,16.48837610654425,24.343557706347223
12,458.0566711425781,21.402258552371947,26.60919212593249
13,746.4191284179688,27.320672180932313,28.729827605079027
14,1171.3463134765625,34.224937012017456,30.68685315052031
15,1764.8099365234375,42.00964099493636,32.46697940339287
16,2564.967529296875,50.6455084809786,34.090818716168606
17,3623.329833984375,60.19410132217587,35.591078699327745
18,5022.98095703125,70.87299173190905,37.00961531678975
19,6893.1640625,83.02508092438092,38.38418615153191
20,9402.826171875,96.96817092157096,39.73258407469446
21,12754.7607421875,112.93697685960741,41.056723163897686
22,17215.240234375,131.20686046992742,42.359130875539336
23,23111.646484375,152.0251508283251,43.63830885920798
24,30959.912109375,175.95428982941849,44.90799719114614
25,41520.40234375,203.765557304835,46.182615532899156
26,56008.03515625,236.6601680812595,47.482503372506706
27,76344.046875,276.30426503222856,48.827751774744705
28,105366.59375,324.60220847985613,50.22702940575941
29,147279.1875,383.7697063344109,51.681413796157315
30,208179.296875,456.2666949000332,53.18437537374257
31,296817.03125,544.8091695722458,54.724888169765464
32,425131.625,652.021184471793,56.28523412782059
33,609249.75,780.5445214720298,57.84795359648075
34,871604.3125,933.597510975688,59.403193703699046
35,1241637.875,1114.2880574609062,60.93994951862422
36,1761968.375,1327.391568076278,62.45998109134912
37,2486471.5,1576.8549394284814,63.955834857023
38,3494853.25,1869.4526605399774,65.43428944301077
39,4887927.5,2210.8657806388883,66.89124755625772
40,6810717.5,2609.735139817832,68.33192866667049
41,9457410.0,3075.2902302059233,69.7577221708724
42,13099245.0,3619.2879133884885,71.17246264985306
43,18113556.0,4256.002349623412,72.58003718098513
44,25010082.0,5001.008098373767,73.98115115644502
45,34562776.0,5879.011481533269,75.3860861670804
46,47825024.0,6915.563896024676,76.79655196641099
47,66477364.0,8153.365194813734,78.22673790214213
48,92907672.0,9638.862588500782,79.68051578037695
49,130979168.0,11444.613055931599,81.17202227395603
50,186263856.0,13647.851699077039,82.70128589396248
51,267795312.0,16364.4526947894,84.27802970023444
52,389428192.0,19733.935035871582,85.90427388341807
53,573138752.0,23940.31645571963,87.58259773683343
54,852260096.0,29193.49406974095,89.30572154648502
55,1277432960.0,35741.19416024037,91.06338117522182
56,1926556032.0,43892.55098533235,92.84781644563417
57,2914569472.0,53986.75274546525,94.64574411670101
58,4404118016.0,66363.52926118381,96.43858948131425
59,6630524928.0,81428.0352704153,98.21547912161849
