t,mse_t,rmse_t,mse_db_t
0,0.7607249617576599,0.8721954836833655,-1.1877233295524907
1,0.7460058331489563,0.8637162920478901,-1.272577766902003
2,0.9577848315238953,0.9786648208267708,-0.18732045177765683
3,1.4040699005126953,1.1849345553711796,1.4738872934027754
4,2.170531988143921,1.4732725437419651,3.3656619062255198
5,3.435981035232544,1.8536399421766203,5.360507580938418
6,5.514772891998291,2.3483553589689725,7.41527632137438
7,8.835297584533691,2.97242284753258,9.46221181702928
8,14.012982368469238,3.743391826735379,11.46530575566188
9,21.88105010986328,4.677718472702614,13.400681607132832
10,33.66281509399414,5.8019664850802215,15.271504315645348
11,51.744571685791016,7.193369981155635,17.138647964369767
12,84.21826934814453,9.177051233819311,19.254063125975026
13,147.7991485595703,12.1572673146382,21.69671932185022
14,253.254638671875,15.913976205583412,24.03557408745641
15,398.4017028808594,19.96000257717567,26.003211860523137
16,560.3279418945312,23.67124715545278,27.484422799868177
17,720.0912475585938,26.834515973995018,28.573875322650114
18,953.9609375,30.8862580689212,29.795305917108816
19,1344.4278564453125,36.66644046598078,31.285375024400683
20,1962.2947998046875,44.29779678273726,32.92764252947525
21,2997.787353515625,54.75205341825661,34.76800823151979
22,4837.01025390625,69.54861791514084,36.845770080438584
23,7688.17138671875,87.6822181899999,38.858230561740925
24,11442.7783203125,106.97092277956894,40.58531484481983
25,16043.5693359375,126.66321224387727,42.05300995522511
26,20413.728515625,142.87661990551499,43.099223347442184
27,24252.140625,155.7309880049568,43.84750077808206
28,27212.603515625,164.96243061868662,44.34770094090648
29,30724.318359375,175.2835370460529,44.87482256536656
30,36333.2265625,190.61276600086364,45.603039669810016
31,44325.703125,210.53670256038495,46.46655633407431
32,55231.8125,235.01449423386634,47.42189295366217
33,68044.7890625,260.85396117847245,48.327948721101976
34,83086.3828125,288.24708639030507,49.19529852256054
35,102686.34375,320.4470997684329,50.11512690643319
36,127859.0234375,357.5738013858118,51.06731383053229
37,159953.828125,399.94228099189513,52.039946383786685
38,200979.234375,448.3070759814081,53.0315118745912
39,255034.875,505.0097771330769,54.065995725297604
40,324844.90625,569.9516701001937,55.11676061174156
41,417403.71875,646.0678902019508,56.20556313980538
42,536454.9375,732.4308414451156,57.295332468666864
43,695754.5625,834.1190337715595,58.424560629573236
44,894218.0,945.6310062598413,59.51443407672468
45,1183271.875,1087.7830091521012,60.730845419623236
46,1564113.375,1250.645183495303,61.942682297675155
47,2057541.875,1434.4134254112375,63.13348682716078
48,2753746.5,1659.4416229563485,64.3992395817275
49,3700250.25,1923.603454457285,65.6823109663967
50,4872009.5,2207.262897798991,66.87708126462577
51,6599150.5,2568.881176699304,68.19488032980126
52,8924358.0,2987.366398686308,69.50576983654157
53,11980261.0,3461.251363307785,70.78466279624665
54,16332707.0,4041.3743949305167,72.13058171125623
55,22459402.0,4739.135153168772,73.5139818863258
56,29984906.0,5475.847514312282,74.76902691701552
57,41485244.0,6440.903973822308,76.17893648785363
58,56789036.0,7535.850051586748,77.54264496550445
59,77233352.0,8788.250792962159,78.87804884035734
