t,mse_t,rmse_t,mse_db_t
0,0.0009662550291977823,0.03108464298005982,-30.149082326367118
1,0.017705580219626427,0.13306231705342586,-17.51889836652091
2,0.060911912471055984,0.2468033882892534,-12.152977645999192
3,0.13888898491859436,0.37267812508731224,-8.573321961541398
4,0.2856281101703644,0.5344418679055416,-5.4419905357960445
5,0.5618407726287842,0.7495603862456874,-2.503867473609089
6,1.0639790296554565,1.0314935916696024,0.26933068377574665
7,1.9513787031173706,1.3969175720554776,2.9034156089320757
8,3.4630117416381836,1.8609169088484805,5.394539640646288
9,5.959701061248779,2.4412498973371775,7.7522447606471605
10,9.91378402709961,3.148616208288906,9.962394535180378
11,15.884615898132324,3.9855508901696792,12.0097671772543
12,24.31024932861328,4.930542498408596,13.857894130385498
13,35.200965881347656,5.933040188752108,15.46554580273142
14,47.797428131103516,6.913568407928247,16.794045288606632
15,60.55727005004883,7.781855180485488,17.82166288735692
16,71.68464660644531,8.466678605359087,18.554261485811615
17,79.87903594970703,8.937507255924722,19.024328147834296
18,84.64325714111328,9.200177016835779,19.275923670161962
19,86.15691375732422,9.282074862730004,19.352901336259293
20,84.97221374511719,9.218037412872503,19.292769328907603
21,81.62081146240234,9.034423692876173,19.118009081521723
22,76.69928741455078,8.757812935576483,18.847913290941428
23,70.76436614990234,8.412155856253635,18.498146209633934
24,64.3375015258789,8.021066109058005,18.084641915582964
25,57.7204704284668,7.5973989251892515,17.61329861985814
26,51.03758239746094,7.144059238098529,17.078900940769508
27,44.41718673706055,6.66462202507093,16.47551048060673
28,38.06425094604492,6.169623241823193,15.805172878742365
29,32.192832946777344,5.673872834914204,15.077591959778506
30,26.962095260620117,5.192503756437747,14.307536387819557
31,22.453401565551758,4.738502038150005,13.512821435239017
32,18.70359992980957,4.32476588150267,12.719252043537836
33,15.663429260253906,3.9577050496789052,11.948868500439598
34,13.218711853027344,3.635754646978718,11.211891357563273
35,11.261435508728027,3.355806238257511,10.515937540839515
36,9.746336936950684,3.1219123845730654,9.88841421136087
37,8.649072647094727,2.940930575021234,9.369695449399739
38,7.918991565704346,2.8140702844286505,8.986698804109128
39,7.470888614654541,2.73329263245898,8.73372261452441
40,7.209946155548096,2.6851342900399033,8.579320213857729
41,7.0668206214904785,2.658349228654971,8.492240676716543
42,6.980764389038086,2.642113621523133,8.439029801826685
43,6.9197845458984375,2.630548335594394,8.400925724937375
44,6.866292953491211,2.6203612257647246,8.367223288553193
45,6.81330680847168,2.6102311791241175,8.333579459959276
46,6.752624034881592,2.598581158032512,8.294725702263754
47,6.686344623565674,2.585796709636253,8.25188756979222
48,6.6196465492248535,2.5728673788644554,8.20834801249481
49,6.559082508087158,2.561070578505629,8.168430940186063
50,6.509388446807861,2.551350318323194,8.13540188775173
51,6.487428188323975,2.547043028361314,8.120725635212933
52,6.502905368804932,2.5500794828406685,8.131074341393973
53,6.575343608856201,2.5642432819169483,8.179184527558657
54,6.719821453094482,2.592261841152333,8.273577339219845
55,6.955259799957275,2.63728265454374,8.423133568414444
56,7.281980514526367,2.698514501448226,8.62249512493421
57,7.703958511352539,2.7756005676884667,8.86713935287406
58,8.209537506103516,2.865229049500845,9.143186913210423
59,8.777745246887207,2.962725982416735,9.433829723307113
