t,mse_t,rmse_t,mse_db_t
0,1.7831320762634277,1.3353396857217372,2.5118351247878845
1,3.881345272064209,1.9701130099728312,5.889822779068581
2,12.082579612731934,3.4760005196679606,10.821596654087875
3,33.15058135986328,5.757654154242271,15.204911490052485
4,82.696044921875,9.093736576450574,19.174847391815707
5,201.90322875976562,14.209265595370002,23.051432640716115
6,469.1179504394531,21.659130879133933,26.712820512111758
7,1118.623046875,33.445822562391854,30.48683762808722
8,2603.689453125,51.02636037505517,34.15589183875843
9,6208.06689453125,78.79128692013636,37.92956387981006
10,14530.728515625,120.54347147657977,41.6228738872228
11,35143.3984375,187.4657260341207,45.458437563422216
12,83607.015625,289.1487776647171,49.2224272145083
13,202749.46875,450.27710218264485,53.06959724933769
14,487399.53125,698.1400513149206,56.878851071719794
15,1180620.75,1086.5637349000747,60.72110411894923
