t,mse_t,rmse_t,mse_db_t
0,1.0366313394580358,1.0181509413923044,0.1562433430088016
1,1.5859144434653063,1.2593309507295158,2.0027975439826124
2,4.750073105304169,2.1794662432128122,6.767002936218942
3,14.208037134941033,3.769355002509187,11.525340835329844
4,27.15806452712897,5.211339993430574,14.338988158610666
5,75.60232303924015,8.694959634135177,18.785351403110354
6,137.80396700760755,11.738993440990056,21.392617199280313
7,376.65568238947077,19.407619183956356,25.759445237711944
8,698.3361625903094,26.42605083228119,28.44064532097979
9,1972.4205772941273,44.41194183205827,32.949995246635396
10,3751.234228254679,61.24732017202613,35.74174182482529
11,10407.333283349531,102.01633831573025,40.173394625853575
12,20200.562885241983,142.12868424509523,43.053634711569515
13,57250.50987286866,239.27078775493814,47.577793588544985
14,113076.41158761582,336.2683624541801,50.5337201796017
15,315506.3010143969,561.6994757113424,54.99008037014249
