t,mse_t,rmse_t,mse_db_t
0,2.512164681092421,1.5849809718392271,4.000481055052327
1,3.923984011308592,1.9809048466063663,5.937272291323254
2,6.174089218611837,2.484771462048741,7.9057290095930055
3,8.166776299224047,2.857757214884436,9.120506597463137
4,8.781694673510838,2.9633924265123643,9.43578333256347
5,7.651859919625002,2.7661995444336624,8.837670109252091
6,5.806339140705564,2.4096346488016733,7.639023988114511
7,5.543998991362441,2.3545698102546124,7.438231425911663
8,8.681869935060734,2.9465013040996153,9.386132752934518
9,14.996224275339998,3.8724958715717177,11.759819268691611
10,21.292996073892553,4.614433451020022,13.282367740175689
11,23.093868107634037,4.805607985222477,13.63496681167751
12,19.37688852321859,4.40191873200978,12.872840407392898
13,14.109983435996051,3.7563257893846282,11.495265039272935
14,13.38788925936443,3.6589464685021604,11.267121113458934
15,20.524685080268718,4.530417760016036,13.122765022615987
