t,mse_t,rmse_t,mse_db_t
0,2.624435051550598,1.6200108183436919,4.1903582949425076
1,4.346879255104645,2.0849170859064503,6.381775767976761
2,6.886762929729282,2.6242642644614285,8.380151330677222
3,9.742675765674438,3.121325962739944,9.886782495557156
4,11.388388239304081,3.3746686117756926,10.56462264175072
5,10.693759696430977,3.2701314494116254,10.291304206763673
6,8.404091169957866,2.898981057191969,9.244907551088374
7,7.341152002385931,2.7094560344072627,8.657642164585946
8,10.649654452160831,3.263380831616321,10.273355165114326
9,19.544393037697855,4.420904097319671,12.910221877142043
10,30.99849240077105,5.567628974776521,14.913405726101645
11,38.33197587717006,6.191282248223712,15.835612061689144
12,36.74065019001071,6.061406618105298,15.651468376375979
13,28.756641644962897,5.362521948203373,14.587381654304492
14,23.58572918960846,4.856514098569926,13.726493076806305
15,29.896325754557196,5.467753263869649,14.756178170009298
