t,mse_t,rmse_t,mse_db_t
0,1.1312848080667322,1.0636187324726527,0.5357195505855589
1,1.4610508109685045,1.2087393478200767,1.6466531965744973
2,3.4675333694281134,1.862131404984115,5.400206491508774
3,6.5893799838527,2.5669787657580456,8.188445523391858
4,9.315552657877605,3.0521390299063387,9.692086251095386
5,9.982619064763721,3.159528297826073,9.992444988174395
6,7.9178019425690955,2.813858905945551,8.986046340257927
7,4.942321025161508,2.2231331550677544,6.939309512902914
8,4.150713582950394,2.037330013265007,6.181227662294548
9,8.162380969791846,2.856988094093471,9.118168611083062
10,14.663307639168421,3.8292698571879757,11.662319462539852
11,17.980161736236358,4.240302080776363,12.547935940067237
12,15.26249231832835,3.906723987988958,11.836254583708946
13,9.645809520010232,3.1057703585439524,9.843386814687934
14,4.849369565117605,2.2021284170360285,6.856852824812404
15,4.780445175161318,2.186422917726879,6.794683418241646
