t,mse_t,rmse_t,mse_db_t
0,0.1736149218667814,0.41667123954837754,-7.604129507845135
1,0.01689943415488218,0.12999782365440654,-17.721278366600753
2,0.003319321115420132,0.05761354975541892,-24.789507313488247
3,0.001220843657514431,0.0349405732281889,-29.13339948689164
4,0.0014223366989005327,0.03771387939340811,-28.469975842211184
5,0.0013878494266750807,0.037253851165685956,-28.57657649667467
6,0.00034237142016135813,0.018503281334978347,-34.65502495701243
7,0.0009764311781227386,0.031247898779321763,-30.103583617103173
8,0.0009189494215321448,0.030314178556117018,-30.367083912841593
9,0.00112375189176106,0.033522408800100566,-29.49329564152421
10,0.0014444268891691259,0.03800561654767787,-28.403044354286244
11,0.0013791961330619218,0.03713752998062636,-28.603739691761373
12,0.000469039599569232,0.02165732207751531,-33.287904895910984
13,0.0008942712228550143,0.02990436795611996,-30.485307443750195
14,0.00045709607347810266,0.021379805272221324,-33.39992509347548
15,0.0003396599709035719,0.018429866274706715,-34.68955631934903
