t,mse_t,rmse_t,mse_db_t
0,0.4471792521726179,0.6687146268570906,-3.49518354665405
1,0.17776264189457316,0.4216190720242304,-7.501595039043954
2,0.08776938267399806,0.2962589790605477,-10.566569562431475
3,0.041095885793779235,0.20272120213184222,-13.86201654194377
4,0.020548087827569436,0.14334604224592123,-16.87228586662551
5,0.011323825169254481,0.10641346328944698,-19.4600684441239
6,0.004314575934911802,0.06568543167942037,-23.65061883188205
7,0.0027165696632374114,0.05212072201377693,-25.659791535157094
8,0.0018993983513055923,0.04358208750513899,-27.213839433034188
9,0.0008892611391867478,0.02982048187381867,-30.50970685988077
10,0.0015097886415552653,0.038855998784682724,-28.21083846237304
11,0.0011203435365124692,0.03347153322619789,-29.506487870307097
12,0.000544149305741759,0.023327008075228143,-32.642819205903095
13,0.0006311554529921937,0.02512280742656349,-31.998636612599782
14,0.00045215902400919106,0.02126403122667927,-33.44708797260499
15,0.0005377539203537118,0.023189521779323347,-32.69416414819109
