t,mse_t,rmse_t,mse_db_t
0,0.17361494898796082,0.41667127209343435,-7.604128829413954
1,0.01689942367374897,0.1299977833416746,-17.72128106012273
2,0.003319314680993557,0.057613493914130544,-24.78951573219366
3,0.0012208436382934451,0.03494057295313637,-29.13339955526705
4,0.0014223367907106876,0.03771388061060128,-28.46997556187923
5,0.0013878494501113892,0.03725385148023475,-28.576576423336313
6,0.00034237143700011075,0.01850328178999906,-34.65502474341466
7,0.0009764315327629447,0.031247904453946103,-30.10358203974411
8,0.0009189493721351027,0.030314177741365553,-30.367084146291468
9,0.0011237519793212414,0.033522410106095316,-29.493295303131877
10,0.0014444268308579922,0.03800561578053949,-28.403044529609787
11,0.0013791961828246713,0.03713753065060561,-28.603739535063664
12,0.00046903957263566554,0.021657321455703277,-33.28790514529503
13,0.0008942716522142291,0.02990437513499035,-30.485305358607697
14,0.00045709608821198344,0.02137980561679604,-33.39992495348646
15,0.0003396599495317787,0.018429865694892588,-34.689556592612085
