t,mse_t,rmse_t,mse_db_t
0,0.3782771246614529,0.615042376313578,-4.221899207576983
1,0.061556283859755756,0.2481053886149105,-12.10727606318084
2,0.009755721226775926,0.09877105459989746,-20.10740618301184
3,0.001669838370036647,0.0408636558574566,-27.773255638214614
4,0.0007792302150040342,0.02791469532350361,-31.083342158379757
5,0.00035722396599568995,0.018900369467174178,-34.47059412184024
6,0.00027842650308151917,0.01668611707622595,-35.552894271282085
7,0.00043084353667666164,0.02075677086342338,-33.65680417762426
8,0.00020287745411140534,0.014243505681938185,-36.92766213681571
9,7.701321783315507e-05,0.008775717511016126,-41.134347301605494
10,0.00022474367536329254,0.014991453410636759,-36.483125211452155
11,0.0006334404649313008,0.025168243183251802,-31.982941968292028
12,0.0002040224225514642,0.014283641781823857,-36.90322099950389
13,0.0002372879667036365,0.015404154202799857,-36.24724285072662
14,7.989253216722503e-05,0.008938262256570068,-40.97493813804151
15,0.00021940663725183995,0.014812381214775697,-36.58750238756526
