t,mse_t,rmse_t,mse_db_t
0,0.2014511227607727,0.44883306781115484,-6.958303077869001
1,0.07639571279287338,0.2763977438273934,-11.169310126630618
2,0.041613902896642685,0.20399485997603636,-13.80761550561607
3,0.017764108255505562,0.13328206276729648,-17.504565888745468
4,0.007677883841097355,0.08762353474436736,-21.147584626213295
5,0.0034429265651851892,0.05867645665158377,-24.630722403435314
6,0.002731928601861,0.05226785438355969,-25.63530654998914
7,0.002755624009296298,0.05249403784522865,-25.597800399674036
8,0.0015843070577830076,0.03980335485587876,-28.00160643089206
9,0.001797364093363285,0.04239533103259468,-27.453639386273252
10,0.0008908805320970714,0.02984762188344444,-30.501805313500093
11,0.0017664501210674644,0.04202915798665808,-27.528986211507295
12,0.0002242679474875331,0.014975578369049159,-36.49232791615391
13,0.00153876724652946,0.039227123862570656,-28.128270664534124
14,0.0009952799882739782,0.031548058391507684,-30.020547280410735
15,0.002291161799803376,0.04786608193495031,-26.399442402385542
