t,mse_t,rmse_t,mse_db_t
0,0.17699986696243286,0.420713521249832,-7.52027060064764
1,0.03458289057016373,0.18596475625817846,-14.61138709552369
2,0.0059494441375136375,0.07713263989721626,-22.255236089416467
3,0.0021206792443990707,0.04605083326498089,-26.735250141434236
4,0.00038708874490112066,0.019674571022035542,-34.12189456163346
5,0.00018951078527607024,0.013766291631229895,-37.22366068795671
6,0.0007068264530971646,0.026586207948806173,-31.5068720531815
7,0.0009618367184884846,0.03101349252323067,-30.168986475860375
8,0.0005452674231491983,0.023350961931988976,-32.63390448341356
9,0.0007107413839548826,0.026659733381166485,-31.482883963909934
10,0.0014262727927416563,0.03776602696527206,-28.457974022176664
11,0.00040536720189265907,0.020133732934869756,-33.92151392824212
12,0.0011381205404177308,0.03373604215698295,-29.438117385860046
13,0.0008878994267433882,0.029797641294964743,-30.516362244061163
14,0.00038131169276311994,0.019527203915643426,-34.18719877064012
15,0.0005865529528819025,0.024218855317332866,-32.31692774501034
