t,mse_t,rmse_t,mse_db_t
0,0.005989247467368841,0.07739022850055968,-22.22627742101569
1,0.001978734042495489,0.04448296350846568,-27.03612574484154
2,0.0013059512712061405,0.036137947800146876,-28.840730275334543
3,0.00041457187035121024,0.020361038046995794,-33.82400169115526
4,0.0008588368073105812,0.029305917615911316,-30.660893512067556
5,0.0003186225949320942,0.017850002659162104,-34.96723429707571
6,0.0014635759871453047,0.0382567116614236,-28.345847245857033
7,0.0014482532860711217,0.03805592314044059,-28.39155477418281
8,0.0017139832489192486,0.04140028078309673,-27.659934268337576
9,0.0013342148158699274,0.036526905369466046,-28.747742410070543
10,0.0007327741477638483,0.02706980139867761,-31.350298609580495
11,0.0014021322131156921,0.03744505592352203,-28.53211032931891
12,0.00021079758880659938,0.014518870094005229,-36.761343610779804
13,0.0012540309689939022,0.035412299685192744,-29.016917382285182
14,0.000844131107442081,0.02905393445717948,-30.73590095060834
15,0.001764683984220028,0.04200814188011686,-27.533330558270784
