t,mse_t,rmse_t,mse_db_t
0,0.0003998000465799123,0.01999500053963271,-33.98157159619108
1,0.0005876114591956139,0.024240698405689837,-32.3090974348611
2,0.000210632206290029,0.014513173543027348,-36.76475223156896
3,0.0007169293239712715,0.026775535923138336,-31.44523655660194
4,0.0009640593780204654,0.031049305596429454,-30.15896216353944
5,0.0012418845435604453,0.03524038228453893,-29.05918778092893
6,0.0005700329784303904,0.02387536341986003,-32.44100018123942
7,0.000715093279723078,0.02674122808928337,-31.456373033364176
8,0.0007964893593452871,0.0282221430679048,-30.988200217567528
9,0.000718494993634522,0.026804756921757787,-31.43576253618101
10,0.001159143284894526,0.03404619339800745,-29.358628763808415
11,0.000989736057817936,0.03146007084890204,-30.044806073382063
12,0.00041646251338534057,0.020407413196810137,-33.804240842033586
13,0.0006625194801017642,0.025739453764634636,-31.788013476155687
14,0.0004119657096453011,0.020296938430347102,-33.851389313736384
15,0.00028320084675215185,0.016828572332558453,-35.47905452468012
