t,mse_t,rmse_t,mse_db_t
0,1.523790337457242,1.2344190283113923,1.829252153307673
1,2.331830219672363,1.5270331429515087,3.67696926299811
2,4.6630934484801765,2.159419701790316,6.686741188112638
3,8.044252422473376,2.836239133513494,9.054856899663866
4,11.990823401977934,3.4627768339842424,10.788490068400565
5,16.170040898278973,4.021198937913788,12.087111183525616
6,19.49027269402928,4.414778895259567,12.89817915499544
7,22.060372126847064,4.6968470410315755,13.436128340911688
8,23.054759717521954,4.801537224423232,13.627606002531877
9,22.520202329402345,4.745545524953095,13.525722880508999
10,21.034337045967707,4.5863206436061255,13.22928828603304
11,18.750666757352466,4.330204008745138,12.730167154712294
12,15.867733100233178,3.9834323265537193,12.005148869073064
13,12.787857637403079,3.576011414607492,11.067977927830706
14,9.620002747386877,3.1016129267506733,9.831751960684564
15,6.829958657916627,2.6134189595081434,8.344180748831404
