t,mse_t,rmse_t,mse_db_t
0,2.7545946789059124,1.6596971648183028,4.400577042169584
1,4.828316405906154,2.1973430332804558,6.83795722244812
2,8.229177845215634,2.8686543614063433,9.153564481986807
3,12.461115044705275,3.530030459458569,10.955569055732127
4,17.251050515158017,4.153438396697129,12.36815546890144
5,21.82393683758625,4.671609662374014,13.389330960515567
6,25.361445856030077,5.036014878455988,14.041740090439255
7,27.00943562718298,5.197060287045262,14.31515509527661
8,27.00869953754626,5.196989468677637,14.31503673514942
9,25.148068251496987,5.014784965628834,14.005046303487518
10,22.27625369245584,4.719772631436374,13.478421551957378
11,18.723856755638653,4.327107204084347,12.72395309956277
12,14.896678740663146,3.8596215799820515,11.73089451943466
13,11.306514443347265,3.362516088191589,10.533287418550497
14,8.151155440719835,2.855022844167772,9.112191751156185
15,5.681971352001819,2.383688602146224,7.544990397179814
