t,mse_t,rmse_t,mse_db_t
0,2.7545946789059124,1.6596971648183028,4.400577042169584
1,4.879033878189739,2.2088535212163207,6.883338337014812
2,8.457558935573218,2.9081882565565143,9.272450328040982
3,13.084157988589995,3.6172030615642794,11.167457795035851
4,18.639237017715438,4.317318266900813,12.704281308839583
5,24.476593058762795,4.947382445168636,13.88750967446158
6,29.86611532615994,5.464989965787672,14.751787377655711
7,33.78577560481018,5.812553277588962,15.287338932779486
8,36.243257457776274,6.020237325702059,15.59227224114064
9,36.57516520220524,6.047740503874587,15.63186296417146
10,35.2959435445946,5.941038928049084,15.47724796112243
11,32.49323881829683,5.700284099788083,15.117930025364021
12,28.586270397253735,5.34661298367983,14.56157497381404
13,24.25345789326356,4.924779984249404,13.84773666109584
14,19.77586814294963,4.44700664975325,12.961355577280845
15,15.518352086900348,3.939333964885479,11.908456010997508
