t,mse_t,rmse_t,mse_db_t
0,0.9617329424379708,0.9806798368672474,-0.16945507720142303
1,1.2261071934664387,1.1072972471140885,0.8852844040745336
2,2.697699999490545,1.6424676555386244,4.309936518555322
3,5.15614105191324,2.270713775867236,7.123247894474018
4,8.306671740541258,2.8821297230591925,9.19427048542959
5,11.877696241616531,3.4464033776701952,10.747322145024933
6,15.289585281114968,3.910189929033495,11.84395705649994
7,18.304877682753382,4.27841999840518,12.625668311753355
8,20.43458645674248,4.520463079900385,13.10365853137797
9,21.407699562129622,4.626845530394291,13.305700011968085
10,20.88335407604124,4.569830858581228,13.19800251980296
11,19.240193742638667,4.386364524596498,12.842094409312764
12,16.87116388844345,4.107452238120786,12.271450442306628
13,13.692495390163664,3.7003371995216416,11.364826033874344
14,10.36410379795912,3.219332818762161,10.155317538559661
15,7.024113050307532,2.6503043316395822,8.465914927513543
