t,mse_t,rmse_t,mse_db_t
0,0.9617329424379708,0.9806798368672474,-0.16945507720142303
1,1.234387936561683,1.1110301240568066,0.9145166879853477
2,2.743648217886817,1.6563961536682028,4.383284267050971
3,5.309350008860751,2.3042026839800247,7.25041356327472
4,8.677166480303107,2.945703053653424,9.3837792991503
5,12.560099785624494,3.544023107377334,10.989930897334979
6,16.418855257343626,4.052018664486089,12.153428742968446
7,19.981579797611392,4.47007603935452,13.006298217409185
8,22.724610942578796,4.767033767719586,13.564964566052238
9,24.325817773170886,4.932121021748238,13.860674490804017
10,24.392275590127525,4.938853671665878,13.872523181544512
11,23.276232233280602,4.824544769538428,13.669126816167992
12,21.32121782668362,4.617490425185917,13.288120071229955
13,18.320866685037878,4.280288154439824,12.62946014507949
14,14.93441253417406,3.8645067646692066,11.741881437004782
15,11.202341388710156,3.346989899702441,10.49308803556239
