t,mse_t,rmse_t,mse_db_t
0,2.1423792839050293,1.4636868804170615,3.3089636020507402
1,4.578557014465332,2.1397562979146323,6.607286266070021
2,8.275282859802246,2.876679137443425,9.177828474449472
3,12.705949783325195,3.5645406132242616,11.040071345764613
4,17.588787078857422,4.193898792157176,12.452358915824401
5,22.31161880493164,4.723517630424559,13.485310813795007
6,26.448989868164062,5.142858141944425,14.224090902441919
7,28.811893463134766,5.367671139622356,14.59571800230078
8,28.658367156982422,5.353351021274658,14.572514423448622
9,26.958608627319336,5.192168008387184,14.306974738769796
10,24.120494842529297,4.911262041729121,13.823862133012568
11,19.870651245117188,4.457650866220591,12.982121010064386
12,14.691762924194336,3.832983553864318,11.670739116726498
13,9.760085105895996,3.124113491199703,9.894536046400383
14,5.571139335632324,2.360326107899568,7.459440204123284
15,2.6177449226379395,1.6179446599429597,4.179273259092157
