t,mse_t,rmse_t,mse_db_t
0,0.0005724247312173247,0.023925399290656044,-32.42281611112138
1,0.0012322604889050126,0.035103568036668475,-29.092974764768037
2,0.0008909016032703221,0.02984797486045447,-30.50170259505783
3,0.0007188781164586544,0.026811902514716376,-31.433447366498434
4,0.0006973730050958693,0.02640782090775135,-31.56534867921915
5,0.0002294221631018445,0.015146688189232803,-36.39364629817942
6,0.0006089418311603367,0.02467674677019515,-32.15424191131714
7,0.0006320714601315558,0.025141031405484456,-31.99233818891038
8,0.0004992925096303225,0.022344854209198198,-33.0164494916744
9,0.0003149867698084563,0.017747866626962698,-35.01707687225793
10,0.0005256848526187241,0.022927818313540523,-32.79274536808624
11,0.0009895231341943145,0.03145668663725273,-30.045740479098463
12,0.0008793110609985888,0.029653179610264205,-30.558574637457596
13,0.0003273703914601356,0.01809337976885843,-34.84960602281932
14,0.0009843175066635013,0.03137383474590732,-30.06864790643815
15,0.0008770471322350204,0.02961498155047577,-30.569770671589612
16,0.0005579742719419301,0.023621479037984266,-32.53385825813767
17,0.0006513723055832088,0.025521996504646906,-31.861707102907584
18,0.000978484284132719,0.03128073343342063,-30.094461453450197
19,0.0002894950157497078,0.017014553057594778,-35.38358909142184
