t,mse_t,rmse_t,mse_db_t
0,0.0017098464304581285,0.041350289363656555,-27.670428939351016
1,0.0008872366743162274,0.029786518331557776,-30.519605147353882
2,0.0008031711913645267,0.028340275075667963,-30.951918774597612
3,0.0007549229776486754,0.02747586172713561,-31.220973557728286
4,0.0006954577984288335,0.026371533865682396,-31.577292186058795
5,0.0007241020211949944,0.026909143821292315,-31.402002402661434
6,0.000727868580725044,0.026979039655351783,-31.379470270305568
7,0.0007366982754319906,0.027142186268463906,-31.327103468021633
8,0.0007972110761329532,0.028234926529618475,-30.984266760151954
9,0.0007531438022851944,0.027443465566236242,-31.23122093419026
10,0.0007346983766183257,0.027105320079613998,-31.33890919767005
11,0.0007877207244746387,0.028066362865085293,-31.036277283448573
12,0.0007697957917116582,0.02774519402908652,-31.13624467418358
13,0.0007673987420275807,0.02770196278294339,-31.14978917062289
14,0.0007177868974395096,0.026791545260389696,-31.44004473589371
15,0.0007252867799252272,0.026931148878672578,-31.39490238514883
16,0.0007555941119790077,0.027488072176473338,-31.21711435007734
17,0.0007085272809490561,0.02661817576298301,-31.496434231334753
18,0.0007795545971021056,0.027920504957863954,-31.08153463041105
19,0.0008060907130129635,0.028391736703008562,-30.936160823336564
20,0.000805182964541018,0.028375746061399303,-30.941054221640304
21,0.00076723174424842,0.027698948432177347,-31.150734365116477
22,0.0006798484828323126,0.026073904249887713,-31.67587867296747
23,0.0007184637361206114,0.026804173856334605,-31.43595147641333
24,0.0007372073596343398,0.02715156274755359,-31.32410337814564
25,0.0007344763143919408,0.02710122348514806,-31.340222049040044
26,0.000694058311637491,0.026344986461136984,-31.58604040555892
27,0.0007446961244568229,0.02728912099091546,-31.280209063035297
28,0.0007478983025066555,0.02734772938484392,-31.261574524869925
29,0.000767302408348769,0.02770022397650909,-31.15033438667586
30,0.0008286272059194744,0.02878588553300861,-30.81640811821292
31,0.0008083104039542377,0.028430800269324773,-30.924218312585605
32,0.0007782203610986471,0.027896601246364172,-31.08897410647275
33,0.0007851266418583691,0.028020111381976503,-31.050602853894507
34,0.0007934322347864509,0.028167929188821297,-31.00490159413292
35,0.0008122065919451416,0.02849923844500308,-30.90333490056789
36,0.0007829641690477729,0.027981496905058044,-31.062581121960704
37,0.000743089069146663,0.027259660106954065,-31.28959127127016
38,0.0007602045079693198,0.027571806396558783,-31.190695593838026
39,0.000729476916603744,0.02700883034497688,-31.369884462657044
40,0.0007976028136909008,0.028241862787197675,-30.982133226398854
41,0.0006895004189573228,0.026258339988607864,-31.61465465600099
42,0.0007419546018354595,0.027238843621480328,-31.29622667194727
43,0.0006883585592731833,0.026236588178976002,-31.62185283057894
44,0.0006808593752793968,0.026093282186788934,-31.6694257802364
45,0.0007569882436655462,0.027513419337943917,-31.209108652170045
46,0.0007123253890313208,0.026689424666547626,-31.47321576054562
47,0.00076757010538131,0.027705055592460195,-31.148819481116035
48,0.0008012726902961731,0.028306760505154474,-30.96219659025833
49,0.0007437889580614865,0.02727249453316448,-31.285502732593283
50,0.0007984343101270497,0.028256579943918367,-30.977608089217227
51,0.0007237420068122447,0.026902453546326303,-31.40416219694911
52,0.0007079668575897813,0.026607646599986653,-31.49987072681384
53,0.0007724551251158118,0.027793076927821646,-31.121267410043068
54,0.0007315794355235994,0.02704772514507642,-31.3573851091042
55,0.0007586387800984085,0.02754339812184416,-31.19964960799752
56,0.0007132948958314955,0.026707581242626514,-31.467308836761447
57,0.0007098469068296254,0.02664295229192188,-31.48835305771488
58,0.0007482352666556835,0.027353889424644597,-31.259618260054896
59,0.0007550078444182873,0.027477406071503317,-31.22048536092828
60,0.00072343775536865,0.02689679823638215,-31.40598829662883
61,0.0007341613527387381,0.027095412023786205,-31.342084810879204
62,0.000771114369854331,0.027768946142306714,-31.12881203644287
63,0.000832267920486629,0.028849054065716417,-30.797368447929042
64,0.0007524381508119404,0.02743060609632861,-31.235291925646965
65,0.0008022811962291598,0.028324568773931226,-30.956733866204083
66,0.0007757552666589618,0.027852383500500667,-31.10275267276944
67,0.0007900579948909581,0.028107970308988126,-31.023410277770683
68,0.0006992780836299062,0.026443866654290674,-31.553500829534542
69,0.0007593115442432463,0.02755560821762507,-31.19579997247031
70,0.0007765833870507777,0.027867245774399335,-31.098119042732918
71,0.0007645828300155699,0.027651090937168644,-31.165754590154204
72,0.0007877880707383156,0.0280675626077206,-31.035905998809625
73,0.0007452638237737119,0.02729952057772649,-31.276899595650907
74,0.0007410104153677821,0.02722150648600812,-31.301756876954823
75,0.0006716001080349088,0.02591524856209002,-31.72889242672522
76,0.0007105069817043841,0.02665533683344452,-31.484316501773403
77,0.0007447848911397159,0.027290747353997398,-31.279691421250018
78,0.000737179652787745,0.0271510525171262,-31.324266604360833
79,0.0007920882781036198,0.02814406292814916,-31.012264136671032
80,0.000852238736115396,0.029193128234490322,-30.69438730052436
81,0.0008079164545051754,0.028423871208988677,-30.926335466800307
82,0.0007634852081537247,0.027631236095291226,-31.17199372595044
83,0.0007810468669049442,0.027947215727240956,-31.07322905396049
84,0.0008100010454654694,0.028460517308465588,-30.915144205786447
85,0.0007507313275709748,0.02739947677549655,-31.245154609055213
86,0.0007677673711441457,0.027708615467831404,-31.147703486306433
87,0.0007810124661773443,0.027946600261522767,-31.07342034049943
88,0.0007496296311728656,0.027379365061536137,-31.25153255097159
89,0.0007934154709801078,0.028167631618226403,-31.004993353771408
90,0.0007856568554416299,0.028029571089148508,-31.04767095599029
91,0.0006898444844409823,0.026264890718237958,-31.6124880369966
92,0.0008054269710555673,0.028380045296925924,-30.939738314153505
93,0.0006953163538128138,0.026368851962359184,-31.57817555905426
94,0.0007028445834293962,0.0265112161816352,-31.53140697769722
95,0.0007251076167449355,0.026927822354303653,-31.395975328909994
96,0.0007737189880572259,0.027815804645151394,-31.114167448675055
97,0.0007986275595612824,0.028259999284523742,-30.97655706965536
98,0.0007835779106244445,0.027992461674966076,-31.059178154403572
99,0.0007678736001253128,0.027710532295957664,-31.147102634137525
100,0.001507747219875455,0.03882972083179913,-28.216714636488266
101,0.0020858990028500557,0.04567164331234487,-26.807067235062192
102,0.0022425674833357334,0.047355754490196154,-26.492544792986475
103,0.0026170811615884304,0.05115741550927324,-25.82182808700038
104,0.002741387113928795,0.05235825736145919,-25.62029632985752
105,0.0026848900597542524,0.05181592476984515,-25.710734929884886
106,0.0026897466741502285,0.0518627677062286,-25.702886208152048
107,0.0026913215406239033,0.05187794850053251,-25.700344126128623
108,0.0028915004804730415,0.053772674105655574,-25.388767311948072
109,0.002808170858770609,0.05299217733562765,-25.515764717687883
110,0.002777763642370701,0.052704493569056335,-25.56304710787456
111,0.002683610189706087,0.05180357313647474,-25.712805677707085
112,0.0027584522031247616,0.052520969175413754,-25.593345368463567
113,0.00282422942109406,0.053143479572700734,-25.491000270720093
114,0.0027096548583358526,0.05205434523971897,-25.67086023762535
115,0.00265871686860919,0.05156274690713432,-25.75327908981968
116,0.0027058899868279696,0.05201816977583861,-25.6768986445857
117,0.002763553988188505,0.05256951576901299,-25.5853204671697
118,0.002892956603318453,0.05378621201868052,-25.386580810705404
119,0.002841710578650236,0.05330769718014685,-25.4642015599889
120,0.0030186017975211143,0.0549418037337792,-25.20194173676261
121,0.002934893826022744,0.054174660368319284,-25.324076053555476
122,0.0029877268243581057,0.05466010267423677,-25.246591137165524
123,0.0028316869866102934,0.05321359776044365,-25.479547550433583
124,0.0028532675933092833,0.053415986308494603,-25.44657496184538
125,0.0029331676196306944,0.054158726163294264,-25.3266311799435
126,0.0028610718436539173,0.0534889880597298,-25.43471236598544
127,0.0027564591728150845,0.05250199208425414,-25.59648435672443
128,0.0028298157267272472,0.05319601231978998,-25.48241844147491
129,0.0028527493122965097,0.053411134722045644,-25.447363906526984
130,0.0027820738032460213,0.05274536759987574,-25.556313531659185
131,0.0029109250754117966,0.05395298949466838,-25.359689727659223
132,0.002727081533521414,0.052221466213822586,-25.643018774492383
133,0.0027515168767422438,0.052454903266922946,-25.604278190499713
134,0.002625825582072139,0.05124281005245652,-25.807341248799467
135,0.0029301559552550316,0.054130914967835446,-25.331092640471873
136,0.0028878888115286827,0.05373908085861427,-25.394195318327057
137,0.0029491239693015814,0.05430583734094873,-25.303069710724834
138,0.0029086556751281023,0.053931954119316894,-25.363076872241095
139,0.0028368940111249685,0.05326250098451037,-25.471568895278793
140,0.0029082223773002625,0.053927936890819976,-25.363723882043615
141,0.0030591932591050863,0.05530997431842729,-25.143930863655164
142,0.0030553501565009356,0.055275221903678826,-25.149390105206667
143,0.003141688648611307,0.056050768492602376,-25.02836857135033
144,0.0030070303473621607,0.05483639619232979,-25.21862188917966
145,0.002752358093857765,0.052462921133480216,-25.602950631439416
146,0.002963618841022253,0.054439129686487946,-25.28177652880723
147,0.002995701739564538,0.05473300411602252,-25.235014283922652
148,0.002804709365591407,0.05295950684807598,-25.521121352846173
149,0.002875948091968894,0.05362786674825779,-25.41218956806164
150,0.0030079050920903683,0.05484437156254385,-25.217358710829572
151,0.0030396245419979095,0.055132790079932555,-25.17180057644115
152,0.0029504760168492794,0.0543182843695314,-25.30107911203714
153,0.002921310719102621,0.054049150956352876,-25.34422247745745
154,0.0027353852055966854,0.05230091017942886,-25.62981506301247
155,0.0026792522985488176,0.05176149436162771,-25.71986388031087
156,0.002731847343966365,0.05226707705589021,-25.635435727523515
157,0.0027222016360610723,0.052174722194383294,-25.650797093364236
158,0.002989842090755701,0.05467944852278323,-25.243517484395905
159,0.002947350963950157,0.054289510625443634,-25.30568146256786
160,0.002856332343071699,0.053444666179813485,-25.44191262454366
161,0.002784591866657138,0.05276923219696434,-25.55238449699475
162,0.002709215972572565,0.052050129419364224,-25.671563726125246
163,0.0029407653491944075,0.05422882397023199,-25.315396275213764
164,0.003053520806133747,0.055258671773159254,-25.151991164546583
165,0.0030713537707924843,0.05541979583860342,-25.126701569030008
166,0.003001266159117222,0.05478381292970782,-25.22695488643688
167,0.0029372202698141336,0.05419612781199533,-25.320634833792262
168,0.0028309025801718235,0.05320622689283486,-25.480750757503277
169,0.0029161572456359863,0.05400145595848307,-25.3518906160551
170,0.0030806094873696566,0.055503238530464655,-25.113633514167518
171,0.0029801749624311924,0.05459097876418037,-25.257582382768106
172,0.0028340306598693132,0.0532356145814934,-25.475954556622945
173,0.0027213350404053926,0.052166416787099656,-25.652179862460326
174,0.0028836694546043873,0.05369980870174853,-25.40054522825209
