t,mse_t,rmse_t,mse_db_t
0,0.05302843451499939,0.230279036203905,-12.754911937664604
1,0.0017454876797273755,0.04177903397312312,-27.580832122438437
2,0.0011878644581884146,0.03446540958973815,-29.252331118961745
3,0.0006624331581406295,0.025737776868654166,-31.788579370367437
4,0.0008992471266537905,0.029987449485639663,-30.461209411996343
5,0.0013029670808464289,0.036096635311984815,-28.850665564956604
6,0.0007141533424146473,0.026723647625551558,-31.46208526859235
7,0.0016711342614144087,0.040879509065232286,-27.769886568396835
8,0.0008844633703120053,0.029739928888818906,-30.53320148509802
9,0.0014723003841936588,0.03837056663894422,-28.32003574584882
10,0.0004741403099615127,0.02177476314363747,-33.24093120720572
11,0.0009703946998342872,0.03115115888429012,-30.130515841932237
12,0.0006122425547800958,0.02474353561599667,-32.1307648744062
13,0.001193910837173462,0.034553014878205085,-29.230281056768842
14,0.001342183444648981,0.036635821877623834,-28.721881223532357
15,0.0016637565568089485,0.0407891720534868,-27.789102199738668
